i_doc,doc,Topic 1,Topic 2,Topic 3,Topic 4,Topic 5,Topic 6,Topic 7,Topic 8,Topic 9,Topic 10,Topic 11,Topic 12,Topic 13,Topic 14,Topic 15,Topic 16,Topic 17,Topic 18,Topic 19,Topic 20,Topic 21,Topic 22,Topic 23,Topic 24,Topic 25,Topic 26,Topic 27,Topic 28,Topic 29,Topic 30,Topic 31,Topic 32
605,GTEX-1JJEA-0726-SM-CYPSN,0.028619575433416672,0.029764468227223916,0.03058398160882699,0.03444459494838984,0.032182869637704385,0.007257170195480709,0.031019793550423478,0.030777237421159266,0.03431193950692538,0.03506698906750987,0.034626595593832035,0.03167436836423803,0.031928624461335334,0.031465888269113604,0.034100792725359326,0.03398602947898063,0.03686642652307907,0.032990937646479125,0.02776335318058109,0.028245224485393447,0.031909349256711766,0.02903332917991787,0.027678189587305644,0.03078724636301131,0.03328438690085431,0.0332026853642499,0.033381032957748545,0.028382234082542118,0.0330867138319512,0.03440138234168557,0.03222999393617908,0.03494659587239046
606,GTEX-1JJEA-0826-SM-CL53T,0.043205193570072076,0.03569891661418731,0.036601865567440814,0.02748082000743212,0.03113636430867127,0.004747619760462364,0.03795451977939505,0.032377694719906834,0.027769629275281694,0.023378618926404277,0.03359444072029873,0.03559446591656447,0.0333603915430402,0.03688428926950514,0.02345874893257515,0.02349317443000202,0.026075592548753915,0.042721290094192836,0.032447299741169645,0.04856843012298471,0.03250033034900751,0.03847589331885331,0.035261750126816364,0.01986555755043664,0.02193150736062449,0.0248315165247013,0.04003371978783861,0.03253689482998334,0.03252276343396186,0.03020861497816587,0.02815536574144478,0.027126720149825256
607,GTEX-1JK1U-0426-SM-CYPSP,0.030115658369117487,0.028970347282538333,0.031428155880948314,0.034052614781217086,0.03228430304916538,0.00520469073553295,0.03334714080636234,0.031408408039348155,0.032696338302385795,0.03461910159144414,0.03444549146674089,0.03228274936779801,0.03210723118300878,0.030867624501993207,0.032202591502279526,0.03119665837142412,0.03522493191562886,0.033510635104539,0.029741793109042267,0.028923860682536384,0.03247793001558651,0.030527360032445616,0.029885684422410932,0.02716911288044812,0.03164300898969663,0.03182434529930672,0.03358470432716594,0.03126914190515731,0.034613637885086174,0.03518671531792556,0.0325159250196666,0.034672107862052846
608,GTEX-1JKYR-1226-SM-CM2S7,0.03151624934772936,0.03171158817871317,0.0325981984957624,0.032794967403218224,0.032922941968783086,0.008797390634695907,0.030610290808975572,0.031046110043927412,0.03289673705330624,0.03322206054605013,0.03416226247758891,0.032255771649507624,0.03131283734317489,0.03145378496057787,0.0333647983282629,0.03213178361672175,0.03406858339272501,0.03248341143808052,0.02996946287495871,0.03120829271765979,0.03279812739761553,0.031255596132976494,0.029362727046990608,0.031691884893123516,0.031716447139801485,0.03340753410331081,0.031536258103567326,0.029759233236750646,0.03193223616669589,0.03229429599634765,0.032016090322130646,0.03170204618026993
609,GTEX-1JMLX-0826-SM-CNNPP,0.027883976638863214,0.030310210293247746,0.029971526883471315,0.034392691324226426,0.03352078216986399,0.008529138830118872,0.029756954742793423,0.030801812619678372,0.03541534793152736,0.035467959823529176,0.03378693887683291,0.03038630251791642,0.03291627074843202,0.0330167551429369,0.03505125912331902,0.035461154274696614,0.035999955445843654,0.031525183233631474,0.02611157462894863,0.02640158149564814,0.03269784437214029,0.02899674031162752,0.026545076985386742,0.0326494508598933,0.03589406984599328,0.03279932561496657,0.03257482984672719,0.02616342247546831,0.03301673501159668,0.03349028086487064,0.03220170359211176,0.03626314347369202
610,GTEX-1JMLX-2126-SM-CL54B,0.031951380805558864,0.031085685406504356,0.032339974962005635,0.03324328719978149,0.03257014864837705,0.007063724220816281,0.0314134881182507,0.03057310178475424,0.03321607210406152,0.032542786178915664,0.036455127775492625,0.03196268795101154,0.03232424505622054,0.03289919298853049,0.031098619658652224,0.03236193744362286,0.03501966126597358,0.03507045771850163,0.028874253551325745,0.031238483495168806,0.03212208630316472,0.030603681693634848,0.029030766440947205,0.027913741059553982,0.030981160062980725,0.03154049893341864,0.035575324111255434,0.02872010996134493,0.03281417503250947,0.03387295183982175,0.030843324587494097,0.032677863640348324
611,GTEX-1JMLX-2726-SM-CM2SB,0.02945007400291843,0.030766472873952854,0.0313939134253991,0.034288132261250125,0.03282773773678211,0.009208675791141617,0.029509497636512783,0.03024561275012,0.03463785219704469,0.034093167772988646,0.034361295489670596,0.031448866762809474,0.03188911788406923,0.03311497626602664,0.03419028116071287,0.03423020468624401,0.03557405693730388,0.03271459972222469,0.027788093817487352,0.028421278010408817,0.0320054820859809,0.029275777840169975,0.027940543917103277,0.03186331136317179,0.03394527860787037,0.03355026318578036,0.03345294834252379,0.027260913899816122,0.03194345909087944,0.03379085577087007,0.030691991266733446,0.03412526744403243
612,GTEX-1JMPZ-0626-SM-CY8HY,0.028272021373791284,0.030339881546152955,0.03015467297647262,0.03417064852858374,0.033207691306635236,0.008784701451524655,0.02960641160135024,0.030901445159991863,0.03457539338700615,0.03501129406107716,0.03399179500388385,0.030934980354517368,0.03250932673526579,0.03252742873355184,0.03454482532055495,0.03517846171627325,0.03588882145515054,0.0314899749320718,0.027382049533774776,0.02704183033658284,0.032523799170600394,0.02934743893414218,0.027568103298406046,0.03264516973721204,0.03530303985397955,0.03230895035074308,0.032684689183822425,0.02737639197391529,0.03282801269294816,0.03347117163283125,0.03203771100033279,0.03539186665685393
613,GTEX-1JMPZ-1426-SM-CJI3C,0.0394179028849972,0.03441216311682806,0.034441638860375504,0.028922521039986056,0.031337636874411406,0.006559174495297079,0.03525819905650867,0.032061037891181275,0.029447532029098042,0.02683231213658082,0.03271340746834164,0.0341042539048407,0.03293413486548709,0.03549203309376997,0.02701654159216492,0.02666343639583027,0.028201718939720545,0.03809424005348363,0.03267523467587778,0.041388854019405355,0.03229089939895645,0.035165463793317,0.034561657743871994,0.02515126130103647,0.025606649622900768,0.028130684212158374,0.03677428374742102,0.03234340296597136,0.03184562666144929,0.030902065161887777,0.029772758341683487,0.029481273655159977
614,GTEX-1JMQJ-1026-SM-CNPP8,0.0314504814509188,0.030932953288421033,0.032382681317172396,0.033434453978575335,0.03281387048152526,0.007767855218188043,0.03169885227389964,0.03069137598327284,0.03357906986433349,0.03248168262055841,0.035647789317078044,0.031910132762124635,0.03230769920999039,0.033124787664416205,0.03240006224160616,0.03166443446029655,0.03482204254024385,0.035055675296471696,0.028623189335271693,0.030469810763579006,0.03235553237536487,0.03071708017979576,0.028948402600437146,0.028608159970054052,0.031176759076422887,0.032148789541369224,0.03465020885200755,0.02859851560411279,0.03298968725424876,0.03351408174975518,0.030420985025530513,0.03261289770295792
615,GTEX-1JMQJ-2026-SM-CNPP9,0.028232603461383645,0.02990313163420603,0.02976783271826604,0.03438694655268036,0.034060446064302224,0.008402481021188074,0.030769036661263183,0.03136082665551643,0.03445907795369394,0.03492074045384935,0.03384247520446412,0.030344365863040876,0.03263421570316677,0.032813554203496687,0.03437831040987481,0.035477789234861536,0.03544109872247962,0.031592617975914526,0.02700536095467903,0.027428532148197737,0.032594814847723544,0.028826223082340275,0.026808390823808634,0.031985039940325505,0.03456993048276832,0.032950007995304634,0.03212285571701712,0.028223488270608478,0.03279349609026293,0.03379654008864953,0.031636635090246085,0.036471133974419895
616,GTEX-1JMQK-0126-SM-CM2S3,0.029421458354091736,0.03070138221984784,0.03076849204697745,0.03403096724091812,0.03218442737630596,0.009395911953689237,0.02956000653667353,0.03032962805523233,0.03404394215769776,0.0344881521479934,0.03374431994340452,0.03184711602933949,0.03183842569094191,0.03040287198494849,0.03541858787983159,0.03421558017527057,0.03479545290599275,0.031264851247069875,0.029141851563712618,0.028906835450269133,0.03232380899638526,0.030265215186540528,0.02970016096850897,0.03419631123507595,0.03377161662668202,0.03403472174599012,0.03150633577480841,0.028118891881112003,0.03266451416069189,0.03241403937890693,0.03238615624552257,0.03211796683956707
617,GTEX-1JMQK-1826-SM-CY8I1,0.02960273332378641,0.030431529501782836,0.030749030966481666,0.03310293516483158,0.03250177676516197,0.009649066240083845,0.028898706138934305,0.03143654684336905,0.03383338310757851,0.03435763185963939,0.03337215529947545,0.031050097688626526,0.03194302925375952,0.031139636321678946,0.034743767246919834,0.03456841493150339,0.0348002755313161,0.03021058800369816,0.029675996039419537,0.028011470046532313,0.03258255417057347,0.03035889866922526,0.029907668388949912,0.03358273081837727,0.03480598097883492,0.03365576408460267,0.03137872075459203,0.02980589197365088,0.03182287313655261,0.03253677355846059,0.031938396626859766,0.03354497656474133
618,GTEX-1JN6P-2126-SM-ARL98,0.029891248395872882,0.031032279936200734,0.031839954914934264,0.035573618231307946,0.032838674585119784,0.010078409549282954,0.028769338333032766,0.0298589704138566,0.0342340526524232,0.03358320571420101,0.03426866471108198,0.031707411014707934,0.03217304824958141,0.032854539924631006,0.0352210573111997,0.033229551323349066,0.034978119678029065,0.032402097511115835,0.028027722750106572,0.02815730001140505,0.03193019617720818,0.029607723421628426,0.028407101486951608,0.03337892412169159,0.033558816474554144,0.03466510563937264,0.032627658145605816,0.027055678832942916,0.032054676014408943,0.03282928498676014,0.030110825965956173,0.03305474352147969
619,GTEX-1JN6P-2926-SM-CL54D,0.02028914457829635,0.022889576599491448,0.020891071121186794,0.022320588646921356,0.022174622346878847,0.29967422718260067,0.019215546233090998,0.020922911182685803,0.02363669616760166,0.024319158108541173,0.022730578988674824,0.02179673632444344,0.021999441558896545,0.02070132928492872,0.025789592710014166,0.02783147766201392,0.02310702420174037,0.0205441948357299,0.021185279989211655,0.01989450447503025,0.02106163836727852,0.020969428208784082,0.021038569855114046,0.03563562831024015,0.026392639045730987,0.023841934801169126,0.02149212302545708,0.01927053065585401,0.020640061229158072,0.021680818330629428,0.023677886511224832,0.02238503946138087
620,GTEX-1K2DA-2226-SM-CGQGM,0.046271364732719054,0.036967047096610056,0.03801665259051978,0.026138176086017845,0.028449667073695523,0.004866140473018122,0.04008834880270864,0.033557718818260494,0.02473117311344534,0.021142513866902603,0.028572664093789342,0.03567014798600958,0.03160308013467966,0.0361364681905091,0.021576553949672752,0.020059118418838926,0.02226363856371416,0.03433098744183578,0.04188614598696079,0.059740129578577036,0.03125779852861508,0.04220384841224348,0.04335628728956323,0.02220745299776955,0.018533921778270068,0.024823989310442204,0.03511416143172436,0.03814783928618915,0.03167022233523157,0.0271798761817129,0.03126206040315768,0.022174805046596205
621,GTEX-1K2DU-0226-SM-DIPF6,0.03583635628730453,0.032801518383994345,0.033813697017542416,0.030515293799295976,0.032199755539128266,0.006455874869449732,0.03518646009675662,0.032103930806629696,0.02985375887974143,0.028680622464180346,0.03205360835133527,0.03319717723629458,0.03329642626694013,0.03361972944347866,0.029345988477737235,0.02825498249348311,0.029044960132155385,0.03518762727649313,0.032927713741778934,0.03712345818885889,0.033016765197142695,0.03536893697266318,0.033870714451650775,0.02695970495056711,0.027317978088499548,0.02938852548868385,0.033858303905693485,0.03245573065897865,0.03352278231421231,0.03130263032122494,0.030722531836994485,0.03071645606111024
622,GTEX-1KAFJ-2026-SM-CY8ID,0.012562572913998043,0.014424240301430368,0.012517741413437032,0.013225572302020448,0.013148847229215034,0.571012134236791,0.011758772620826662,0.012767120989749518,0.01415223212304902,0.014421365676941333,0.013035549636331268,0.01329954924045015,0.013361629932709472,0.012722005316459105,0.01610903680822317,0.016744959286835965,0.013307436162763805,0.012456889112430269,0.013537233381389605,0.01233196467611792,0.012899784660712519,0.01307432694577607,0.013684413473161045,0.02490548332377128,0.016114323002848676,0.014285320224290047,0.012914647249843425,0.01203650321644907,0.012361623080415529,0.012991244261858315,0.01451549412414452,0.013319983075560368
