,Topic 1,Topic 2,Topic 3,Topic 4,Topic 5,Topic 6,Topic 7,Topic 8,Topic 9,Topic 10,Topic 11,Topic 12,Topic 13,Topic 14,Topic 15,Topic 16,Topic 17,Topic 18,Topic 19,Topic 20,Topic 21,Topic 22,Topic 23,Topic 24,Topic 25,Topic 26,Topic 27,Topic 28,Topic 29,Topic 30,Topic 31,Topic 32
ENSG00000168496,372.2942499198945,432.4950872891237,490.84492639530276,463.928141137127,353.1756620657617,201.56530656863444,336.10680597760313,493.3664099963097,312.8598928321552,347.26396733734157,373.9898397015765,401.98621250847464,305.8543713857054,354.7212971118266,548.5213995450497,477.8491221213268,354.90482049682794,367.88933700839675,325.4085421429794,389.9258071707947,430.46291010723024,466.58994012498675,518.8102247249595,386.1751493236143,353.24271624323603,363.8786647582355,310.5346978818996,416.3982820823766,415.1849156297704,405.6902363208635,454.0411060745644,306.0375826566281
ENSG00000137312,8394.335094074131,4922.444857786044,5536.33969993812,7599.45563770698,5346.064383884189,1155.6869114170786,7700.27928505753,6431.968955199846,7321.177600964171,6830.267489941102,5561.318216338687,4010.102338764102,5416.10994451156,6317.803997312011,3871.627533015052,6045.973650643002,7196.035964327488,6515.169817682773,8023.59862050949,7464.838362369344,8217.274719499906,8067.337221591502,8079.854923985787,4155.180290760582,5037.602820150513,7597.352153612079,3917.1095198080475,9809.36154331279,5972.18307289689,7080.900841928528,6391.939445652211,7061.44144542089
ENSG00000132589,4609.150548750693,2672.699415788485,2818.39311797214,5255.189607565166,3849.4027335387414,1175.2788115887947,3924.117276311845,4764.864147397569,3779.2335299782703,3967.1257839536215,3174.3653092959503,3582.675656295793,2346.876266495435,3563.185168653887,1848.5874729842042,2879.5899677694215,5363.1737193526,3265.402441102898,8503.590384839617,3507.4096450662196,3658.223498044498,4891.046574358027,7735.676903520436,1420.38433202931,3381.7440115503723,4758.173640860895,3435.0351271115965,15532.711871293293,2644.205504100072,4705.4946880472235,4448.913098531814,4289.7587444935425
ENSG00000059122,428.0067743019697,720.545031961088,881.1593291758027,870.2438105272473,581.2030279260664,887.6952075284994,641.217018915537,576.0437410646773,750.0819530868441,750.5865648259652,696.1553570206485,889.0748794470858,762.8950387321509,571.6173217297107,905.7145932633167,620.9700421381978,707.6561572027663,1020.1785033917515,581.4323779108972,917.3314205295856,672.9083498609151,638.1302593741544,734.5538713373967,694.66215089751,982.7947852382101,763.7755403437812,914.8045470410502,633.1880199713243,724.3434736276608,851.9804486184772,786.0157044627865,658.5025950214628
ENSG00000114416,1215.5506420556462,726.7226397709144,1298.9762496467372,713.9042608144213,697.0363427262599,251.51770304173047,1324.2840166789802,1023.5982920590983,702.792345565016,576.2402586837519,851.0826287909035,1044.2636919130011,822.0431481770809,870.6696061171242,722.9727155208337,544.4434068316679,684.3125673526752,806.7595104627474,1169.876820873678,1234.5434091256968,927.6286420677877,1649.366455820989,1105.476456693193,436.08914978511325,601.7446732661742,895.9730104318022,762.2903126738998,1141.9618331655986,865.1787340003228,903.3157873705713,790.1861639608708,706.3552458658633
ENSG00000129245,1607.7142658805888,1152.2975083249432,1499.2419274036808,1463.8968624558456,1074.7695204667623,905.6845365908288,1487.3196962437316,1185.3269697738153,1377.2037682702257,1080.899450313108,1505.2718196769943,1368.4155154549799,1960.8311172114386,1686.7162560817571,822.8856464240978,1670.98395921598,1275.0734518071197,1424.5035665481155,1206.2297307963931,2169.9208662664128,1253.2070944495665,1433.1906976602374,1802.3577138476446,847.1207478545399,832.1228105500766,1378.390746345215,1574.4690109787696,1467.53057164661,1053.887530898306,1191.239263576388,1588.4262875173092,1711.584366992546
ENSG00000188352,243.61395837602643,204.05899382501977,238.2779704511971,227.98463191069456,315.5958827788279,133.8717479487873,188.00028401475453,258.66745124504735,415.61891969729555,179.77937740789304,320.34067215923585,245.42629854260204,342.72507143644197,286.82787640502926,263.85614743097995,275.5678280465784,214.58310978374197,271.42312602423743,243.68388848450397,236.2317889992353,302.7163281999089,250.6158575024709,226.05495441651314,282.94493938550494,275.5739220012783,204.34474421964487,222.6291565466742,228.53687198758814,267.7944836785806,215.85794346674447,221.02654864249934,307.9170943606183
ENSG00000154803,839.2033344872166,1212.6118418500678,1070.6339682536805,1306.9470158264119,985.8334088946774,789.9869869766383,1370.2344037280218,1379.0341459187482,1288.9062979480689,1119.7032209518468,1329.1860864313076,1170.3330905594778,1060.4152904395492,1368.6530279431247,1325.8277253051192,984.5758405088644,1305.5793475159924,1322.777320420116,947.6431884825463,735.378387734933,962.3037987807843,901.4609702465651,882.5173667831232,753.3402536085943,1227.552436192526,1081.023211818766,1142.3310017177312,1309.6461958539865,1211.8639889675796,1257.4417501674097,1073.72976668333,1449.1750681378935
ENSG00000052795,319.7392036966587,412.15867943604417,418.3680608960469,350.71221015108785,412.10766519213354,313.2551075407094,321.87782956295143,579.664029192398,438.90212280777274,337.0815780047013,372.76753528148583,406.3052505488061,316.0576330262163,309.92520179303443,244.5843930751896,332.2129031622892,269.3712073339848,443.47724711535886,333.8625143976091,443.9782172396375,401.7069732452038,358.38915169135134,282.2537458431861,307.71500970856766,248.49103500963867,356.85260097453545,543.9239301030741,303.8314894116657,428.4995292515395,436.93858658852514,372.59102500308734,528.5494081909202
ENSG00000053254,794.457923335525,562.0664492615813,889.2909561560236,711.3786915968648,690.141715407705,1250.2287783539946,667.8314377493441,754.4126190757435,620.0128811435084,711.767118122683,623.2335967816465,712.0475743342018,693.5096448848999,610.423887899641,610.4246902693701,702.2445507324658,612.3382937871183,704.2151425962364,543.1251310083611,594.2964596448464,702.1039516228841,817.4335902834665,747.8138717844984,840.7368857376132,660.3590162173458,912.8188689857657,781.9468992090281,878.5321720556192,850.4991553155384,694.3476905126729,709.2475188512146,511.8222640367787
