,primary_site,status,dataset,tissue_hd,dataset_status
TCGA-KC-A7F6-01A-11R-A33R-07,Prostate,tumor,tcga,Prostate_tumor,tcga_tumor
TCGA-XJ-A83H-01A-11R-A352-07,Prostate,tumor,tcga,Prostate_tumor,tcga_tumor
TCGA-V1-A8WW-01A-11R-A37L-07,Prostate,tumor,tcga,Prostate_tumor,tcga_tumor
TCGA-VN-A88K-01A-11R-A352-07,Prostate,tumor,tcga,Prostate_tumor,tcga_tumor
TCGA-EJ-A7NG-01A-31R-A33R-07,Prostate,tumor,tcga,Prostate_tumor,tcga_tumor
TCGA-CH-5743-01A-21R-1580-07,Prostate,tumor,tcga,Prostate_tumor,tcga_tumor
TCGA-J4-A67T-01A-11R-A311-07,Prostate,tumor,tcga,Prostate_tumor,tcga_tumor
TCGA-EJ-5516-01A-01R-1580-07,Prostate,tumor,tcga,Prostate_tumor,tcga_tumor
TCGA-VP-A879-01A-11R-A352-07,Prostate,tumor,tcga,Prostate_tumor,tcga_tumor
TCGA-HC-8264-01B-11R-2403-07,Prostate,tumor,tcga,Prostate_tumor,tcga_tumor
TCGA-V1-A9ZI-01A-11R-A41O-07,Prostate,tumor,tcga,Prostate_tumor,tcga_tumor
TCGA-YL-A8SL-01B-21R-A37L-07,Prostate,tumor,tcga,Prostate_tumor,tcga_tumor
TCGA-ZG-A9LY-01A-11R-A41O-07,Prostate,tumor,tcga,Prostate_tumor,tcga_tumor
TCGA-KK-A7B4-01A-11R-A32O-07,Prostate,tumor,tcga,Prostate_tumor,tcga_tumor
TCGA-EJ-7327-01A-11R-2118-07,Prostate,tumor,tcga,Prostate_tumor,tcga_tumor
TCGA-KK-A6E0-01A-11R-A311-07,Prostate,tumor,tcga,Prostate_tumor,tcga_tumor
TCGA-KK-A8I7-01A-21R-A36G-07,Prostate,tumor,tcga,Prostate_tumor,tcga_tumor
TCGA-EJ-A65E-01A-11R-A29R-07,Prostate,tumor,tcga,Prostate_tumor,tcga_tumor
TCGA-HC-A8D1-01A-11R-A36G-07,Prostate,tumor,tcga,Prostate_tumor,tcga_tumor
TCGA-HI-7168-01A-11R-2118-07,Prostate,tumor,tcga,Prostate_tumor,tcga_tumor
TCGA-EJ-AB27-01A-11R-A41O-07,Prostate,tumor,tcga,Prostate_tumor,tcga_tumor
TCGA-HC-7748-01A-11R-2118-07,Prostate,tumor,tcga,Prostate_tumor,tcga_tumor
TCGA-V1-A8MJ-01A-11R-A36G-07,Prostate,tumor,tcga,Prostate_tumor,tcga_tumor
TCGA-KK-A6DY-01A-12R-A311-07,Prostate,tumor,tcga,Prostate_tumor,tcga_tumor
TCGA-G9-6361-01A-21R-1965-07,Prostate,tumor,tcga,Prostate_tumor,tcga_tumor
TCGA-HC-A4ZV-01A-11R-A26U-07,Prostate,tumor,tcga,Prostate_tumor,tcga_tumor
TCGA-YL-A9WH-01A-11R-A37L-07,Prostate,tumor,tcga,Prostate_tumor,tcga_tumor
TCGA-XK-AAIR-01A-11R-A41O-07,Prostate,tumor,tcga,Prostate_tumor,tcga_tumor
TCGA-XJ-A9DI-01A-11R-A37L-07,Prostate,tumor,tcga,Prostate_tumor,tcga_tumor
TCGA-G9-6333-01A-12R-1965-07,Prostate,tumor,tcga,Prostate_tumor,tcga_tumor
TCGA-G9-6329-01A-13R-1965-07,Prostate,tumor,tcga,Prostate_tumor,tcga_tumor
TCGA-G9-6348-01A-11R-1789-07,Prostate,tumor,tcga,Prostate_tumor,tcga_tumor
TCGA-V1-A8X3-01A-11R-A37L-07,Prostate,tumor,tcga,Prostate_tumor,tcga_tumor
TCGA-CH-5750-01A-11R-1580-07,Prostate,tumor,tcga,Prostate_tumor,tcga_tumor
TCGA-G9-6378-01A-11R-1789-07,Prostate,tumor,tcga,Prostate_tumor,tcga_tumor
TCGA-M7-A71Z-01A-12R-A32O-07,Prostate,tumor,tcga,Prostate_tumor,tcga_tumor
TCGA-EJ-8474-01A-11R-2403-07,Prostate,tumor,tcga,Prostate_tumor,tcga_tumor
TCGA-ZG-A9M4-01A-11R-A41O-07,Prostate,tumor,tcga,Prostate_tumor,tcga_tumor
TCGA-G9-6366-01A-11R-2118-07,Prostate,tumor,tcga,Prostate_tumor,tcga_tumor
TCGA-V1-A8WN-01A-11R-A37L-07,Prostate,tumor,tcga,Prostate_tumor,tcga_tumor
TCGA-HC-7749-01A-11R-2118-07,Prostate,tumor,tcga,Prostate_tumor,tcga_tumor
TCGA-YL-A9WY-01A-11R-A41O-07,Prostate,tumor,tcga,Prostate_tumor,tcga_tumor
TCGA-KK-A8IM-01A-11R-A36G-07,Prostate,tumor,tcga,Prostate_tumor,tcga_tumor
TCGA-HC-7212-01A-11R-2118-07,Prostate,tumor,tcga,Prostate_tumor,tcga_tumor
TCGA-G9-6384-01A-11R-1789-07,Prostate,tumor,tcga,Prostate_tumor,tcga_tumor
TCGA-KK-A8I8-01A-11R-A36G-07,Prostate,tumor,tcga,Prostate_tumor,tcga_tumor
TCGA-VP-A878-01A-31R-A352-07,Prostate,tumor,tcga,Prostate_tumor,tcga_tumor
TCGA-YL-A9WI-01A-11R-A37L-07,Prostate,tumor,tcga,Prostate_tumor,tcga_tumor
TCGA-V1-A8ML-01A-11R-A37L-07,Prostate,tumor,tcga,Prostate_tumor,tcga_tumor
TCGA-EJ-7797-01A-11R-2263-07,Prostate,tumor,tcga,Prostate_tumor,tcga_tumor
TCGA-EJ-7328-01A-31R-2118-07,Prostate,tumor,tcga,Prostate_tumor,tcga_tumor
TCGA-KK-A8IG-01A-11R-A36G-07,Prostate,tumor,tcga,Prostate_tumor,tcga_tumor
TCGA-V1-A9O9-01A-11R-A41O-07,Prostate,tumor,tcga,Prostate_tumor,tcga_tumor
TCGA-YL-A8SC-01A-11R-A37L-07,Prostate,tumor,tcga,Prostate_tumor,tcga_tumor
TCGA-HC-7233-01A-11R-2118-07,Prostate,tumor,tcga,Prostate_tumor,tcga_tumor
TCGA-M7-A720-01A-12R-A32O-07,Prostate,tumor,tcga,Prostate_tumor,tcga_tumor
TCGA-EJ-7784-01A-11R-2118-07,Prostate,tumor,tcga,Prostate_tumor,tcga_tumor
TCGA-EJ-A46I-01A-12R-A26U-07,Prostate,tumor,tcga,Prostate_tumor,tcga_tumor
TCGA-EJ-5508-01A-02R-1580-07,Prostate,tumor,tcga,Prostate_tumor,tcga_tumor
TCGA-EJ-7317-01A-31R-2118-07,Prostate,tumor,tcga,Prostate_tumor,tcga_tumor
TCGA-V1-A9Z9-01A-21R-A41O-07,Prostate,tumor,tcga,Prostate_tumor,tcga_tumor
TCGA-HC-8260-01A-11R-2263-07,Prostate,tumor,tcga,Prostate_tumor,tcga_tumor
TCGA-HC-A8D0-01A-11R-A36G-07,Prostate,tumor,tcga,Prostate_tumor,tcga_tumor
TCGA-YL-A8SR-01B-11R-A37L-07,Prostate,tumor,tcga,Prostate_tumor,tcga_tumor
TCGA-KK-A8IK-01A-11R-A36G-07,Prostate,tumor,tcga,Prostate_tumor,tcga_tumor
TCGA-FC-7961-01A-11R-A29R-07,Prostate,tumor,tcga,Prostate_tumor,tcga_tumor
TCGA-YL-A8SO-01B-31R-A37L-07,Prostate,tumor,tcga,Prostate_tumor,tcga_tumor
TCGA-HI-7170-01A-11R-2118-07,Prostate,tumor,tcga,Prostate_tumor,tcga_tumor
TCGA-G9-7523-01A-11R-2263-07,Prostate,tumor,tcga,Prostate_tumor,tcga_tumor
TCGA-ZG-A9L5-01A-12R-A41O-07,Prostate,tumor,tcga,Prostate_tumor,tcga_tumor
TCGA-Y6-A8TL-01A-21R-A37L-07,Prostate,tumor,tcga,Prostate_tumor,tcga_tumor
TCGA-G9-A9S0-01A-11R-A41O-07,Prostate,tumor,tcga,Prostate_tumor,tcga_tumor
TCGA-VP-A87B-01A-11R-A352-07,Prostate,tumor,tcga,Prostate_tumor,tcga_tumor
TCGA-CH-5746-01A-11R-1580-07,Prostate,tumor,tcga,Prostate_tumor,tcga_tumor
TCGA-V1-A9ZG-01A-11R-A41O-07,Prostate,tumor,tcga,Prostate_tumor,tcga_tumor
TCGA-HC-7742-01A-11R-2118-07,Prostate,tumor,tcga,Prostate_tumor,tcga_tumor
TCGA-HC-7075-01A-11R-1965-07,Prostate,tumor,tcga,Prostate_tumor,tcga_tumor
TCGA-YL-A8SI-01A-11R-A41O-07,Prostate,tumor,tcga,Prostate_tumor,tcga_tumor
TCGA-V1-A8MU-01A-11R-A37L-07,Prostate,tumor,tcga,Prostate_tumor,tcga_tumor
TCGA-YL-A8SH-01B-11R-A37L-07,Prostate,tumor,tcga,Prostate_tumor,tcga_tumor
TCGA-G9-7525-01A-31R-2263-07,Prostate,tumor,tcga,Prostate_tumor,tcga_tumor
TCGA-G9-6367-01A-11R-1789-07,Prostate,tumor,tcga,Prostate_tumor,tcga_tumor
TCGA-HC-8257-01A-11R-2263-07,Prostate,tumor,tcga,Prostate_tumor,tcga_tumor
TCGA-G9-6499-01A-12R-1965-07,Prostate,tumor,tcga,Prostate_tumor,tcga_tumor
TCGA-TP-A8TT-01A-12R-A41O-07,Prostate,tumor,tcga,Prostate_tumor,tcga_tumor
TCGA-EJ-A8FO-01A-21R-A36G-07,Prostate,tumor,tcga,Prostate_tumor,tcga_tumor
TCGA-EJ-A6RC-01A-11R-A32O-07,Prostate,tumor,tcga,Prostate_tumor,tcga_tumor
TCGA-YL-A8SA-01A-21R-A37L-07,Prostate,tumor,tcga,Prostate_tumor,tcga_tumor
TCGA-CH-5763-01A-11R-1580-07,Prostate,tumor,tcga,Prostate_tumor,tcga_tumor
TCGA-G9-6365-01A-11R-1789-07,Prostate,tumor,tcga,Prostate_tumor,tcga_tumor
TCGA-M7-A721-01A-12R-A32O-07,Prostate,tumor,tcga,Prostate_tumor,tcga_tumor
TCGA-EJ-8472-01A-11R-2403-07,Prostate,tumor,tcga,Prostate_tumor,tcga_tumor
TCGA-VP-AA1N-01A-31R-A41O-07,Prostate,tumor,tcga,Prostate_tumor,tcga_tumor
TCGA-HC-7738-01A-11R-2118-07,Prostate,tumor,tcga,Prostate_tumor,tcga_tumor
TCGA-ZG-A9L1-01A-11R-A41O-07,Prostate,tumor,tcga,Prostate_tumor,tcga_tumor
TCGA-CH-5753-01A-11R-1580-07,Prostate,tumor,tcga,Prostate_tumor,tcga_tumor
TCGA-J9-A8CN-01A-11R-A352-07,Prostate,tumor,tcga,Prostate_tumor,tcga_tumor
TCGA-YL-A8HL-01A-11R-A36G-07,Prostate,tumor,tcga,Prostate_tumor,tcga_tumor
TCGA-J9-A8CK-01A-11R-A352-07,Prostate,tumor,tcga,Prostate_tumor,tcga_tumor
TCGA-YJ-A8SW-01A-11R-A37L-07,Prostate,tumor,tcga,Prostate_tumor,tcga_tumor
TCGA-G9-6371-01A-11R-1789-07,Prostate,tumor,tcga,Prostate_tumor,tcga_tumor
TCGA-CH-5771-01A-21R-1580-07,Prostate,tumor,tcga,Prostate_tumor,tcga_tumor
TCGA-EJ-A46E-01A-31R-A250-07,Prostate,tumor,tcga,Prostate_tumor,tcga_tumor
TCGA-EJ-7315-01A-31R-2118-07,Prostate,tumor,tcga,Prostate_tumor,tcga_tumor
TCGA-HC-7737-01A-11R-2118-07,Prostate,tumor,tcga,Prostate_tumor,tcga_tumor
TCGA-KK-A8IL-01A-11R-A36G-07,Prostate,tumor,tcga,Prostate_tumor,tcga_tumor
TCGA-EJ-8470-01A-11R-2403-07,Prostate,tumor,tcga,Prostate_tumor,tcga_tumor
TCGA-ZG-A8QY-01A-11R-A37L-07,Prostate,tumor,tcga,Prostate_tumor,tcga_tumor
TCGA-KK-A8IJ-01A-11R-A352-07,Prostate,tumor,tcga,Prostate_tumor,tcga_tumor
TCGA-EJ-A8FN-01A-11R-A352-07,Prostate,tumor,tcga,Prostate_tumor,tcga_tumor
TCGA-KK-A6E6-01A-11R-A311-07,Prostate,tumor,tcga,Prostate_tumor,tcga_tumor
TCGA-J4-A83L-01A-11R-A352-07,Prostate,tumor,tcga,Prostate_tumor,tcga_tumor
TCGA-J4-A83J-01A-11R-A36G-07,Prostate,tumor,tcga,Prostate_tumor,tcga_tumor
TCGA-EJ-5531-01A-01R-1580-07,Prostate,tumor,tcga,Prostate_tumor,tcga_tumor
TCGA-2A-AAYF-01A-11R-A41O-07,Prostate,tumor,tcga,Prostate_tumor,tcga_tumor
TCGA-CH-5752-01A-11R-1580-07,Prostate,tumor,tcga,Prostate_tumor,tcga_tumor
TCGA-EJ-5501-01A-01R-1580-07,Prostate,tumor,tcga,Prostate_tumor,tcga_tumor
TCGA-CH-5740-01A-11R-1580-07,Prostate,tumor,tcga,Prostate_tumor,tcga_tumor
TCGA-EJ-8468-01A-21R-2403-07,Prostate,tumor,tcga,Prostate_tumor,tcga_tumor
TCGA-J4-A6M7-01A-11R-A31N-07,Prostate,tumor,tcga,Prostate_tumor,tcga_tumor
TCGA-EJ-A65G-01A-21R-A29R-07,Prostate,tumor,tcga,Prostate_tumor,tcga_tumor
TCGA-HC-7213-01A-11R-2118-07,Prostate,tumor,tcga,Prostate_tumor,tcga_tumor
