"","x"
"GTEX-1KANA-0626-SM-D4P3I",2
"GTEX-1HBPN-1426-SM-9WPNO",1
"GTEX-ZTTD-1426-SM-4YCEX",1
"GTEX-1R9PM-1026-SM-EVR3N",1
"GTEX-1E1VI-1626-SM-7EPIL",1
"GTEX-1AX8Z-1826-SM-73KW6",1
"GTEX-14E1K-1226-SM-5S2PD",2
"GTEX-13FTW-1626-SM-5KM4N",2
"GTEX-132Q8-1826-SM-5EGIY",2
"GTEX-1J8QM-1926-SM-AHZ3Z",2
"GTEX-U3ZN-1826-SM-4DXUY",1
"GTEX-UPK5-1226-SM-4IHL8",2
"GTEX-1R9K5-1626-SM-E76QB",1
"GTEX-13OVI-2626-SM-5KM4T",2
"GTEX-1QP9N-0926-SM-E9U5S",2
"GTEX-1RAZS-2626-SM-EV79C",2
"GTEX-148VI-1226-SM-5RQJR",1
"GTEX-1B97J-1426-SM-79OLR",1
"GTEX-YFCO-0726-SM-5ZZVJ",1
"GTEX-139TU-1326-SM-5LZXW",1
"GTEX-1JMPZ-1926-SM-E9TIT",1
"GTEX-13RTK-0626-SM-5Q5EK",1
"GTEX-T6MO-0526-SM-4DM6R",2
"GTEX-SJXC-1426-SM-EYYVB",2
"GTEX-11P82-0526-SM-5986P",2
"GTEX-OXRP-0926-SM-48TC1",2
"GTEX-13O61-0926-SM-5IFFE",2
"GTEX-13111-0826-SM-5LZV3",2
"GTEX-RWS6-0826-SM-47JXF",2
"GTEX-QDVJ-0826-SM-48U1S",1
"GTEX-1GZ2Q-2926-SM-7PBZL",1
"GTEX-1CB4J-2426-SM-7MXVC",2
"GTEX-ZLFU-1026-SM-5EQMZ",1
"GTEX-1LBAC-1226-SM-DHXK1",2
"GTEX-1GMR2-1626-SM-9JGHL",4
"GTEX-1A3MV-1526-SM-731BO",1
"GTEX-1IDFM-1126-SM-A96SY",2
"GTEX-OIZG-0926-SM-3LK5Y",1
"GTEX-117YW-1926-SM-5H121",2
"GTEX-OOBK-0625-SM-3LK5P",2
"GTEX-14PJ5-0626-SM-6LLIJ",1
"GTEX-ZDTT-1326-SM-4WKFH",2
"GTEX-14ICK-2026-SM-6AJB2",2
"GTEX-12WSN-5013-SM-7P8P9",2
"GTEX-XV7Q-1126-SM-4BRVS",2
"GTEX-1ICG6-2126-SM-CE6T2",1
"GTEX-15F5U-5010-SM-AHZ2D",2
"GTEX-VUSG-1226-SM-4KKZF",2
"GTEX-ZTX8-0326-SM-59HLA",1
"GTEX-1F5PL-1126-SM-7P8SH",1
"GTEX-1QCLZ-1526-SM-EXUSS",1
"GTEX-1LVA9-2426-SM-EWROM",1
"GTEX-13JVG-2026-SM-5KM1N",2
"GTEX-144GN-0626-SM-5O9B2",2
"GTEX-OXRK-1426-SM-3NB19",1
"GTEX-14PJ2-2726-SM-5ZZVZ",1
"GTEX-OOBK-0726-SM-3LK5Q",1
"GTEX-ZPCL-1426-SM-57WEC",2
"GTEX-13OVI-2526-SM-5KM4V",1
