Cluster 1,Cluster 2,Cluster 3,Cluster 4,Cluster 5,Cluster 6,Cluster 7,Cluster 8,Cluster 9
GTEX-13OW5-0011-R8a-SM-5L3GQ,GTEX-ZWKS-0626-SM-5GIDV,GTEX-XLM4-0004-SM-4AT5I,,GTEX-12BJ1-0226-SM-5LUA2,GTEX-1HSMQ-0006-SM-ARU6N,,,
GTEX-13OW6-0011-R10a-SM-5L3HE,GTEX-1HC8U-1326-SM-9YFMJ,GTEX-Y8DK-0004-SM-4RGM7,,GTEX-13CF3-0726-SM-5J2MY,GTEX-1QEPI-0006-SM-CY8GY,,,
GTEX-TSE9-3026-SM-3DB76,GTEX-1IDJU-2626-SM-CM2RT,GTEX-1EMGI-0001-SM-EAZCK,,GTEX-14E6C-0426-SM-5YYA8,GTEX-1R7EV-0005-SM-DO938,,,
GTEX-14C5O-0011-R8a-SM-5YYAG,GTEX-1HSMQ-2626-SM-A9SML,GTEX-1F52S-0001-SM-EVR36,,GTEX-1F6I4-0826-SM-7RHGK,GTEX-1GN1U-0006-SM-ARU6G,,,
GTEX-1H23P-0011-R3b-SM-CL54S,GTEX-11GS4-0226-SM-5HL77,,,GTEX-YFC4-0426-SM-4TT3J,GTEX-11VI4-0006-SM-5N9D8,,,
GTEX-1F75W-0011-R11b-SM-AHZ34,GTEX-1LGRB-0926-SM-COH3K,,,GTEX-1MCC2-0226-SM-EVYD5,GTEX-16BQI-0006-SM-7SB6K,,,
GTEX-1I1GV-0011-R2a-SM-ARZLF,GTEX-11VI4-1726-SM-5CVLH,,,GTEX-T2IS-0426-SM-32QPE,GTEX-1313W-0006-SM-5O9B1,,,
GTEX-1I1CD-0011-R7a-SM-CMKHA,GTEX-13OVL-0126-SM-5L3GJ,,,GTEX-1399R-1726-SM-5K7YJ,GTEX-11TTK-0005-SM-5O9BX,,,
GTEX-NPJ8-2626-SM-2D7W2,GTEX-1BAJH-0526-SM-793CQ,,,GTEX-1EX96-2526-SM-7RHGW,GTEX-1MCQQ-0005-SM-DKPPV,,,
GTEX-ZAK1-3026-SM-5S2MJ,GTEX-145LS-0126-SM-5QGP1,,,GTEX-117YX-0626-SM-5EGJI,GTEX-15G1A-0006-SM-7PC1Z,,,
GTEX-14BIM-0011-R1a-SM-69LQI,GTEX-11EI6-2826-SM-5H11D,,,GTEX-11TT1-1326-SM-5PNYM,GTEX-17HHE-0005-SM-7P8OT,,,
GTEX-RNOR-0011-R9A-SM-2TF52,GTEX-14JFF-0626-SM-5ZZVT,,,GTEX-14JG1-1026-SM-6ETZY,GTEX-1C4CL-0005-SM-7MKF3,,,
GTEX-1EMGI-0011-R5a-SM-CJI2E,GTEX-1QP66-1726-SM-E8VO1,,,GTEX-13FHP-0826-SM-5K7V5,GTEX-X62O-0005-SM-46MV1,,,
GTEX-XMD1-0011-R9A-SM-4AT49,GTEX-1K2DA-1826-SM-CGQGT,,,GTEX-1KXAM-1326-SM-E9TJW,GTEX-12KS4-0005-SM-5SI94,,,
