,Topic 1,Topic 2,Topic 3,Topic 4
ENSG00000119777,0.00100312,0.00100139,0.000997986,0.00100058
ENSG00000083750,0.00100312,0.00100139,0.000997989,0.00100058
ENSG00000170876,0.00100311,0.00100139,0.000997994,0.00100058
ENSG00000158470,0.0010031,0.00100138,0.000998002,0.00100058
ENSG00000180573,0.00100308,0.00100137,0.00099801,0.00100058
ENSG00000077782,0.00100307,0.00100137,0.000998013,0.00100058
ENSG00000132463,0.00100307,0.00100137,0.000998016,0.00100058
ENSG00000094916,0.00100306,0.00100137,0.00099802,0.00100058
ENSG00000155827,0.00100305,0.00100136,0.000998023,0.00100058
ENSG00000148358,0.00100305,0.00100136,0.000998026,0.00100058
ENSG00000112992,0.00100304,0.00100136,0.00099803,0.00100057
ENSG00000099904,0.00100304,0.00100136,0.000998033,0.00100057
ENSG00000073169,0.00100303,0.00100135,0.000998036,0.00100057
ENSG00000156860,0.00100302,0.00100135,0.00099804,0.00100057
ENSG00000188636,0.00100302,0.00100135,0.000998043,0.00100057
ENSG00000171940,0.00100301,0.000827772,0.00100125,0.00100247
ENSG00000005206,0.00100301,0.00100134,0.000998049,0.00100057
ENSG00000145216,0.001003,0.00100134,0.000998053,0.00100057
ENSG00000196562,0.001003,0.00100134,0.000998056,0.00100057
ENSG00000126091,0.00100299,0.00100134,0.000998059,0.00100057
ENSG00000109270,0.00100298,0.00100133,0.000998063,0.00100057
ENSG00000177951,0.00100298,0.00100133,0.000998066,0.00100057
ENSG00000254682,0.00100298,0.00099888,0.000992964,0.000998519
ENSG00000185246,0.00100297,0.00100133,0.000998069,0.00100057
ENSG00000167491,0.00100297,0.00100133,0.000998072,0.00100057
ENSG00000166888,0.00100296,0.00100132,0.000998076,0.00100057
ENSG00000128159,0.00100295,0.00100132,0.000998079,0.00100057
ENSG00000152642,0.00100295,0.00100132,0.000998082,0.00100056
ENSG00000136933,0.00100294,0.00100131,0.000998089,0.00100056
ENSG00000181852,0.00100293,0.00100131,0.000998092,0.00100056
ENSG00000099910,0.00100291,0.0010013,0.000998101,0.00100056
ENSG00000111737,0.00100291,0.0010013,0.000998104,0.00100056
ENSG00000170248,0.0010029,0.0010013,0.000998111,0.00100056
ENSG00000155508,0.00100289,0.00100129,0.000998114,0.00100056
ENSG00000171604,0.00100288,0.00100129,0.00099812,0.00100056
ENSG00000100422,0.00100288,0.00100129,0.000998123,0.00100056
ENSG00000111412,0.00100287,0.00100128,0.000998127,0.00100056
ENSG00000163328,0.00100286,0.00100128,0.00099813,0.00100056
ENSG00000182247,0.00100285,0.00100127,0.000998139,0.00100055
ENSG00000128595,0.00100285,0.00100127,0.000998142,0.00100055
ENSG00000108439,0.00100284,0.00100127,0.000998145,0.00100055
ENSG00000134575,0.00100283,0.00100127,0.000998149,0.00100055
ENSG00000132286,0.00100283,0.00100127,0.000998152,0.00100055
ENSG00000119638,0.00100282,0.00100126,0.000998155,0.00100055
ENSG00000185187,0.00100282,0.00100126,0.000998158,0.00100055
ENSG00000102531,0.00100281,0.00100126,0.000998162,0.00100055
ENSG00000273253,0.00100281,0.00100212,0.000993311,0.000989458
ENSG00000087302,0.0010028,0.00100126,0.000998165,0.00100055
ENSG00000178074,0.00100279,0.00100125,0.000998171,0.00100055
ENSG00000262246,0.00100278,0.00100125,0.000998178,0.00100054
ENSG00000108639,0.00100278,0.00100124,0.000998181,0.00100054
ENSG00000059691,0.00100277,0.00100124,0.000998187,0.00100054
ENSG00000136986,0.00100276,0.00100124,0.000998191,0.00100054
ENSG00000131876,0.00100275,0.00100123,0.000998194,0.00100054
ENSG00000186166,0.00100274,0.00100123,0.0009982,0.00100054
ENSG00000019995,0.00100274,0.00100123,0.000998204,0.00100054
ENSG00000048991,0.00100273,0.00100123,0.000998207,0.00100054
ENSG00000165819,0.00100273,0.00100122,0.00099821,0.00100054
ENSG00000131148,0.00100272,0.00100122,0.000998213,0.00100054
ENSG00000281649,0.00100271,0.00100122,0.00099822,0.00100054
ENSG00000198736,0.0010027,0.00100121,0.000998223,0.00100053
ENSG00000175575,0.0010027,0.00100121,0.000998226,0.00100053
ENSG00000181924,0.00100269,0.00100121,0.000998232,0.00100053
ENSG00000028528,0.00100268,0.0010012,0.000998241,0.00100053
ENSG00000168538,0.00100267,0.00100119,0.000998248,0.00100053
ENSG00000159322,0.00100266,0.00100119,0.000998252,0.00100053
ENSG00000114779,0.00100266,0.00100119,0.000998255,0.00100053
ENSG00000174456,0.00100265,0.00100118,0.000998258,0.00100053
ENSG00000142330,0.00100265,0.00100118,0.000998261,0.00100052
ENSG00000131196,0.00100264,0.000844373,0.00100198,0.000999734
ENSG00000004455,0.00100264,0.00100118,0.000998266,0.00100052
ENSG00000183431,0.00100263,0.00100117,0.00099827,0.00100052
ENSG00000133315,0.00100263,0.00100117,0.000998273,0.00100052
ENSG00000076928,0.00100262,0.00100117,0.000998276,0.00100052
ENSG00000168310,0.00100262,0.00100117,0.00099828,0.00100052
ENSG00000182606,0.00100261,0.00100116,0.000998283,0.00100052
ENSG00000198492,0.0010026,0.00100116,0.000998286,0.00100052
ENSG00000135336,0.0010026,0.00100116,0.000998289,0.00100052
ENSG00000101040,0.00100259,0.00100115,0.000998296,0.00100052
ENSG00000165526,0.00100258,0.00100115,0.000998299,0.00100052
ENSG00000161542,0.00100257,0.00100115,0.000998302,0.00100052
ENSG00000163162,0.00100257,0.00100115,0.000998306,0.00100052
ENSG00000112759,0.00100256,0.00100114,0.000998309,0.00100052
ENSG00000118855,0.00100256,0.00100114,0.000998312,0.00100051
ENSG00000165417,0.00100255,0.00100114,0.000998315,0.00100051
ENSG00000110429,0.00100254,0.00100114,0.000998322,0.00100051
ENSG00000172046,0.00100253,0.00100113,0.000998325,0.00100051
ENSG00000168575,0.00100253,0.00100113,0.000998331,0.00100051
ENSG00000124357,0.00100252,0.00100113,0.000998334,0.00100051
ENSG00000152133,0.00100251,0.00100112,0.000998337,0.00100051
ENSG00000169499,0.0010025,0.000990622,0.000998539,0.00100069
ENSG00000110104,0.0010025,0.00100112,0.000998346,0.00100051
ENSG00000088888,0.00100249,0.00100111,0.000998349,0.00100051
ENSG00000196792,0.00100249,0.00100111,0.000998352,0.00100051
ENSG00000132394,0.00100248,0.00100111,0.000998356,0.00100051
ENSG00000143303,0.00100248,0.00100111,0.000998359,0.0010005
ENSG00000198369,0.00100247,0.0010011,0.000998365,0.0010005
ENSG00000164347,0.00100246,0.0010011,0.000998372,0.0010005
ENSG00000142444,0.00100245,0.00100109,0.000998375,0.0010005
ENSG00000153485,0.00100244,0.00100109,0.000998382,0.0010005
ENSG00000143554,0.00100243,0.00100108,0.000998387,0.0010005
ENSG00000013374,0.00100242,0.00100108,0.000998394,0.0010005
ENSG00000146826,0.00100241,0.00100108,0.000998397,0.0010005
ENSG00000130733,0.0010024,0.00100107,0.000998404,0.00100049
ENSG00000186283,0.00100239,0.00100107,0.000998414,0.00100049
ENSG00000117625,0.00100238,0.00100106,0.000998417,0.00100049
ENSG00000140262,0.00100237,0.00100106,0.00099842,0.00100049
ENSG00000164975,0.00100237,0.00100106,0.000998424,0.00100049
ENSG00000130338,0.00100236,0.00100106,0.000998427,0.00100049
ENSG00000147654,0.00100236,0.00100105,0.00099843,0.00100049
ENSG00000043514,0.00100235,0.00100105,0.000998437,0.00100049
ENSG00000051009,0.00100234,0.00100104,0.000998441,0.00100049
ENSG00000140694,0.00100233,0.00100104,0.000998444,0.00100049
ENSG00000273899,0.00100233,0.00100104,0.000998447,0.00100049
ENSG00000130305,0.00100232,0.00100103,0.000998453,0.00100048
ENSG00000267796,0.00100231,0.00100103,0.000998459,0.00100048
ENSG00000137166,0.0010023,0.00100103,0.000998463,0.00100048
ENSG00000083099,0.0010023,0.00100102,0.000998469,0.00100048
ENSG00000152492,0.00100229,0.00100102,0.000998472,0.00100048
ENSG00000178104,0.00100228,0.00100101,0.000998478,0.00100048
ENSG00000179523,0.00100228,0.00100101,0.000998481,0.00100048
ENSG00000101782,0.00100227,0.00100101,0.000998485,0.00100048
ENSG00000119403,0.00100227,0.00100101,0.000998488,0.00100047
ENSG00000146828,0.00100224,0.001001,0.000998501,0.00100047
ENSG00000245556,0.00100224,0.00100099,0.000998504,0.00100047
ENSG00000115368,0.00100223,0.00100099,0.000998508,0.00100047
ENSG00000031003,0.00100222,0.00100098,0.000998517,0.00100047
ENSG00000134049,0.00100221,0.00100098,0.000998521,0.00100047
ENSG00000264112,0.00100221,0.00100098,0.000998524,0.00100047
ENSG00000124571,0.0010022,0.00100098,0.000998528,0.00100047
ENSG00000140464,0.00100219,0.00100097,0.000998531,0.00100046
ENSG00000151332,0.00100219,0.00100097,0.000998534,0.00100046
ENSG00000243989,0.00100218,0.00100097,0.00099854,0.00100046
ENSG00000149346,0.00100218,0.00100168,0.000966215,0.0010064
ENSG00000100109,0.00100217,0.00100096,0.000998544,0.00100046
ENSG00000185024,0.00100217,0.00100096,0.000998547,0.00100046
ENSG00000196312,0.00100216,0.00100096,0.000998554,0.00100046
ENSG00000046651,0.00100215,0.00100095,0.000998557,0.00100046
ENSG00000111845,0.00100215,0.00100095,0.00099856,0.00100046
ENSG00000077157,0.00100214,0.00100095,0.000998564,0.00100046
ENSG00000186222,0.00100213,0.00100095,0.000998567,0.00100046
ENSG00000156469,0.00100213,0.00100094,0.000998573,0.00100045
ENSG00000138750,0.00100212,0.00100094,0.00099858,0.00100045
ENSG00000099968,0.00100211,0.00100094,0.000998583,0.00100045
ENSG00000185716,0.0010021,0.00100093,0.00099859,0.00100045
ENSG00000185404,0.0010021,0.000805063,0.00100212,0.00100315
ENSG00000123136,0.00100209,0.00100093,0.000998593,0.00100045
ENSG00000085449,0.00100208,0.00100092,0.0009986,0.00100045
ENSG00000187522,0.00100208,0.00100092,0.000998603,0.00100045
ENSG00000106610,0.00100207,0.00100091,0.00099861,0.00100045
ENSG00000126391,0.00100206,0.0010009,0.000998617,0.00100044
ENSG00000103043,0.00100205,0.0010009,0.00099862,0.00100044
ENSG00000184743,0.00100204,0.0010009,0.000998627,0.00100044
ENSG00000268858,0.00100204,0.00100089,0.00099863,0.00100044
ENSG00000128973,0.00100203,0.00100089,0.000998633,0.00100044
ENSG00000015532,0.00100202,0.00100089,0.00099864,0.00100044
ENSG00000188997,0.00100201,0.00100088,0.000998643,0.00100044
ENSG00000175198,0.00100201,0.00100088,0.000998647,0.00100044
ENSG00000144320,0.001002,0.00100088,0.00099865,0.00100044
ENSG00000118217,0.001002,0.00100088,0.000998653,0.00100043
ENSG00000071994,0.00100199,0.00100087,0.000998659,0.00100043
ENSG00000197363,0.00100198,0.00100087,0.000998662,0.00100043
ENSG00000048707,0.00100198,0.00100087,0.000998665,0.00100043
ENSG00000132906,0.00100197,0.00100087,0.000998669,0.00100043
ENSG00000175938,0.00100196,0.00100086,0.000998672,0.00100043
ENSG00000114554,0.00100195,0.00100086,0.000998679,0.00100043
ENSG00000213145,0.00100195,0.00100086,0.000998682,0.00100043
ENSG00000107929,0.00100194,0.00100085,0.000998689,0.00100043
ENSG00000124688,0.00100193,0.00100085,0.000998692,0.00100043
ENSG00000140750,0.00100192,0.00100084,0.000998696,0.00100043
ENSG00000128487,0.00100191,0.00100084,0.000998702,0.00100042
ENSG00000072958,0.00100191,0.00100083,0.000998708,0.00100042
ENSG00000228638,0.0010019,0.00100083,0.000998711,0.00100042
ENSG00000123106,0.0010019,0.00100083,0.000998715,0.00100042
ENSG00000180596,0.00100189,0.000774614,0.000958083,0.000891141
ENSG00000182831,0.00100188,0.00100082,0.000998723,0.00100042
ENSG00000107937,0.00100187,0.00100082,0.000998729,0.00100042
ENSG00000101413,0.00100187,0.00100082,0.000998732,0.00100042
ENSG00000164933,0.00100186,0.00100081,0.000998735,0.00100042
ENSG00000128294,0.00100185,0.00100081,0.000998739,0.00100042
ENSG00000221829,0.00100185,0.00100081,0.000998742,0.00100041
ENSG00000104375,0.00100184,0.000897663,0.00100059,0.00100187
ENSG00000119522,0.00100184,0.0010008,0.000998748,0.00100041
ENSG00000168781,0.00100183,0.0010008,0.000998751,0.00100041
ENSG00000267002,0.00100183,0.0010008,0.000998755,0.00100041
ENSG00000124788,0.00100182,0.0010008,0.000998758,0.00100041
ENSG00000172890,0.00100182,0.00100079,0.000998764,0.00100041
ENSG00000169914,0.00100181,0.00100079,0.000998767,0.00100041
ENSG00000139977,0.0010018,0.00100079,0.00099877,0.00100041
ENSG00000030110,0.0010018,0.00100079,0.000998773,0.00100041
ENSG00000137656,0.00100179,0.00100078,0.000998777,0.00100041
ENSG00000107833,0.00100177,0.00100077,0.00099879,0.0010004
ENSG00000035115,0.00100177,0.00100077,0.000998793,0.0010004
ENSG00000146872,0.00100176,0.00100076,0.000998801,0.0010004
ENSG00000117000,0.00100175,0.00100076,0.000998806,0.0010004
ENSG00000102763,0.00100174,0.00100075,0.000998812,0.0010004
ENSG00000147872,0.00100173,0.00100075,0.00099882,0.00100039
ENSG00000134283,0.00100173,0.00100074,0.000998824,0.00100039
ENSG00000136152,0.00100171,0.00100074,0.000998832,0.00100039
ENSG00000196367,0.00100171,0.00100074,0.000998835,0.00100039
