Cluster 1,Cluster 2,Cluster 3,Cluster 4
GTEX-XAJ8-0006-SM-46MVM,GTEX-13CF2-0011-R11b-SM-5LZXO,GTEX-13X6H-1426-SM-5SI91,GTEX-Y5LM-0926-SM-6LLJG
GTEX-14DAQ-0005-SM-5NQ7B,GTEX-14ABY-0011-R5b-SM-5SI7B,GTEX-145LT-1326-SM-5O9AQ,GTEX-1H3VE-0326-SM-9YFLH
GTEX-12WSH-0005-SM-5NQ9P,GTEX-16XZZ-0011-R9b-SM-7DHKX,GTEX-PLZ5-0826-SM-3P5ZW,GTEX-1GL5R-1526-SM-7MKHO
GTEX-XMK1-0005-SM-4B665,GTEX-1E1VI-0011-R4b-SM-9QEHV,GTEX-14E7W-1926-SM-5S2R9,GTEX-1RLM8-0726-SM-E6CRH
GTEX-1ICG6-0006-SM-A96RH,GTEX-13OVJ-2826-SM-5L3GW,GTEX-1HGF4-2826-SM-ADEII,GTEX-1GF9X-0726-SM-7SB7V
GTEX-11DXY-0006-SM-5NQ8N,GTEX-WHSE-0011-R10A-SM-EYYVG,GTEX-1399U-0626-SM-5J1NZ,GTEX-15UF7-0926-SM-6M46F
GTEX-11EM3-0001-SM-5Q5BD,GTEX-15SHU-3026-SM-6LPIB,GTEX-1R7EU-0426-SM-EVR4H,GTEX-12KS4-1026-SM-5FQTD
GTEX-Y114-0006-SM-4TT76,GTEX-1C6VR-0011-R6a-SM-7MXU8,GTEX-R55E-1126-SM-48FDZ,GTEX-1H3NZ-1326-SM-9JGHI
GTEX-1P4AB-0005-SM-CY8GM,GTEX-WWYW-0011-R5A-SM-3NB3E,GTEX-PLZ6-0326-SM-3P61J,GTEX-13OW8-2326-SM-5L3I9
GTEX-1S83E-0006-SM-DLHBW,GTEX-1IY9M-0011-R9b-SM-D3L8J,GTEX-11NV4-0526-SM-5N9BF,GTEX-ZLV1-0526-SM-4WWD4
GTEX-113IC-0006-SM-5NQ9C,GTEX-1F75B-0011-R5a-SM-9QEHC,GTEX-X4XY-0526-SM-46MW1,GTEX-RM2N-0726-SM-48FD5
GTEX-15DYW-0006-SM-7RHFR,GTEX-1GN2E-3026-SM-9WG6I,GTEX-13X6I-0926-SM-5LUAB,GTEX-P4QS-0626-SM-3NMD1
GTEX-1HR9M-0005-SM-AHZ26,GTEX-13FHO-2926-SM-5L3ES,GTEX-1HBPH-0326-SM-CM2S8,GTEX-1IKK5-1326-SM-AHZ2X
GTEX-131XG-0006-SM-5O9CE,GTEX-ZVZQ-0011-R11a-SM-51MS6,GTEX-11TUW-0926-SM-5EQMW,GTEX-1L5NE-1426-SM-DHXKV
GTEX-1GZHY-0005-SM-ARZL6,GTEX-NL4W-0011-R5a-SM-2I3GD,GTEX-YJ8O-0126-SM-5QGRG,GTEX-1GN73-1926-SM-9JGGS
