Cluster 1,Cluster 2,Cluster 3,Cluster 4,Cluster 5,Cluster 6,Cluster 7,Cluster 8,Cluster 9,Cluster 10,Cluster 11,Cluster 12
GTEX-16MTA-1326-SM-6PALX,,,,GTEX-TKQ2-0826-SM-33HB6,,,,,,GTEX-1GF9X-1826-SM-7PC3X,
GTEX-P78B-0226-SM-3NB1Z,,,,GTEX-YFCO-1926-SM-4W212,,,,,,GTEX-1J1R8-0826-SM-ACKWP,
GTEX-QEL4-0326-SM-3GAE5,,,,GTEX-1R7EV-2026-SM-DTX83,,,,,,GTEX-15SHV-0826-SM-7KUFA,
GTEX-14PN3-0326-SM-6EU1X,,,,GTEX-14DAQ-0326-SM-664MR,,,,,,GTEX-1C64O-1026-SM-7PC3L,
GTEX-Y9LG-1226-SM-4VBQA,,,,GTEX-13PLJ-0326-SM-5L3I7,,,,,,GTEX-ZAK1-0426-SM-5J1MS,
GTEX-1HCVE-0226-SM-CGQEV,,,,GTEX-11DXZ-2426-SM-5N9DT,,,,,,GTEX-U3ZN-2526-SM-3DB7V,
GTEX-1399T-1326-SM-5PNVH,,,,GTEX-1H3VY-0326-SM-9WYU6,,,,,,GTEX-1CB4E-0726-SM-7EWEY,
GTEX-146FH-2026-SM-5SI9I,,,,GTEX-11OF3-2526-SM-5P9JL,,,,,,GTEX-14BIN-0926-SM-5S2OZ,
GTEX-1LVAN-0126-SM-COH4H,,,,GTEX-ZVP2-2126-SM-5GU6E,,,,,,GTEX-S3XE-0326-SM-4AD6L,
GTEX-ZPU1-2426-SM-4WWFM,,,,GTEX-1LG7Z-2126-SM-CXKYU,,,,,,GTEX-YFC4-0926-SM-5S2U7,
GTEX-15SKB-1626-SM-6PAL6,,,,GTEX-11ZTT-2626-SM-5EQKK,,,,,,GTEX-1QCLY-0626-SM-EAZ3Y,
GTEX-14PJ2-1426-SM-62LFF,,,,GTEX-OHPK-1626-SM-2YUN3,,,,,,GTEX-1HSMP-0526-SM-B2LXI,
GTEX-1AMEY-1426-SM-7939I,,,,GTEX-REY6-0826-SM-2TF4S,,,,,,GTEX-15CHC-0526-SM-6EU23,
GTEX-1EU9M-0326-SM-7RHGF,,,,GTEX-ZYY3-0526-SM-5E45G,,,,,,GTEX-13PLJ-0526-SM-5K7VW,
GTEX-WEY5-1926-SM-3GIL8,,,,GTEX-1LVAO-0526-SM-EWRNS,,,,,,GTEX-1JK1U-0426-SM-CYPSP,
GTEX-UJHI-1626-SM-3DB9A,,,,GTEX-U412-0326-SM-3DB9L,,,,,,GTEX-1HC8U-1126-SM-COH35,
GTEX-1JJ6O-0226-SM-E6CI9,,,,GTEX-139T4-0326-SM-5K7XN,,,,,,GTEX-1GMR2-1126-SM-7RHI6,
GTEX-1PPH8-0626-SM-EWRN9,,,,GTEX-1J8JJ-0126-SM-D3L93,,,,,,GTEX-1GMR3-2326-SM-7SB94,
GTEX-ZV68-0226-SM-59HJF,,,,GTEX-WWYW-0526-SM-3NB2W,,,,,,GTEX-12WSM-0526-SM-5GCO8,
GTEX-ZQUD-0526-SM-57WG4,,,,GTEX-ZPIC-2526-SM-57WDP,,,,,,GTEX-11P81-2726-SM-59876,
GTEX-X638-0226-SM-47JZ9,,,,GTEX-QCQG-2126-SM-DTXFV,,,,,,GTEX-1HCU6-0426-SM-CM2SI,
GTEX-1JJEA-0226-SM-COH2X,,,,GTEX-12WSA-0726-SM-5FQU2,,,,,,GTEX-O5YT-1826-SM-32PK9,
GTEX-1JMQK-0126-SM-CM2S3,,,,GTEX-1F48J-0526-SM-9WYSX,,,,,,GTEX-S4P3-0326-SM-4AD6P,
GTEX-1I1CD-0226-SM-CM2TL,,,,GTEX-XMD1-0626-SM-EZ6MC,,,,,,GTEX-11EMC-0926-SM-59863,
GTEX-ZGAY-0626-SM-DO92E,,,,GTEX-Y3IK-2626-SM-4WWDK,,,,,,GTEX-11ONC-2026-SM-5HL61,
GTEX-1GMR2-2526-SM-9MQKW,,,,GTEX-14PQA-0526-SM-7KUFS,,,,,,GTEX-1QCLY-2026-SM-EVR4C,
GTEX-1C64N-1326-SM-7SB7D,,,,GTEX-1N2DW-0426-SM-E9TK4,,,,,,GTEX-1RMOY-1726-SM-EVYC9,
GTEX-13QBU-1326-SM-5LU4K,,,,GTEX-OIZG-1326-SM-2HMIQ,,,,,,GTEX-15UF6-2726-SM-7KULY,
GTEX-1JJE9-1226-SM-CNPOI,,,,GTEX-1PBJJ-0326-SM-E8VNT,,,,,,GTEX-Y114-1626-SM-4TT7I,
GTEX-13O21-1526-SM-5K7W4,,,,GTEX-17JCI-0326-SM-7LG5H,,,,,,GTEX-1I1CD-2826-SM-A9SL4,
GTEX-12584-0226-SM-5EQL5,,,,GTEX-1I1GP-2126-SM-CKZPJ,,,,,,GTEX-15G1A-1826-SM-7KUKO,
GTEX-111FC-0226-SM-5N9B8,,,,GTEX-144GO-1326-SM-5Q5EL,,,,,,GTEX-1HCU7-2626-SM-C1YQO,
GTEX-1GMR3-2026-SM-9MQLG,,,,GTEX-X4XY-0626-SM-4E3IN,,,,,,GTEX-13OVJ-1826-SM-5KM2D,
GTEX-R45C-0226-SM-EVYAJ,,,,GTEX-12ZZX-0326-SM-5DUVH,,,,,,GTEX-1F75B-2726-SM-7P8QO,
GTEX-12ZZZ-0526-SM-5DUX6,,,,GTEX-13U4I-1826-SM-5IJD2,,,,,,GTEX-1IDJH-2826-SM-CJI49,
GTEX-16BQI-0526-SM-6PAM8,,,,GTEX-13NYS-0326-SM-5MR4L,,,,,,GTEX-145MO-2426-SM-5NQ9W,
GTEX-1GF9U-1226-SM-ARL9I,,,,GTEX-147JS-0526-SM-5TDD3,,,,,,GTEX-13X6J-2826-SM-7EPGA,
GTEX-1B996-0126-SM-7PBYF,,,,GTEX-15ER7-0226-SM-7KUEU,,,,,,GTEX-1AX9J-2526-SM-73KUY,
GTEX-14A5H-0526-SM-5TDCN,,,,GTEX-139T6-2026-SM-5IFFL,,,,,,GTEX-1QP2A-2226-SM-DTXF6,
GTEX-RWSA-0226-SM-2XCBA,,,,GTEX-U8T8-1426-SM-3DB9H,,,,,,GTEX-ZYT6-2826-SM-5GICX,
GTEX-1POEN-1626-SM-EVYC2,,,,GTEX-1J1OQ-0426-SM-A9SLI,,,,,,GTEX-1A3MX-2326-SM-718B4,
GTEX-14C5O-0926-SM-793DM,,,,GTEX-RU1J-1726-SM-2TF5S,,,,,,GTEX-1HBPI-2226-SM-9WYTY,
GTEX-XMK1-0926-SM-4B66X,,,,GTEX-145LV-2326-SM-5LU8Z,,,,,,GTEX-17F96-2126-SM-7KFSM,
GTEX-144GM-1926-SM-5LUAN,,,,GTEX-1H11D-0326-SM-9WG71,,,,,,GTEX-WHSE-2726-SM-EZ6ML,
GTEX-11WQC-2426-SM-5EQKQ,,,,GTEX-1F75A-0626-SM-7PBYI,,,,,,GTEX-1AMFI-1826-SM-73KWB,
GTEX-1H2FU-0226-SM-9YFKO,,,,GTEX-145MN-2426-SM-5NQA5,,,,,,GTEX-1R9K5-2126-SM-E8VN1,
GTEX-1HSMO-1426-SM-CNNQN,,,,GTEX-T8EM-1326-SM-3DB7G,,,,,,GTEX-12ZZZ-2426-SM-5GCNN,
GTEX-1JJ6O-2826-SM-CNNP7,,,,GTEX-1IL2V-0526-SM-ARL8B,,,,,,GTEX-1QW4Y-1426-SM-E76P3,
GTEX-17MFQ-1126-SM-7LT9O,,,,,,,,,,GTEX-1H1E6-1826-SM-A9G21,
GTEX-14PJ6-2226-SM-6LLIV,,,,,,,,,,GTEX-1IDJF-1826-SM-CKZOE,
GTEX-Y111-0226-SM-4SOIW,,,,,,,,,,GTEX-1E2YA-2526-SM-7IGOU,
GTEX-1HR98-0226-SM-CGQEK,,,,,,,,,,GTEX-12WSL-1626-SM-5GCMU,
GTEX-1B8KZ-1026-SM-73KYN,,,,,,,,,,GTEX-12ZZW-2426-SM-5DUWE,
GTEX-1HCU7-2026-SM-A9G2B,,,,,,,,,,GTEX-ZPU1-1726-SM-4WWFV,
GTEX-1B8SG-0226-SM-7939Q,,,,,,,,,,GTEX-ZZ64-0826-SM-5E449,
GTEX-1EKGG-1426-SM-7PBY2,,,,,,,,,,GTEX-131YS-2926-SM-5EGKI,
GTEX-1HSKV-0326-SM-ADEJC,,,,,,,,,,GTEX-Y3I4-1426-SM-4TT9C,
GTEX-XPVG-2726-SM-4B66W,,,,,,,,,,GTEX-1S5VW-2926-SM-E9U6H,
GTEX-18465-0226-SM-7LG5M,,,,,,,,,,GTEX-18A7B-2026-SM-72D71,
GTEX-1E2YA-0226-SM-9MQLY,,,,,,,,,,GTEX-13N2G-2226-SM-5IJCU,
GTEX-111YS-2426-SM-5GZZQ,,,,,,,,,,GTEX-1JMLX-2726-SM-CM2SB,
GTEX-1S5ZA-1026-SM-EWRO2,,,,,,,,,,GTEX-1IDJC-1326-SM-CL53H,
GTEX-14DAR-0426-SM-664MW,,,,,,,,,,GTEX-1HSMP-2326-SM-D3L8R,
GTEX-1GF9X-1926-SM-ADEIC,,,,,,,,,,GTEX-13O1R-2426-SM-5KLZZ,
GTEX-ZF29-0826-SM-5S2O2,,,,,,,,,,GTEX-1HSMQ-2526-SM-A9SMK,
GTEX-1HCU9-0626-SM-ACKW6,,,,,,,,,,GTEX-1JN6P-2126-SM-ARL98,
GTEX-16AAH-2026-SM-7LG5F,,,,,,,,,,GTEX-13D11-0626-SM-5LZYY,
GTEX-17F9Y-0726-SM-7LT9G,,,,,,,,,,GTEX-13OW5-2826-SM-5KM1G,
GTEX-1AX9J-0326-SM-73KXY,,,,,,,,,,GTEX-1QP67-1426-SM-E8VOO,
GTEX-13OVL-0326-SM-5IJCS,,,,,,,,,,GTEX-16MTA-1626-SM-6M47N,
GTEX-1QW4Y-0826-SM-DTXE1,,,,,,,,,,GTEX-11EQ9-1426-SM-5987G,
