i_doc,doc,doc,MEgrey
57,57,0.0331005203840499,0.0223587367454629
58,58,0.0148440137262176,0.0121682995322483
59,59,-0.0043680113875922,-0.0081411698654474
60,60,-0.022078161620791,-0.0252831566957349
61,61,-0.115201025221626,-0.127823733710976
62,62,0.0299883830740253,0.0194738228760761
63,63,-0.0509341652636802,-0.0592213402519142
64,64,-0.0499837964019308,-0.0241342978979908
65,65,0.0083969188294584,0.0063094627796771
66,66,0.0141099740243455,0.0113958509903531
67,67,0.0038484712994816,0.0110819897498812
68,68,0.0201735622565216,0.025401107930792
69,69,0.0110004888822765,0.0046586415796901
70,70,0.0387509093730935,0.0216701098694956
71,71,-0.0241482637347078,-0.034484821144256
72,72,-0.0813471994259208,-0.0754006933029188
73,73,0.0225591116399907,0.0213478712376987
74,74,0.0359134631807525,0.0200330642107114
75,75,0.0211937948639307,0.0254559010253482
76,76,0.0199961320614099,0.0229297512722384
77,77,-0.0066434739903033,-0.0093283369076293
78,78,-0.020670663051068,-0.0183288608258196
79,79,0.0255166846983799,0.0281299056840083
80,80,-0.0381373993639797,-0.0434906993223111
81,81,0.0176535883474765,0.0151779060003357
82,82,0.0055650096585863,0.0095707651514322
83,83,-0.0186524346595872,-0.0196445045898469
84,84,-0.0347259162592653,-0.0152870363024141
85,85,0.0064265945050744,0.0144268960473413
86,86,0.0225161872897014,0.0214657873884832
87,87,0.0271459084222891,0.0264961536248651
88,88,0.0268854298345935,0.0336674540482968
89,89,0.0139474382535074,0.0151980756075095
90,90,0.0187385043389633,0.0245560605484066
91,91,0.0042502747706636,0.0202204253440604
92,92,-0.0285135817356771,-0.0286045690822257
93,93,0.0208408857597278,0.0199748965662326
94,94,0.0150478955209433,0.0157728055372574
95,95,-0.0302426891040357,-0.0255711035518306
96,96,0.0374143281743777,0.0406868712539765
97,97,-0.0792873775770156,-0.0713197069652478
98,98,-0.0117372814366283,-0.0106456664323761
99,99,-0.0476498550474299,-0.0306087436802076
100,100,0.0296354177933889,0.0287527859398575
101,101,-0.0926277770301398,-0.0907269118895109
102,102,0.0136274710953719,0.0154909593053587
103,103,0.0197443482356001,0.0207623864581826
104,104,-0.0154205749543202,-0.0039406615299815
105,105,0.0450351136738155,0.0323434588572153
106,106,0.0316778912116306,0.0354968463098176
107,107,-0.0156840171629296,-0.0163444328838912
108,108,0.003415546132462,0.0074023986558887
109,109,-0.0041203664179073,-0.0018458741110508
110,110,-0.0308029026992833,-0.0287938746036362
111,111,0.0296641806847127,0.0303824068941286
112,112,0.0232146440960979,0.0231053569117284
113,113,0.0019307147012155,-0.0038409707840658
114,114,0.0185643736172191,0.0210441189903194
115,115,0.0137439458167781,0.0132632857275118
116,116,0.0101851609981163,0.0203491923500027
117,117,-0.101426059945142,-0.131565384885428
118,118,0.0256163547524952,0.0229139521373429
119,119,0.0188303656439931,0.0229727951711088
120,120,0.002740883499376,-0.003856538544946
121,121,0.0303694471894581,0.0307294421553771
122,122,-0.0268356549378773,-0.0310001765145783
123,123,0.0384288242055897,0.0434665464374775
124,124,0.0212735190533818,0.0245973696465554
125,125,-0.0741095629419907,-0.0833640327837215
126,126,-0.078608621589292,-0.0924751208467555
127,127,0.0317100716004916,0.0304783513198965
128,128,0.0235371320009428,0.0239803353968883
129,129,0.0216373806469483,0.0220437825606628
130,130,0.0145930688472972,0.0126817053408807
131,131,0.0156175468669198,0.0145720300299855
132,132,-0.0097066762162214,-0.0100122498579463
133,133,-0.0312620628841023,-0.032171500558954
134,134,0.0119003534025245,0.0089757052062144
135,135,0.0173928412109167,0.0233697272762761
136,136,-0.0130866540572493,0.0014693980140922
137,137,-0.0161442161379925,-0.0041835990421849
138,138,-0.0473352170362374,-0.0342971513437864
139,139,-0.0122959389081521,-0.0196411129328908
140,140,0.0113139048612271,0.0245455399529181
141,141,0.0329975730131518,0.0391721213554645
142,142,-0.0423607982565751,-0.0507256642374452
143,143,0.0046197593975693,0.0181223594617715
144,144,-0.0193053041717187,-0.0093686629710815
145,145,-0.046055600173325,-0.0506131772432465
146,146,-0.0559814189626613,-0.0555858345313721
147,147,0.0018639990227456,0.020410245889861
148,148,0.0218758978089529,0.0268864960830178
149,149,-0.0272705757799822,-0.0130100054127174
150,150,-0.016644621892437,-0.0037044570391857
151,151,0.0266844259543451,0.0290356259812776
152,152,0.0254974277567582,0.0262582867171201
153,153,-0.0054259311805962,-0.0044814736294284
154,154,-0.03729362482773,-0.0421949461517129
155,155,0.0141044801630566,0.0038423035869426
156,156,0.0245530552287593,0.0269384188590079
157,157,0.0239786834219149,0.0285539521009331
