"","x"
"GTEX-1M4P7-0226-SM-DIPEV",47
"GTEX-12WSF-1626-SM-7KUG5",56
"GTEX-XPT6-0008-SM-4B64Q",48
"GTEX-1JJEA-0326-SM-CNPOT",41
"GTEX-11GS4-0226-SM-5HL77",42
"GTEX-RVPV-0008-SM-47JYW",43
"GTEX-1GZ4H-0526-SM-9KNU9",41
"GTEX-1GMR2-0008-SM-EAZD1",44
"GTEX-11WQK-0008-SM-5SI6T",48
"GTEX-1JN6P-2926-SM-CL54D",47
"GTEX-QVJO-1626-SM-2S1QW",42
"GTEX-1QEPI-2626-SM-DTXF4",42
"GTEX-12BJ1-0008-SM-5TDBZ",52
"GTEX-11ZUS-0008-SM-5S2UO",46
"GTEX-17HGU-0226-SM-7DHKV",42
"GTEX-1GN1V-0126-SM-9WPOS",45
"GTEX-16MTA-0008-SM-EAZC6",43
"GTEX-1KANB-0526-SM-E6CJH",41
"GTEX-WYVS-0008-SM-4ONDY",4
"GTEX-13OVL-0126-SM-5L3GJ",57
"GTEX-1211K-2026-SM-5EQ4Z",42
"GTEX-1J1OQ-0126-SM-D4P2N",42
"GTEX-1E2YA-0126-SM-9KNUC",51
"GTEX-14BMU-1226-SM-5S2OR",45
"GTEX-132AR-0008-SM-62LDH",43
"GTEX-16A39-0008-SM-EAZC9",43
"GTEX-18D9B-0526-SM-7LTAS",42
"GTEX-X3Y1-0008-SM-4PR12",48
"GTEX-1CB4J-0626-SM-7DHMP",45
"GTEX-1CB4E-0926-SM-7EPHT",45
"GTEX-1H4P4-2126-SM-9WYSL",42
"GTEX-13JUV-2026-SM-5K7UA",47
"GTEX-1HFI7-2326-SM-CGQFS",42
"GTEX-1ICLZ-0326-SM-ARL82",42
"GTEX-11NSD-0008-SM-5Q5BC",4
"GTEX-117YX-2326-SM-5H12W",42
"GTEX-1HUB1-0426-SM-E9U4U",47
"GTEX-1AMFI-0008-SM-EVYAV",52
"GTEX-1KAFJ-2026-SM-CY8ID",41
"GTEX-1F6RS-0126-SM-9MQKZ",41
"GTEX-18465-0126-SM-731BN",42
"GTEX-1KWVE-1426-SM-E9TJO",58
"GTEX-1122O-1026-SM-9WYSF",41
"GTEX-ZE7O-0008-SM-4E3JQ",4
"GTEX-ZZPU-0826-SM-5GZX5",41
"GTEX-ZWKS-0126-SM-5SIAA",51
"GTEX-132NY-0326-SM-5IJBL",42
"GTEX-1F75I-0326-SM-9YFLU",47
"GTEX-1IDJF-0126-SM-CM2RS",42
"GTEX-XK95-0226-SM-4AT58",59
"GTEX-OIZI-0008-SM-2XCFD",4
"GTEX-1IY9M-2826-SM-ARU8H",60
"GTEX-131XH-2226-SM-5DUXJ",41
"GTEX-13X6I-0626-SM-5QGP9",42
"GTEX-ZYFD-0626-SM-5E44E",61
"GTEX-1GN2E-0426-SM-9MQKX",42
"GTEX-12WSL-2526-SM-5GCNJ",45
"GTEX-17F9E-0008-SM-EAZB5",4
"GTEX-Y5LM-0926-SM-6LLJG",47
"GTEX-1H3VE-0326-SM-9YFLH",42
"GTEX-1GL5R-1526-SM-7MKHO",62
"GTEX-1RLM8-0726-SM-E6CRH",62
"GTEX-1GF9X-0726-SM-7SB7V",4
"GTEX-P44H-1426-SM-E9U4O",4
"GTEX-15UF7-0926-SM-6M46F",62
"GTEX-12KS4-1026-SM-5FQTD",4
"GTEX-1H3NZ-1326-SM-9JGHI",63
"GTEX-13OW8-2326-SM-5L3I9",64
"GTEX-1NV8Z-2026-SM-E8VMD",4
"GTEX-1HBPM-1526-SM-A9G3H",4
"GTEX-ZLV1-0526-SM-4WWD4",62
"GTEX-RM2N-0726-SM-48FD5",62
"GTEX-13CF3-1726-SM-5LU9E",4
"GTEX-ZY6K-0526-SM-5GZY9",4
"GTEX-P4QS-0626-SM-3NMD1",65
"GTEX-1O97I-1826-SM-EXUS9",4
"GTEX-1RNTQ-1126-SM-E9TK9",4
"GTEX-1IKK5-1326-SM-AHZ2X",62
"GTEX-11P7K-1226-SM-5HL4X",4
"GTEX-14PK6-1126-SM-5YY93",4
"GTEX-1IDJF-1326-SM-A9G2R",4
"GTEX-14BIN-2626-SM-5YY8U",4
"GTEX-NFK9-1226-SM-3LK79",4
"GTEX-1AMEY-0326-SM-72D5T",4
"GTEX-1L5NE-1426-SM-DHXKV",62
"GTEX-17F9E-1026-SM-7DUF1",4
"GTEX-1AX8Z-1826-SM-73KW6",4
"GTEX-11ZTS-2726-SM-5EQLU",4
"GTEX-ZA64-0526-SM-5HL9I",4
"GTEX-1JMLX-2126-SM-CL54B",4
"GTEX-OXRL-0726-SM-3NM9A",4
"GTEX-1I1GR-1426-SM-CY8H8",66
"GTEX-1NHNU-1726-SM-E76R1",4
"GTEX-1GN73-1926-SM-9JGGS",62
"GTEX-YEC4-1026-SM-9WG7N",62
"GTEX-18QFQ-1026-SM-7LG6B",48
"GTEX-1C6VQ-2026-SM-79OOH",4
"GTEX-NPJ8-2026-SM-3TW91",4
"GTEX-1C475-0926-SM-7MKFI",48
"GTEX-1211K-1026-SM-5EQ4B",4
"GTEX-14PJN-0526-SM-68724",62
"GTEX-XQ8I-1526-SM-4BOOH",67
"GTEX-1EKGG-1726-SM-7MXUP",62
"GTEX-1MCYP-1026-SM-DPRYB",62
