i_doc,doc,MEturquoise,MElightyellow,MEblue,MEpurple,MEmagenta,MEpink,MElightcyan,MEblack,MEmidnightblue,MEgreenyellow,MEred,MEgrey60,MEsalmon,MEbrown,MEgreen,MEcyan,MEdarkgreen,MEdarkred,MEtan,MElightgreen,MEroyalblue,MEdarkturquoise,MEyellow,MEgrey
10,GTEX-OHPN-0011-R1A-SM-2I5GB,-0.00157344185503819,-0.0007925463626222,-0.00161835169681723,0.009455959045750629,-0.000292781504709202,0.0146993855592976,-0.00139944187301522,-0.00987459193519301,-0.00229062532613763,-0.0037026127526503796,-0.00045774716133620096,0.000407714199097752,-0.00395454649805511,-0.000761097834864389,-0.00163169429264268,-0.0026192853319095,-0.00959272281805305,0.00285980603057384,-0.00235305080225186,-0.00408224325678667,-0.00425004625237605,-0.00255268142361715,-0.00664700281272687,-3.4900569010190604e-05
11,GTEX-11DYG-0011-R5a-SM-DO928,-0.0017731166142164198,0.006546756194509571,0.00490429128147105,0.074869957860519,0.00641004946971581,0.016393914456894,-0.0024019961079917,-0.00970116794286247,-0.0017616772802195,-0.00348777413653506,-0.00161055195785495,-0.0016463290459683801,-0.0040043578681013894,-0.00388366008191091,-0.00313857880893811,-0.0011550395326995699,-0.00839001900010318,0.00228365056035421,-0.00238873497602701,-0.00396013444554142,-0.00427060962696514,-0.00270745442743632,-0.007045985841030529,-0.000160515036989335
12,GTEX-1B933-0011-R10b-SM-9OSVN,2.68154717977995e-05,0.0235315565390611,0.0242749702080719,0.188751298045309,0.00239878769600141,0.0198942572043984,-0.0016553891519222599,-0.009446806892995459,-0.00175014186296935,-0.0031173763825498198,-0.00214402570658832,-0.000703440233039272,-0.00140896880224945,-0.00312324532599653,-0.00287127355257564,-0.00111733799633832,-0.00845893142982384,-0.0012464400949803698,-0.0016512054016207302,-0.00403480537861466,-0.00368323691192235,-0.00223941341989498,-0.00660721475547831,-0.000134697802020475
13,GTEX-1IKK5-0011-R5b-SM-CL55B,-0.000124350280977896,0.0038167594101596,0.0022037318947834,0.0446638038628615,0.12925822798552802,0.0637168705529495,-0.0019020123464141602,-0.00971292139736385,-0.00184650357394467,-0.00365326751132509,-0.0021771248856682,-0.0014415708335768199,-0.0042099658250394,-0.00242265383883056,-0.00291066500030606,-0.0017309934393831198,-0.007533614721135659,0.0037737285437742,-0.00200701631913348,-0.00407935652623226,-0.00427060962696514,-0.00197140150491935,-0.00595563812325075,-9.938976311503559e-05
14,GTEX-1IY9M-0011-R7a-SM-D4P49,-0.000531243389821654,0.00450128466621918,0.006454849152765179,0.0747938120909455,0.0015738683891770699,0.0232426811073416,-0.00171778869111205,-0.009631194947051041,-0.00127387818440069,-0.0037143229410363204,-0.0019209570635424602,-0.00141496530596659,-0.00366558238560189,-0.00221903141844451,-0.00282324061357378,-0.00073803407234929,-0.00860346171140494,0.00449255089457726,-0.0015496797667691599,-0.00406465949556826,-0.00427060962696514,-0.0022413872056970103,-0.0068496621059635,-0.000161348580404743
15,GTEX-ZE9C-3026-SM-4WKHB,-0.0008034904534267599,0.0051314514661956,0.0211279623987752,0.13268415589225302,0.00364282847062275,0.0198243882848061,-0.00200398012378011,-0.009423314757943,-4.51355924339194e-05,-0.0036222781051014796,-0.0012851591721908199,-0.000704371477981789,0.00471870898030919,-0.00330933968671844,-0.00219757472055448,0.0011970360870537599,-0.00861122917506338,-0.0014217145662860401,-0.00190150204299138,-0.004075221688817779,-0.00423508259816,-0.00176218020990418,-0.0063351151714074105,-9.78026313314465e-05
16,GTEX-1MJK2-3026-SM-EV7A5,0.0012724759694173599,0.00784291496461482,0.284401409278581,0.173520059291827,-0.000303838207470023,0.00890246780888044,-0.0014675130217486699,-0.00969000342050678,-0.00198502874535851,-0.00299055905100605,-0.00157275337897331,0.0006329016179328849,0.00538933134104984,-0.00235439493803217,-0.00094530832908874,-0.0018961427413738,-0.0078026209161544905,-0.00198154115843192,0.000333690581830193,-0.004058644834106321,-0.00426489025979285,-0.0014219096815443401,-0.0061489142318352395,-3.36383267642936e-05
17,GTEX-144GL-0011-R11b-SM-5P9F6,0.0008418666005445889,0.0107250687514618,0.263829624055183,0.15600968444146499,-0.00020860744078898,0.00965810803891794,-0.0020102252856007198,-0.0097094855645236,-0.0014230303346283,-0.00316099430795197,-0.000871370702106232,0.0225928681284251,-0.00325838397274629,-0.00361299056097566,-0.0020324270012921698,-0.00271806011518822,-0.007343714203022171,-0.0028785123283907197,-0.00154249716528103,-0.00407915102870248,-0.00427060962696514,-0.00258708169045253,-0.00660430735050218,-3.4424053522104305e-05
18,GTEX-13FXS-0011-R9a-SM-5K7UI,0.00026943778864091297,0.00047192837793186905,0.011506190709558998,0.0297385375240597,0.0071405372183755,0.363360211506517,-0.0011663219455629301,-0.009665037301646341,-0.000159426345240373,-0.00337498813561829,-0.0019422188196473898,-0.0015298734217271698,-0.0022576391527715897,-0.00078023356515739,0.00028203568553513997,-0.0014390911813817401,-0.0085139120010925,-0.000157800721302376,-0.00201474566706586,-0.004060901328664129,-0.00271326851162416,-0.00235361102701242,-0.00503766834415936,-1.07976373332954e-05
19,GTEX-11ZVC-0011-R1b-SM-5BC6M,-0.00032078099621111897,-0.000126206186681078,-0.0037078475978249703,0.0011937135931487301,0.0923275781948582,0.0287587971300802,-0.00139479887199521,-0.00989840905121137,-0.00182207928513509,-0.0037414589686882898,-0.0022712033685693303,-0.000670347337846463,0.004110507999870221,-0.00508327271812954,-0.0042674836257498,-0.0027220065728772603,-0.00967765777882613,-0.00294801176290326,-0.00194215010701992,-0.0040657268109788895,-0.00426799793156498,-0.00108435509735504,-0.00654312673613275,-3.43920963822095e-05
