MEmidnightblue,MEred,MEgreen,MEblack,MEblue,MEsalmon,MEturquoise,MEcyan,MEbrown,MEtan,MEgreenyellow,MEpink,MEyellow,MEmagenta,MEpurple,MEgrey
,ENSG00000182253,ENSG00000175877,ENSG00000159784,ENSG00000259954,ENSG00000269113,ENSG00000254691,,ENSG00000170482,,,ENSG00000176225,ENSG00000167850,,,ENSG00000157601
,ENSG00000126091,ENSG00000259267,ENSG00000269873,ENSG00000007264,ENSG00000260139,ENSG00000113205,,ENSG00000127124,,,ENSG00000142937,ENSG00000140931,,,ENSG00000224888
,ENSG00000165526,ENSG00000236950,ENSG00000239942,ENSG00000178171,ENSG00000119403,ENSG00000185621,,ENSG00000016402,,,ENSG00000149636,ENSG00000072786,,,ENSG00000215126
,ENSG00000183571,ENSG00000163098,ENSG00000239519,ENSG00000245526,ENSG00000182158,ENSG00000050820,,ENSG00000119862,,,ENSG00000111665,ENSG00000137312,,,ENSG00000267343
,ENSG00000155367,,ENSG00000254440,ENSG00000021300,ENSG00000164949,ENSG00000198270,,ENSG00000145824,,,ENSG00000116017,ENSG00000141480,,,ENSG00000228638
,ENSG00000132463,,ENSG00000152822,ENSG00000230725,ENSG00000187479,ENSG00000147804,,ENSG00000229660,,,ENSG00000180008,ENSG00000257335,,,ENSG00000234028
,ENSG00000214194,,ENSG00000083067,ENSG00000111783,ENSG00000273015,ENSG00000241370,,ENSG00000184574,,,ENSG00000235508,ENSG00000015285,,,ENSG00000143578
,ENSG00000125414,,ENSG00000279123,ENSG00000240253,ENSG00000084636,ENSG00000168487,,ENSG00000105679,,,ENSG00000145348,ENSG00000142669,,,ENSG00000213782
,ENSG00000260125,,ENSG00000229492,ENSG00000215237,ENSG00000120896,ENSG00000244968,,ENSG00000280183,,,ENSG00000168944,ENSG00000227550,,,ENSG00000244657
,ENSG00000161714,,ENSG00000157890,ENSG00000157064,ENSG00000232057,ENSG00000058085,,ENSG00000216802,,,ENSG00000053770,ENSG00000258511,,,ENSG00000117625
,ENSG00000163126,,ENSG00000166793,ENSG00000278041,ENSG00000240429,ENSG00000277161,,ENSG00000170522,,,ENSG00000129315,ENSG00000132704,,,ENSG00000270137
,ENSG00000099968,,ENSG00000165066,ENSG00000270240,ENSG00000143248,ENSG00000283317,,ENSG00000258471,,,ENSG00000197226,ENSG00000231964,,,ENSG00000004455
,ENSG00000201279,,ENSG00000265254,ENSG00000170775,ENSG00000151491,ENSG00000243989,,ENSG00000278527,,,ENSG00000125304,ENSG00000238121,,,ENSG00000162419
,ENSG00000101413,,ENSG00000257159,ENSG00000084444,ENSG00000049323,ENSG00000152133,,ENSG00000149346,,,ENSG00000140750,ENSG00000064012,,,ENSG00000247240
,ENSG00000267507,,ENSG00000264791,ENSG00000281106,ENSG00000259523,ENSG00000270061,,ENSG00000271366,,,ENSG00000131148,ENSG00000130066,,,ENSG00000133313
,ENSG00000168575,,,ENSG00000140600,ENSG00000234509,ENSG00000110107,,ENSG00000253766,,,ENSG00000125944,ENSG00000211816,,,ENSG00000145779
,ENSG00000182606,,,ENSG00000231460,ENSG00000071967,ENSG00000188185,,ENSG00000146904,,,ENSG00000048991,ENSG00000100055,,,ENSG00000127980
,,,,ENSG00000136099,ENSG00000143554,ENSG00000124688,,ENSG00000279929,,,ENSG00000151576,ENSG00000128294,,,ENSG00000280408
