i_doc,doc,MEmidnightblue,MEred,MEgreen,MEblack,MEblue,MEsalmon,MEturquoise,MEcyan,MEbrown,MEtan,MEgreenyellow,MEpink,MEyellow,MEmagenta,MEpurple,MEgrey
21,GTEX-14C39-0011-R3b-SM-5YYA3,-0.007942049877004191,-0.0153663162511753,-0.004039825790790171,0.014114261923066003,0.0840764703574731,-0.0172884794419448,-0.0232599454033714,-0.00556501531216219,-0.008640196873236559,-0.00923209680486106,-0.0098153032327353,-0.0161473550049974,-0.0243367570120856,-0.0037049487813501,-0.0161919948618816,-0.000126326317494864
22,GTEX-1GF9V-0011-R10b-SM-CKZNP,-0.00257240679132998,-0.0039474712110132,0.00393447705474268,0.0233855864078614,0.127124727303639,-0.0149199536849012,-0.00629459864803551,0.00474829919588484,-0.0045235516425416,-0.00601822504033559,-0.0115111468991162,-0.0073245438871578,-0.023381400815311,-0.000398534269468477,-0.0172705396765851,-9.219667704823671e-05
23,GTEX-NPJ7-0011-R9a-SM-2TC5R,0.0137978705879392,-0.0095174597914608,0.00448530522337448,5.19094558106926e-05,0.0515876490946038,-0.0195793630218386,-0.0101162996623816,-0.00539816210822054,-0.00872493865493096,-0.010664508020274,-0.0048630698223095705,-0.00938484119150767,0.00318196749897416,0.00721625411175032,-0.0136874254614633,-2.3149577144052898e-05
24,GTEX-1313W-0011-R7b-SM-5DUWL,0.00541550702709396,-0.0192887008450485,0.00605257477181161,0.0126158885018468,0.0917714405664796,-0.0148613590064661,-0.0283896707467525,-0.00161908936600267,-0.0147016883421505,-0.0037838927347670897,-0.00805923682648612,-0.0187149748083787,-0.0174878209944661,-0.0106731184263058,-0.0172395105141552,-0.00012314834485654198
25,GTEX-13QJC-0011-R8b-SM-5S2U6,-0.0111616991187063,-0.0339441380150683,-0.000709307201738518,0.0134519286164529,0.0570739468224677,-0.0204920795305859,-0.0473175665771128,-0.0028136367935800103,-0.0156142404474352,-0.00998615926724094,-0.00747711189204516,-0.0312980303980069,-0.0222742157487925,-0.006981804776370029,-0.0176615326757199,-0.000121547984190273
26,GTEX-Z93S-0011-R7b-SM-4RGNK,-0.003498822360237,-0.022675975172642995,0.00163608740514265,0.0107908409541245,0.0831035599610637,-0.0110828845003614,-0.0355799370600036,-0.00440005528775796,-0.0127012685609846,-0.007679417555197921,-0.010730803614351999,-0.0182896560388399,-0.0224115299094951,-0.011067077865378,-0.0176970257937376,-0.00016352378949605702
27,GTEX-1HSMO-0011-R2a-SM-CL553,0.0153585583541364,-0.0130208505206224,0.011046674689058001,0.0111569253812727,0.0780154460193867,-0.0138326927852597,-0.00302231884775569,-0.00332296271891737,-0.00507795263486775,0.008397345417854309,0.000331003261331882,-0.00473625467176264,-0.00810014716912022,-0.000975493382948315,-0.0168290651445301,-6.39438750838906e-06
28,GTEX-1B996-0011-R10b-SM-CJI3T,-0.00778455561930121,-0.00742534211893808,0.00920507875694,0.0160933232985161,0.0985633987361159,-0.0112809012085682,-0.012162534375193998,-0.00353725005139119,-0.00697912558006583,-0.00852780231232173,-0.00334916064282053,-0.0111032025703504,-0.0128865755519946,0.0041303578415779,-0.0174691014280512,-8.83117459552436e-05
29,GTEX-1B933-0011-R2b-SM-7IGNM,-0.0012960501818822599,-0.00329642656251982,0.00019918265369417,0.0226173214567328,0.0934629944349315,-0.00943488955894831,-0.0053893830076420105,-0.0035055613128285802,-0.00525416278157965,-0.00647594431175755,-0.00689868117856628,-0.00509435061651695,-0.0130916395881758,0.0173353790857918,-0.0171806222519203,-8.61170115433996e-05
30,GTEX-1GZHY-3026-SM-7MXVA,0.000531580099761188,-0.00930575909391807,0.0017109632492613301,0.21421942431798202,0.0808988819539729,-0.0187394823657498,0.00835929827635087,-0.00200166658125288,-0.00197809165876922,0.0034450978618617103,-0.0114984750332773,0.00846742558184471,-0.0205934118139591,-0.005374256693036279,-0.017642904413904,-4.5283637328668105e-05
