"","x"
"GTEX-ZEX8-1326-SM-4WWEW",53
"GTEX-1PIIG-0926-SM-E6CQN",61
"GTEX-11GSP-1726-SM-5A5LI",53
"GTEX-Y9LG-0626-SM-4WWDH",63
"GTEX-S4Z8-0726-SM-4GICB",53
"GTEX-ZVZP-1626-SM-5GIDJ",53
"GTEX-17EVQ-1926-SM-7IGOF",69
"GTEX-1R9PM-1126-SM-E76OX",53
"GTEX-1JMQJ-1026-SM-CNPP8",53
"GTEX-1H11D-2126-SM-9OSXM",59
"GTEX-P4PQ-0726-SM-3NMCR",53
"GTEX-WHWD-0926-SM-4OORY",79
"GTEX-11EMC-2226-SM-5A5JW",62
"GTEX-18D9A-0326-SM-7LT8L",53
"GTEX-WYVS-1026-SM-4SOJW",53
"GTEX-O5YV-1026-SM-3LK72",54
"GTEX-1LGOU-0526-SM-D3LAO",80
"GTEX-PSDG-1326-SM-48TD2",74
"GTEX-11DYG-1326-SM-5N9DO",81
"GTEX-1AMFI-0326-SM-731CU",53
"GTEX-1HKZK-1426-SM-A96U1",59
"GTEX-W5WG-1626-SM-4LMKG",54
"GTEX-OHPM-0726-SM-3LK7A",53
"GTEX-15SB6-0926-SM-7KUFM",53
"GTEX-1B8KZ-0826-SM-73KYB",76
"GTEX-1JMQK-1826-SM-CY8I1",66
"GTEX-XUW1-1526-SM-4BOOY",53
"GTEX-1B97I-1026-SM-73KVC",53
"GTEX-1MA7W-0426-SM-E9TJ5",50
"GTEX-13X6H-1426-SM-5SI91",53
"GTEX-145LT-1326-SM-5O9AQ",53
"GTEX-13FH7-0526-SM-5IJF8",77
"GTEX-PLZ5-0826-SM-3P5ZW",82
"GTEX-14E7W-1926-SM-5S2R9",53
"GTEX-1HGF4-2826-SM-ADEII",83
"GTEX-1399U-0626-SM-5J1NZ",84
"GTEX-1R7EU-0426-SM-EVR4H",85
"GTEX-R55E-1126-SM-48FDZ",85
"GTEX-PLZ6-0326-SM-3P61J",86
"GTEX-11NV4-0526-SM-5N9BF",85
"GTEX-X4XY-0526-SM-46MW1",87
"GTEX-13X6I-0926-SM-5LUAB",88
"GTEX-1HBPH-0326-SM-CM2S8",89
"GTEX-11TUW-0926-SM-5EQMW",84
"GTEX-YJ8O-0126-SM-5QGRG",90
"GTEX-1IDJU-2326-SM-ARL89",85
"GTEX-OXRO-1926-SM-2S1O3",85
"GTEX-TMMY-0626-SM-33HBD",86
"GTEX-ZTPG-0726-SM-5DUXP",91
"GTEX-14PJN-2226-SM-6872I",85
"GTEX-14PN4-0426-SM-6AJ9N",85
"GTEX-ZZPU-0226-SM-5N9BV",92
"GTEX-1I19N-1926-SM-CM2TF",93
"GTEX-1122O-0426-SM-5H12G",83
"GTEX-1EU9M-0426-SM-7SB8N",93
"GTEX-14C39-2626-SM-5S2QD",85
"GTEX-1EKGG-0826-SM-79OLL",85
"GTEX-1M4P7-0426-SM-DKPQG",93
"GTEX-13O3O-1126-SM-5KM4Q",83
"GTEX-146FH-1326-SM-5NQBI",86
"GTEX-PWCY-0426-SM-48TCW",83
"GTEX-16XZZ-1426-SM-7KUE3",86
"GTEX-14ASI-1126-SM-5QGPN",90
"GTEX-13RTJ-2626-SM-7DHKR",86
"GTEX-1CB4F-0726-SM-793AO",93
"GTEX-QXCU-0226-SM-2TC5W",85
"GTEX-1HBPN-1026-SM-9YFLZ",84
"GTEX-OHPL-3026-SM-3MJGS",83
"GTEX-1IKOE-0826-SM-ARZME",94
"GTEX-1C4CL-0126-SM-7IGN5",85
"GTEX-X4XY-1526-SM-4QASE",95
"GTEX-147F4-1326-SM-5LU9V",83
"GTEX-1LB8K-1126-SM-DIPEP",93
"GTEX-OIZG-0426-SM-3LK5W",86
"GTEX-ZAB5-2026-SM-5L3EQ",93
"GTEX-1QW4Y-1926-SM-E8VO3",96
"GTEX-14JG6-2026-SM-6EU2E",85
"GTEX-QDT8-1026-SM-43V6X",86
"GTEX-17HHY-0526-SM-793BZ",93
"GTEX-O5YV-0626-SM-3LK64",86
"GTEX-13VXU-0526-SM-5K7V1",93
"GTEX-1JJEA-0726-SM-CYPSN",90
"GTEX-YB5E-2426-SM-5IFIV",86
"GTEX-147F4-0126-SM-5QGPV",85
"GTEX-WHPG-2326-SM-3NMBP",85
"GTEX-Y8E4-1126-SM-5IFIA",86
"GTEX-QLQ7-0326-SM-DHXIO",97
"GTEX-1HCU8-1526-SM-ADEHG",98
"GTEX-Q2AH-0626-SM-48TZJ",99
"GTEX-14PN3-0426-SM-6LLIY",84
"GTEX-145MO-0626-SM-5NQAW",85
"GTEX-13X6K-1926-SM-5LU4O",90
"GTEX-15CHR-0526-SM-79OLJ",100
"GTEX-1R9PO-0226-SM-E6CHS",83
"GTEX-WFON-2526-SM-3LK7P",85
"GTEX-1HSGN-1026-SM-CNPQ1",101
"GTEX-PSDG-1026-SM-48TCV",101
"GTEX-1F5PL-0526-SM-7PBYD",87
"GTEX-1B8KZ-2226-SM-73KYS",93
"GTEX-1NSGN-0526-SM-E9J34",85
"GTEX-QV44-2226-SM-447A3",93
"GTEX-11GS4-2926-SM-5A5LF",102
"GTEX-1CB4E-0426-SM-7PBY5",86
"GTEX-1339X-2626-SM-5K7YX",87
"GTEX-1LVAN-0426-SM-CNPPD",85
"GTEX-1399S-0926-SM-5PNVQ",103
"GTEX-XBED-2426-SM-4AT4O",86
"GTEX-1AX8Z-1426-SM-7939T",104
"GTEX-1HSKV-0626-SM-CNPPL",85
"GTEX-1GF9X-1826-SM-7PC3X",93
