Cluster 1,Cluster 2,Cluster 3,Cluster 4,Cluster 5,Cluster 6
GTEX-OOBJ-2026-SM-3NB1R,TCGA-L5-A8NE-01A-11R-A37I-31,GTEX-P78B-1826-SM-3P5YX,TCGA-NA-A4R1-01A-11R-A28V-07,GTEX-S33H-1626-SM-4AD68,GTEX-14ABY-1126-SM-5Q5F8
GTEX-11O72-2726-SM-5HL6K,TCGA-IC-A6RF-01A-13R-A336-31,GTEX-XBED-1226-SM-4AT5V,TCGA-N6-A4VE-01A-11R-A28V-07,GTEX-ZPU1-0826-SM-57WG2,TCGA-FL-A1YT-11A-12R-A32Y-07
GTEX-ZTX8-1026-SM-5EGHD,TCGA-IG-A3QL-01A-11R-A24K-31,GTEX-13QJ3-2726-SM-5SI6L,TCGA-N6-A4V9-01A-11R-A28V-07,GTEX-1399T-0826-SM-5IFES,GTEX-14A6H-0526-SM-5NQAZ
GTEX-146FQ-1726-SM-5QGPX,TCGA-L5-A893-01A-11R-A36D-31,GTEX-ZYVF-2726-SM-5GID4,TCGA-N5-A4R8-01A-11R-A28V-07,GTEX-ZYT6-0626-SM-5E45V,TCGA-77-8008-11A-01R-2187-07
GTEX-WK11-2626-SM-4OOSK,TCGA-L5-A8NW-01A-11R-A37I-31,GTEX-146FR-2026-SM-5NQAI,TCGA-N5-A4RF-01A-11R-A28V-07,GTEX-XBEC-1526-SM-4AT68,TCGA-56-7730-11A-01R-2125-07
GTEX-11OF3-1726-SM-5GU5Q,TCGA-LN-A49K-01A-11R-A24K-31,GTEX-S4P3-0726-SM-4AD57,TCGA-N9-A4Q1-01A-11R-A28V-07,GTEX-RU72-1426-SM-46MUF,TCGA-56-8082-11A-01R-2247-07
GTEX-148VJ-1826-SM-5Q5DV,TCGA-LN-A8I1-01A-11R-A36D-31,GTEX-RWS6-0926-SM-47JXE,TCGA-N7-A4Y5-01A-12R-A28V-07,GTEX-OOBJ-0826-SM-3NB2K,TCGA-55-8619-01A-11R-2403-07
GTEX-13FXS-2826-SM-5LZYC,TCGA-VR-A8ET-01A-11R-A406-31,GTEX-11TT1-0726-SM-5GU5A,TCGA-ND-A4WF-01A-11R-A28V-07,GTEX-11ZTS-1426-SM-5EQMM,TCGA-50-5931-11A-01R-1858-07
GTEX-14BMV-2326-SM-5RQJ4,TCGA-LN-A49X-01A-31R-A260-31,GTEX-R55D-1526-SM-48FEJ,TCGA-N6-A4VC-01A-11R-A28V-07,GTEX-S4Z8-0526-SM-4AD4T,TCGA-97-7553-01A-21R-2039-07
GTEX-13FTW-1226-SM-5LZZ1,TCGA-R6-A8W8-01B-11R-A37I-31,GTEX-11I78-1726-SM-5A5M3,TCGA-N5-A4RD-01A-11R-A28V-07,GTEX-T6MN-1226-SM-3NMA5,TCGA-56-8201-11A-01R-2247-07
GTEX-14E6E-1126-SM-5S2R4,TCGA-LN-A7HW-01A-22R-A354-31,GTEX-147JS-2626-SM-5S2UX,TCGA-NG-A4VW-01A-11R-A28V-07,GTEX-14AS3-0126-SM-5Q5F4,GTEX-T2IS-2226-SM-4DM65
GTEX-S95S-1026-SM-4B64M,TCGA-VR-A8EP-01A-31R-A406-31,GTEX-WQUQ-2526-SM-4MVNO,TCGA-55-5899-01A-11R-1628-07,GTEX-11OF3-0726-SM-5BC4Z,TCGA-22-5471-11A-01R-1635-07
GTEX-SJXC-2026-SM-4DM6N,TCGA-XP-A8T8-01A-11R-A36D-31,GTEX-PLZ5-1126-SM-3P613,TCGA-73-4675-01A-01R-1206-07,GTEX-ZVT3-1626-SM-5GU66,TCGA-49-4512-11A-01R-1858-07
GTEX-UTHO-2726-SM-4JBH9,TCGA-L5-A4OS-01A-11R-A28J-31,GTEX-ZF28-2526-SM-57WFH,TCGA-J2-8194-01A-11R-2241-07,GTEX-QDVN-0826-SM-48TZ2,GTEX-13PVQ-0926-SM-5IJFD
GTEX-U3ZM-0926-SM-4DXSW,TCGA-V5-AASW-01A-11R-A406-31,GTEX-P78B-1726-SM-3P5ZV,TCGA-78-7143-01A-11R-2039-07,GTEX-139TU-0826-SM-5IJFG,GTEX-13NYB-0626-SM-5MR47
GTEX-QV44-1526-SM-4R1KI,TCGA-L5-A8NS-01A-12R-A37I-31,GTEX-13OVG-1426-SM-5K7VP,TCGA-95-A4VK-01A-11R-A262-07,GTEX-ZF2S-3026-SM-4WWCH,GTEX-13FHO-1026-SM-5KM1Q
GTEX-Y8E4-2126-SM-5RQHO,TCGA-L5-A4OM-11A-11R-A260-31,GTEX-13OVJ-1826-SM-5KM2D,TCGA-BR-A4IZ-01A-32R-A251-31,GTEX-X261-1726-SM-4PQYT,GTEX-XYKS-0526-SM-4BRW2
TCGA-CH-5767-11B-01R-1789-07,TCGA-R6-A6DN-01B-11R-A31P-31,GTEX-13S86-1626-SM-5Q5C5,TCGA-55-7281-01A-11R-2039-07,TCGA-DD-AACS-01A-11R-A41C-07,GTEX-11NV4-1126-SM-5HL6J
TCGA-EJ-8472-01A-11R-2403-07,TCGA-LN-A4A5-01A-21R-A260-31,GTEX-13OW5-2826-SM-5KM1G,TCGA-MP-A4T7-01A-11R-A24X-07,GTEX-14A5I-1726-SM-5QGQ5,GTEX-WZTO-0426-SM-3NM99
GTEX-12ZZX-1126-SM-5EGKB,TCGA-L5-A8NT-01A-11R-A37I-31,GTEX-XBEW-1926-SM-4SOJO,TCGA-44-8119-01A-11R-2241-07,TCGA-DD-A1EK-01A-11R-A213-07,GTEX-XBED-0826-SM-47JYC
GTEX-11EQ9-1726-SM-5HL6U,GTEX-11ZU8-1526-SM-5EGHX,GTEX-13O3P-2326-SM-5KM55,TCGA-69-8253-01A-11R-2287-07,TCGA-W5-AA34-11A-11R-A41I-07,GTEX-X3Y1-0626-SM-3P5YS
GTEX-WFG8-1826-SM-4LVM4,GTEX-PLZ5-0926-SM-3TW8L,GTEX-ZT9W-1826-SM-51MQX,TCGA-BR-8060-01A-11R-2343-13,TCGA-CC-A9FU-01A-11R-A37K-07,GTEX-1399U-0826-SM-5KM1P
GTEX-WZTO-0926-SM-4PQZ3,GTEX-T5JW-1326-SM-4DM5G,GTEX-XUJ4-2126-SM-4BOOX,TCGA-MP-A4SY-01A-21R-A24X-07,TCGA-XR-A8TG-01A-11R-A36F-07,GTEX-U8T8-2226-SM-3DB95
GTEX-RWSA-2026-SM-47JX8,TCGA-IN-8462-11A-01R-2343-13,GTEX-RWS6-1826-SM-47JXX,TCGA-55-A57B-01A-12R-A39D-07,TCGA-ED-A4XI-01A-11R-A266-07,GTEX-U3ZH-0526-SM-3DB75
GTEX-13NYS-1026-SM-5KLZT,TCGA-A7-A6VY-01A-12R-A33J-07,GTEX-11I78-1326-SM-5PNY9,TCGA-55-7727-01A-11R-2170-07,TCGA-DD-A3A5-11A-11R-A22L-07,GTEX-QEG4-0526-SM-48TZD
GTEX-13O61-1726-SM-5KM46,TCGA-M9-A5M8-01A-11R-A28J-31,GTEX-QLQ7-1126-SM-4R1KN,TCGA-49-AAQV-01A-11R-A39D-07,TCGA-FV-A2QR-01A-11R-A213-07,GTEX-13OVJ-0726-SM-5KM1W
