Topic 1,Topic 2,Topic 3,Topic 4,Topic 5,Topic 6,Topic 7,Topic 8,Topic 9,Topic 10,Topic 11,Topic 12,Topic 13,Topic 14,Topic 15,Topic 16,Topic 17,Topic 18,Topic 19,Topic 20
TACC3,,,,,,,,,,,,,,,,,,,
PLS1,,,,,,,,,,,,,,,,,,,
AP001816.1,,,,,,,,,,,,,,,,,,,
OLFM1,,,,,,,,,,,,,,,,,,,
C2orf72,,,,,,,,,,,,,,,,,,,
DAPL1,,,,,,,,,,,,,,,,,,,
SGCA,,,,,,,,,,,,,,,,,,,
SLC11A1,,,,,,,,,,,,,,,,,,,
COLEC11,,,,,,,,,,,,,,,,,,,
AMIGO2,,,,,,,,,,,,,,,,,,,
PTGS2,,,,,,,,,,,,,,,,,,,
LIPC,,,,,,,,,,,,,,,,,,,
DNAJB5,,,,,,,,,,,,,,,,,,,
ALS2CL,,,,,,,,,,,,,,,,,,,
CPXM1,,,,,,,,,,,,,,,,,,,
LCP2,,,,,,,,,,,,,,,,,,,
C6orf211,,,,,,,,,,,,,,,,,,,
ALDH3B1,,,,,,,,,,,,,,,,,,,
VWA5A,,,,,,,,,,,,,,,,,,,
NCALD,,,,,,,,,,,,,,,,,,,
PKIB,,,,,,,,,,,,,,,,,,,
THEMIS2,,,,,,,,,,,,,,,,,,,
CADPS2,,,,,,,,,,,,,,,,,,,
UNC13D,,,,,,,,,,,,,,,,,,,
CYP1B1,,,,,,,,,,,,,,,,,,,
FGF7,,,,,,,,,,,,,,,,,,,
PPP1R3C,,,,,,,,,,,,,,,,,,,
HK2,,,,,,,,,,,,,,,,,,,
SOX17,,,,,,,,,,,,,,,,,,,
SDSL,,,,,,,,,,,,,,,,,,,
RP4-583P15.14,,,,,,,,,,,,,,,,,,,
CYP4F12,,,,,,,,,,,,,,,,,,,
TMEM184A,,,,,,,,,,,,,,,,,,,
LMO2,,,,,,,,,,,,,,,,,,,
EPN3,,,,,,,,,,,,,,,,,,,
CPXM2,,,,,,,,,,,,,,,,,,,
GBP4,,,,,,,,,,,,,,,,,,,
B4GALNT4,,,,,,,,,,,,,,,,,,,
KLF15,,,,,,,,,,,,,,,,,,,
BIRC3,,,,,,,,,,,,,,,,,,,
NKG7,,,,,,,,,,,,,,,,,,,
SNAI2,,,,,,,,,,,,,,,,,,,
MRAS,,,,,,,,,,,,,,,,,,,
LYVE1,,,,,,,,,,,,,,,,,,,
CLDN15,,,,,,,,,,,,,,,,,,,
ADAM33,,,,,,,,,,,,,,,,,,,
SERHL2,,,,,,,,,,,,,,,,,,,
SLIT3,,,,,,,,,,,,,,,,,,,
COL9A2,,,,,,,,,,,,,,,,,,,
RCAN2,,,,,,,,,,,,,,,,,,,
KIAA0101,,,,,,,,,,,,,,,,,,,
MEIS3,,,,,,,,,,,,,,,,,,,
LDLRAD4,,,,,,,,,,,,,,,,,,,
PTPRC,,,,,,,,,,,,,,,,,,,
RHOBTB2,,,,,,,,,,,,,,,,,,,
NRN1,,,,,,,,,,,,,,,,,,,
TSPAN2,,,,,,,,,,,,,,,,,,,
ABCC4,,,,,,,,,,,,,,,,,,,
COMP,,,,,,,,,,,,,,,,,,,
DHODH,,,,,,,,,,,,,,,,,,,
CYBB,,,,,,,,,,,,,,,,,,,
PTGS1,,,,,,,,,,,,,,,,,,,
ATP11A,,,,,,,,,,,,,,,,,,,
CLEC2B,,,,,,,,,,,,,,,,,,,
SLC46A3,,,,,,,,,,,,,,,,,,,
MS4A4A,,,,,,,,,,,,,,,,,,,
CD79A,,,,,,,,,,,,,,,,,,,
HLF,,,,,,,,,,,,,,,,,,,
EDN1,,,,,,,,,,,,,,,,,,,
CPN1,,,,,,,,,,,,,,,,,,,
FOXM1,,,,,,,,,,,,,,,,,,,
NCF2,,,,,,,,,,,,,,,,,,,
MESP1,,,,,,,,,,,,,,,,,,,
DAAM2,,,,,,,,,,,,,,,,,,,
ADAMTS9,,,,,,,,,,,,,,,,,,,
PLEK2,,,,,,,,,,,,,,,,,,,
PDGFRL,,,,,,,,,,,,,,,,,,,
KCNMB1,,,,,,,,,,,,,,,,,,,
SLC7A7,,,,,,,,,,,,,,,,,,,
NRGN,,,,,,,,,,,,,,,,,,,
CCL4,,,,,,,,,,,,,,,,,,,
CD48,,,,,,,,,,,,,,,,,,,
ABCC6,,,,,,,,,,,,,,,,,,,
NCAM1,,,,,,,,,,,,,,,,,,,
TRPV2,,,,,,,,,,,,,,,,,,,
C1QTNF3,,,,,,,,,,,,,,,,,,,
FOSL1,,,,,,,,,,,,,,,,,,,
TPX2,,,,,,,,,,,,,,,,,,,
B3GNT5,,,,,,,,,,,,,,,,,,,
PLEKHG6,,,,,,,,,,,,,,,,,,,
FBXO2,,,,,,,,,,,,,,,,,,,
CXCL9,,,,,,,,,,,,,,,,,,,
AMICA1,,,,,,,,,,,,,,,,,,,
HMGN5,,,,,,,,,,,,,,,,,,,
TUBB2B,,,,,,,,,,,,,,,,,,,
KLKB1,,,,,,,,,,,,,,,,,,,
DACT3,,,,,,,,,,,,,,,,,,,
CDKN2B,,,,,,,,,,,,,,,,,,,
SUSD3,,,,,,,,,,,,,,,,,,,
MYBL2,,,,,,,,,,,,,,,,,,,
EVI2B,,,,,,,,,,,,,,,,,,,
CPAMD8,,,,,,,,,,,,,,,,,,,
IDO1,,,,,,,,,,,,,,,,,,,
DEGS2,,,,,,,,,,,,,,,,,,,
ZBTB18,,,,,,,,,,,,,,,,,,,
FAM69B,,,,,,,,,,,,,,,,,,,
FCGR2B,,,,,,,,,,,,,,,,,,,
NKD2,,,,,,,,,,,,,,,,,,,
ABCB1,,,,,,,,,,,,,,,,,,,
ADCY5,,,,,,,,,,,,,,,,,,,
CD3E,,,,,,,,,,,,,,,,,,,
KDM8,,,,,,,,,,,,,,,,,,,
PTK6,,,,,,,,,,,,,,,,,,,
PAX8,,,,,,,,,,,,,,,,,,,
SLC47A1,,,,,,,,,,,,,,,,,,,
HCK,,,,,,,,,,,,,,,,,,,
ASB2,,,,,,,,,,,,,,,,,,,
CYP4X1,,,,,,,,,,,,,,,,,,,
ROBO4,,,,,,,,,,,,,,,,,,,
TTC22,,,,,,,,,,,,,,,,,,,
CYP1A1,,,,,,,,,,,,,,,,,,,
SGMS2,,,,,,,,,,,,,,,,,,,
RSPO3,,,,,,,,,,,,,,,,,,,
FGR,,,,,,,,,,,,,,,,,,,
NINJ2,,,,,,,,,,,,,,,,,,,
HIST1H2AE,,,,,,,,,,,,,,,,,,,
CCL3,,,,,,,,,,,,,,,,,,,
CLIC2,,,,,,,,,,,,,,,,,,,
RNF43,,,,,,,,,,,,,,,,,,,
DMGDH,,,,,,,,,,,,,,,,,,,
GPR133,,,,,,,,,,,,,,,,,,,
IL7R,,,,,,,,,,,,,,,,,,,
KYNU,,,,,,,,,,,,,,,,,,,
PLEK,,,,,,,,,,,,,,,,,,,
OSR1,,,,,,,,,,,,,,,,,,,
EMB,,,,,,,,,,,,,,,,,,,
ANO7,,,,,,,,,,,,,,,,,,,
BIRC5,,,,,,,,,,,,,,,,,,,
NAT8,,,,,,,,,,,,,,,,,,,
HLA-DOA,,,,,,,,,,,,,,,,,,,
SARDH,,,,,,,,,,,,,,,,,,,
CYP39A1,,,,,,,,,,,,,,,,,,,
CHAD,,,,,,,,,,,,,,,,,,,
GCKR,,,,,,,,,,,,,,,,,,,
NDRG4,,,,,,,,,,,,,,,,,,,
MRC1L1,,,,,,,,,,,,,,,,,,,
PILRA,,,,,,,,,,,,,,,,,,,
FCGR1A,,,,,,,,,,,,,,,,,,,
LTB,,,,,,,,,,,,,,,,,,,
PIGY,,,,,,,,,,,,,,,,,,,
C5AR1,,,,,,,,,,,,,,,,,,,
CST7,,,,,,,,,,,,,,,,,,,
CD83,,,,,,,,,,,,,,,,,,,
TNNT2,,,,,,,,,,,,,,,,,,,
SLC24A3,,,,,,,,,,,,,,,,,,,
ANK2,,,,,,,,,,,,,,,,,,,
COX4I2,,,,,,,,,,,,,,,,,,,
MSX1,,,,,,,,,,,,,,,,,,,
CRISPLD1,,,,,,,,,,,,,,,,,,,
LRRK2,,,,,,,,,,,,,,,,,,,
STC1,,,,,,,,,,,,,,,,,,,
PTH1R,,,,,,,,,,,,,,,,,,,
PIK3AP1,,,,,,,,,,,,,,,,,,,
ITGAX,,,,,,,,,,,,,,,,,,,
HIST1H4H,,,,,,,,,,,,,,,,,,,
EMID1,,,,,,,,,,,,,,,,,,,
SLA,,,,,,,,,,,,,,,,,,,
WNT5A,,,,,,,,,,,,,,,,,,,
CCDC8,,,,,,,,,,,,,,,,,,,
BCAT1,,,,,,,,,,,,,,,,,,,
TNNI2,,,,,,,,,,,,,,,,,,,
FLRT3,,,,,,,,,,,,,,,,,,,
TNFRSF19,,,,,,,,,,,,,,,,,,,
BCL2A1,,,,,,,,,,,,,,,,,,,
HLA-DQB2,,,,,,,,,,,,,,,,,,,
PENK,,,,,,,,,,,,,,,,,,,
CD69,,,,,,,,,,,,,,,,,,,
HLA-DQA2,,,,,,,,,,,,,,,,,,,
MSC,,,,,,,,,,,,,,,,,,,
LYPD6B,,,,,,,,,,,,,,,,,,,
APOL4,,,,,,,,,,,,,,,,,,,
SULT1A2,,,,,,,,,,,,,,,,,,,
CCDC152,,,,,,,,,,,,,,,,,,,
CD2,,,,,,,,,,,,,,,,,,,
NOV,,,,,,,,,,,,,,,,,,,
ADAMTS4,,,,,,,,,,,,,,,,,,,
FPR1,,,,,,,,,,,,,,,,,,,
CRYAA,,,,,,,,,,,,,,,,,,,
PLA2G7,,,,,,,,,,,,,,,,,,,
MNDA,,,,,,,,,,,,,,,,,,,
RP11-122A3.2,,,,,,,,,,,,,,,,,,,
MAGED4,,,,,,,,,,,,,,,,,,,
HRCT1,,,,,,,,,,,,,,,,,,,
ETV1,,,,,,,,,,,,,,,,,,,
ZNF385B,,,,,,,,,,,,,,,,,,,
BMP2,,,,,,,,,,,,,,,,,,,
PROZ,,,,,,,,,,,,,,,,,,,
RAET1L,,,,,,,,,,,,,,,,,,,
CAPN12,,,,,,,,,,,,,,,,,,,
DOCK2,,,,,,,,,,,,,,,,,,,
CPT1C,,,,,,,,,,,,,,,,,,,
HIST1H2BJ,,,,,,,,,,,,,,,,,,,
CA5A,,,,,,,,,,,,,,,,,,,
LIF,,,,,,,,,,,,,,,,,,,
NEB,,,,,,,,,,,,,,,,,,,
LY6K,,,,,,,,,,,,,,,,,,,
COL21A1,,,,,,,,,,,,,,,,,,,
SNCAIP,,,,,,,,,,,,,,,,,,,
STAC3,,,,,,,,,,,,,,,,,,,
ENHO,,,,,,,,,,,,,,,,,,,
NPC1L1,,,,,,,,,,,,,,,,,,,
GLTPD2,,,,,,,,,,,,,,,,,,,
SELE,,,,,,,,,,,,,,,,,,,
MEOX2,,,,,,,,,,,,,,,,,,,
VNN2,,,,,,,,,,,,,,,,,,,
CCL4L2,,,,,,,,,,,,,,,,,,,
PLEKHN1,,,,,,,,,,,,,,,,,,,
SULT1C4,,,,,,,,,,,,,,,,,,,
HIST1H3D,,,,,,,,,,,,,,,,,,,
SAP25,,,,,,,,,,,,,,,,,,,
ECEL1,,,,,,,,,,,,,,,,,,,
LYG2,,,,,,,,,,,,,,,,,,,
BX842679.1,,,,,,,,,,,,,,,,,,,
PTH,,,,,,,,,,,,,,,,,,,
AC144568.2,,,,,,,,,,,,,,,,,,,
PRH1,,,,,,,,,,,,,,,,,,,
AC005082.1,,,,,,,,,,,,,,,,,,,
