i_doc,doc,Topic 1,Topic 2,Topic 3,Topic 4,Topic 5,Topic 6,Topic 7,Topic 8,Topic 9,Topic 10,Topic 11,Topic 12,Topic 13,Topic 14,Topic 15,Topic 16,Topic 17,Topic 18,Topic 19,Topic 20
64,GTEX-13O3O-0826-SM-5K7WE,0.647545375113,0.275152371433,0.0459301191296,0.0310555618208,0.000310548925343,1.00392971555e-06,0.0,0.0,6.69286477033e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.34643238517e-07,4.0157188622e-06,0.0
65,GTEX-QVJO-1826-SM-447C9,0.707229417388,0.231615727448,0.0476814234126,0.0129449189416,0.000519856135168,0.0,0.0,0.0,3.18930144275e-06,4.55614491821e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.11228983643e-07,0.0,0.0
66,GTEX-XUJ4-1926-SM-4BOOV,0.573934757948,0.275323478711,0.132420922845,0.0180194404767,0.000300347399486,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.50873130241e-07,7.01746260482e-07,0.0,0.0,0.0,0.0
67,GTEX-13FTY-2226-SM-5J1ND,0.453221714098,0.359527185126,0.163531112763,0.0232308343995,0.000486272001107,0.0,0.0,0.0,0.0,7.20402964602e-07,0.0,0.0,3.60201482301e-07,0.0,0.0,1.80100741151e-06,0.0,0.0,0.0,0.0
68,GTEX-S341-1526-SM-4AD6K,0.627670836765,0.263627186895,0.0813732341609,0.0266741909977,0.000653457528542,0.0,0.0,0.0,0.0,5.46826383717e-07,0.0,0.0,0.0,0.0,0.0,5.46826383717e-07,0.0,0.0,0.0,0.0
69,GTEX-11EMC-2026-SM-5A5JV,0.567455628416,0.325167627894,0.0908372291934,0.0161410547504,0.000395024749159,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.28812418204e-06,0.0,0.0,2.14687363674e-06,0.0
70,GTEX-X4EP-2926-SM-3P5YQ,0.822784416261,0.121399004892,0.0437963266374,0.0117348660241,0.0002839276529,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.45853246353e-06,0.0
71,GTEX-RU72-0626-SM-46MUI,0.603072875546,0.322648124313,0.0565925971058,0.0172840258368,0.000399415431821,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.23109567607e-07,0.0,0.0,8.46219135215e-07,1.26932870282e-06,4.23109567607e-07,0.0,0.0
72,GTEX-131XW-0726-SM-5EGK3,0.653105533403,0.262397127419,0.0632034977812,0.0203516842194,0.000931719019321,0.0,0.0,0.0,1.3614988105e-06,3.17683055784e-06,0.0,0.0,0.0,0.0,9.07665873669e-07,2.72299762101e-06,2.26916468417e-06,0.0,0.0,0.0
73,GTEX-ZV6S-1826-SM-5NQ8D,0.663268151621,0.23962064039,0.0863904786427,0.0105831589691,0.000136640847434,0.0,0.0,0.0,4.64764787189e-07,4.64764787189e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
74,GTEX-W5X1-2326-SM-3GIL6,0.663376837425,0.177237371163,0.0486684309648,0.110474955169,0.000242405278887,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
75,GTEX-VJWN-0726-SM-3GIJ8,0.564799467322,0.341046487758,0.0675874847498,0.0262293814881,0.00033646957964,0.0,0.0,0.0,0.0,3.54551717218e-07,0.0,0.0,0.0,0.0,0.0,3.54551717218e-07,0.0,0.0,0.0,0.0
76,GTEX-ZVZQ-0826-SM-51MRF,0.736331714873,0.20989080399,0.0406329513468,0.0126989822627,0.000436769994604,0.0,0.0,0.0,0.0,2.10660769101e-06,0.0,0.0,0.0,0.0,0.0,1.05330384551e-06,1.40440512734e-06,4.21321538203e-06,0.0,0.0
77,GTEX-131YS-0626-SM-5EGKL,0.601080472085,0.266468217034,0.107151421351,0.0246686928905,0.000617377782366,0.0,0.0,0.0,0.0,1.30059835653e-05,0.0,0.0,0.0,0.0,0.0,8.12873972832e-07,0.0,0.0,0.0,0.0
78,GTEX-ZVT2-1826-SM-5NQ8W,0.568824595566,0.333022337493,0.0676744321807,0.0302649337075,0.000208488831253,0.0,0.0,0.0,0.0,1.04244415627e-06,0.0,0.0,0.0,0.0,0.0,3.47481385422e-07,0.0,1.04244415627e-06,2.77985108338e-06,0.0
79,GTEX-T6MO-0326-SM-32QOK,0.519820957682,0.280969553075,0.110980159387,0.0879401375901,0.000288413821289,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.89222430889e-07,0.0,0.0,3.89222430889e-07,0.0,0.0,0.0
80,GTEX-TML8-1226-SM-32QON,0.646677633082,0.253928261366,0.0782440027416,0.0206355951565,0.000513136851725,0.0,0.0,0.0,0.0,1.37080191912e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
