Cluster 1,Cluster 2,Cluster 3,Cluster 4,Cluster 5,Cluster 6,Cluster 7,Cluster 8,Cluster 9,Cluster 10,Cluster 11
GTEX-11DXZ-1726-SM-5H12M,GTEX-11DXZ-1926-SM-5GZZL,GTEX-11LCK-0526-SM-5A5M9,GTEX-11EMC-1826-SM-5A5JT,GTEX-1192X-3026-SM-5N9BM,GTEX-11DXW-0006-SM-5NQ7Y,GTEX-11NUK-0008-SM-5Q5B9,GTEX-11DXX-1526-SM-5H115,GTEX-1192W-0226-SM-5EGGT,GTEX-117YW-2626-SM-5GZZH,GTEX-11I78-0726-SM-5A5M1
GTEX-11DYG-2526-SM-5N9BB,GTEX-11DZ1-0226-SM-5A5KF,GTEX-11NSD-0126-SM-5987F,GTEX-11EQ9-0526-SM-5A5JZ,GTEX-1192X-3126-SM-5N9BY,GTEX-11DXX-0005-SM-5NQ8B,GTEX-11NV4-0008-SM-5Q5BA,GTEX-11DXX-1926-SM-5EGJK,GTEX-1192X-0426-SM-5GIEE,GTEX-117YW-2726-SM-5GZZT,GTEX-11I78-1026-SM-5HL74
GTEX-11EM3-1026-SM-5A5KL,GTEX-11DZ1-0326-SM-5N9BN,GTEX-11NUK-1026-SM-5HL5J,GTEX-11EQ9-1026-SM-5H134,GTEX-1192X-3226-SM-5987D,GTEX-11DXX-0626-SM-5Q5AG,GTEX-11O72-0008-SM-5Q5DN,GTEX-11DXX-2626-SM-5Q5A3,GTEX-1192X-0726-SM-5987R,GTEX-117YX-1926-SM-5GIEC,GTEX-11LCK-0726-SM-5PNYC
GTEX-11EM3-1326-SM-5N9C6,GTEX-11EI6-0226-SM-5EQ64,GTEX-11NV4-0626-SM-5N9BR,GTEX-11EQ9-1726-SM-5HL6U,GTEX-11DXW-0011-R1a-SM-DNZZD,GTEX-11DXX-0726-SM-5H12X,GTEX-11OC5-0008-SM-5S2OH,GTEX-11DXY-1326-SM-5987Z,GTEX-11DXW-0726-SM-5H12J,GTEX-117YX-2326-SM-5H12W,GTEX-11LCK-1426-SM-5HL5R
GTEX-11EM3-1526-SM-5A5KN,GTEX-11EM3-2326-SM-5H12B,GTEX-11O72-2326-SM-5BC7H,GTEX-11GS4-2826-SM-5HL56,GTEX-11DXW-0011-R3b-SM-DNZZE,GTEX-11DXX-1026-SM-5H11E,GTEX-11OF3-0008-SM-5S2NH,GTEX-11DXY-1526-SM-5H129,GTEX-11DXX-0326-SM-5PNWC,GTEX-1192W-2626-SM-5Q5AF,GTEX-11NUK-0726-SM-5A5ME
GTEX-11EQ9-1326-SM-5985X,GTEX-11EMC-2826-SM-5PNY6,GTEX-11OF3-0626-SM-5BC4Y,GTEX-11GSP-0226-SM-5A5KV,GTEX-11DXW-0011-R5b-SM-DO11D,GTEX-11DXY-0006-SM-5NQ8N,GTEX-11ONC-0008-SM-5S2MG,GTEX-11DXY-1626-SM-5H12L,GTEX-11DXX-0526-SM-5PNVR,GTEX-1192X-0226-SM-5H12D,GTEX-11O72-0426-SM-5BC5B
GTEX-11EQ9-1526-SM-5PNY7,GTEX-11EQ8-0226-SM-5EQ5G,GTEX-11P7K-0226-SM-5986Z,GTEX-11GSP-0426-SM-5A5KX,GTEX-11DXW-0011-R6a-SM-DO11N,GTEX-11DXZ-0006-SM-5LZZH,GTEX-11P7K-0008-SM-5S2O5,GTEX-11DXY-2026-SM-5N9CZ,GTEX-11DXX-2726-SM-5PNXO,GTEX-1192X-2726-SM-5N9DN,GTEX-11O72-0526-SM-5Q5AO
GTEX-11EQ9-2026-SM-5P9JI,GTEX-11EQ9-1126-SM-5987I,GTEX-11P81-0126-SM-5HL5Y,GTEX-11GSP-0626-SM-5986T,GTEX-11DXW-0011-R7b-SM-DO119,GTEX-11DXZ-0726-SM-5N9C4,GTEX-11P81-0008-SM-5S2OT,GTEX-11DXZ-0426-SM-5987Y,GTEX-11DXY-0826-SM-5EGGR,GTEX-1192X-2926-SM-5N9BA,GTEX-11ONC-0926-SM-5BC5E
GTEX-11GS4-2326-SM-5A5KS,GTEX-11EQ9-1826-SM-5Q5AJ,GTEX-11TT1-1126-SM-5P9GV,GTEX-11I78-0626-SM-5A5LZ,GTEX-11DXW-0426-SM-5H12E,GTEX-11DYG-0006-SM-5NQB2,GTEX-11P81-1526-SM-5P9GS,GTEX-11DXZ-1026-SM-5N9D5,GTEX-11DXY-1026-SM-5987V,GTEX-11DXW-0226-SM-5H122,GTEX-11ONC-1126-SM-5GU6G
GTEX-11GSP-2126-SM-5HL5E,GTEX-11EQ9-2526-SM-5HL66,GTEX-11TTK-0826-SM-5N9EG,GTEX-11I78-1826-SM-5A5M4,GTEX-11DXW-1026-SM-5H11K,GTEX-11DZ1-0426-SM-5H11A,GTEX-11P82-0008-SM-5S2MS,GTEX-11DXZ-1626-SM-5GIDI,GTEX-11DXY-2726-SM-5GID2,GTEX-11DXW-0626-SM-5N9ER,GTEX-11ONC-2726-SM-5N9DZ
