,Topic 1,Topic 2,Topic 3,Topic 4,Topic 5,Topic 6,Topic 7,Topic 8,Topic 9,Topic 10,Topic 11
ENSG00000163993,7516.899118701902,141.33770160977016,144.19630851933945,126.60446798785577,3.1157549911388087,12202.774600885625,265.5122963801179,28.877620342988106,6.091244279013714,11499.320201771905,132.79637983073223
ENSG00000251624,1.7292815908803523,1.1705026256902769,510.89573467805405,1.1339145084909081,1.0393991149325514,1.0655899049620594,1.1581978177445171,1.5752930254086044,1.0486749409967513,1.0499270649356205,1.1360289887865107
ENSG00000171195,3336.5760263978377,120.07709816212169,431.0488558262614,569.4412310434237,440.53219455623974,54.35636396646514,542.6415039015961,475.0417038730226,422.21231310982995,3327.339796663364,139.75264393173012
ENSG00000132465,27655.91977687772,855.8079086842108,1211.7615989318315,522.0403822201938,1.3942345404089176,7084.017608431276,746.5292986682218,71.07208467543461,13.91277045493428,601.2931594046819,3448.3941645756686
ENSG00000163631,1316.8822698879103,441.9877418175155,1141.977265132959,13397.600140534709,1722.1431145205058,3228.0895234289746,196.05903555527885,830.4681354606183,201.0966603938159,126.46841994605374,1143.988945388534
ENSG00000169429,637.3335842215694,2937.9537806581247,1123.4382071413024,788.0327075757306,245.6079873756412,6994.814679470608,7890.795396852912,425.0565280030348,282.6668536854955,5.558375064686629,5016.146229197251
ENSG00000163739,5190.816671928549,2020.7400392433208,714.9718679565898,1883.8487661537192,871.5229662889083,6365.731917131622,10880.205072392988,585.8037445430816,822.152393806121,673.6518491870137,2019.8425650295408
ENSG00000081041,3473.4878300767314,7163.212735634419,2689.6390465628792,4699.025270675331,793.0030206308385,169.80517434210486,7644.316953560832,5050.682039425589,6107.042415575385,338.29750054868003,11542.579398987631
ENSG00000169245,3359.15325124371,3116.1981002974812,3461.1801112907015,84.52212526950787,255.4935884681713,615.1621344508852,217.91289336578188,700.8464194205662,396.6013223684764,428.4363599229158,3409.684771288218
ENSG00000145287,6606.255189854006,8.175696638481828,12.176506008857967,3.628853279279633,1.2549167157258823,9354.947212422054,6.158235220226493,1.6559389439583576,1.1347697909163206,612.3267092870118,8.614028626392763
ENSG00000118785,1657.3779668898019,13071.470520969071,3386.021525487714,4970.590427473555,17082.317243371792,548.6319441785547,959.4258426519052,9500.709664299506,416.0035635596802,22.66213612560597,8402.93885604768
ENSG00000145358,66.78198711679494,1090.3160578381876,796.1034220069915,19.973028611282658,4417.425568022373,2.387464630970047,3084.4937381253912,5281.531267413622,8098.281402019727,43.0867275166367,1328.2817051792301
ENSG00000172399,2.4070578353595953,261.9761705472168,26.56705744192205,6.183849146939155,1.440389510089337,1.6913145148754107,365.4884127221371,1468.4966188406008,17669.50574316294,1.213025834614903,2479.6598900793488
ENSG00000137462,1814.9938871446573,10252.63875029494,4910.56729865261,1233.8346689935088,633.8405458660459,10593.636334291188,3693.3589378291813,4374.532115683842,772.236343043572,1708.4081730323476,7055.879008132988
ENSG00000171564,1405.4853391759605,6.287349141249426,7.110149698549301,5472.483266315747,1.449706342657787,396.86365217175256,7.460724385410825,3.8770275989314777,6.849383055204641,3.667128368880482,112.55598858503093
ENSG00000171560,1446.5990439466227,2.4923480271380214,4.194587887627589,6362.356564579881,1.205659220358671,266.3219905654987,2.13480838033589,1.610646314947324,1.606683192007192,1.5665442584630722,29.564942444089375
ENSG00000171557,2364.5840970900085,12.15008909581138,36.268179658296596,6543.724277864984,1.3294136617729657,983.3039798456322,5.842972693239951,3.682689751811587,2.4309957370290007,1.7682792595202947,335.3856200013568
ENSG00000066230,7333.194698292752,328.13824916985243,3317.2603685438876,602.4400242245226,2089.7756133952425,5.414736514445753,1118.7797889811613,3225.9838040957707,2.948124390356908,3624.5520637633304,155.36797443991804
ENSG00000134057,4089.0758366916657,663.670346668402,2255.127537239433,1262.60379193307,4251.023531171472,1949.7334632550296,11826.028864857337,1584.9543370955578,747.5037414904274,4899.0161442867675,869.2074435646158
ENSG00000171617,4949.662670330041,2383.7532101752427,2756.1460191041087,4253.991040071424,13290.189988038905,2498.4060818912144,6825.088903625875,2225.3598939601347,2124.930960422489,2710.5406381628372,1819.812539404721
ENSG00000120708,3952.373541910744,11059.114686501007,5455.056561424925,2285.2328945373947,98.41040305059671,4472.0723251329555,23743.59726079387,11087.277454630472,6255.172356862358,7044.535419077698,11574.16818565992
ENSG00000120729,226.8266217797927,296.62862929680296,412.4351825354723,21.372913550595584,2880.1812688208242,2.096781221160594,79.05976037655557,9740.595253097563,13122.359997269987,21.829938054948656,271.8075668470986
