Cluster 1,Cluster 2,Cluster 3,Cluster 4,Cluster 5,Cluster 6,Cluster 7,Cluster 8,Cluster 9,Cluster 10,Cluster 11
GTEX-14BMV-1526-SM-793AV,GTEX-ZZPU-2626-SM-5E45Y,GTEX-XQ8I-0006-SM-4BOQ5,GTEX-139D8-0008-SM-5ZZUH,GTEX-1N2EE-0626-SM-E76PW,GTEX-T5JC-0011-R2A-SM-32PLZ,GTEX-11DXZ-0226-SM-5EGGZ,GTEX-14PJ3-0426-SM-6LLHF,GTEX-SE5C-1326-SM-4BRUH,,
GTEX-ZVP2-0426-SM-57WC2,GTEX-13N1W-0526-SM-5MR4I,GTEX-1497J-2326-SM-5NQBK,GTEX-18A6Q-1426-SM-7LG63,GTEX-1N2EF-0226-SM-EYYXB,GTEX-13PL6-0011-R5b-SM-5O9BI,GTEX-P44G-2526-SM-2I5EK,GTEX-PW2O-1226-SM-48TCH,GTEX-13PVR-2026-SM-73KXT,,
GTEX-OXRL-0726-SM-3NM9A,GTEX-ZYFC-0526-SM-5GIDF,GTEX-14A5H-0006-SM-5O9AI,GTEX-WI4N-0008-SM-4OOSV,GTEX-1LVA9-2126-SM-DLHBY,GTEX-SUCS-1326-SM-4DM5T,GTEX-1477Z-2826-SM-5SI9J,GTEX-PW2O-0826-SM-48TC5,GTEX-1O97I-1826-SM-EXUS9,,
GTEX-1S5ZA-0926-SM-EVR55,GTEX-1GMR2-2126-SM-7P8TX,GTEX-14A5H-0226-SM-5S2VK,GTEX-139D8-1226-SM-5L3ED,GTEX-WYBS-0626-SM-3NMAS,GTEX-SNOS-1126-SM-4DM67,GTEX-1GZ2Q-0011-R7b-SM-9OSWN,GTEX-1RQEC-2126-SM-DPS15,GTEX-13PVR-1426-SM-5S2PW,,
GTEX-14BMV-2326-SM-5RQJ4,GTEX-117XS-2526-SM-5H11G,GTEX-1OFPY-2326-SM-E8VNU,GTEX-WHWD-2426-SM-3LK6S,GTEX-16NGA-1426-SM-718AC,GTEX-1KWVE-2326-SM-D4P3N,GTEX-1HBPI-0011-R9b-SM-ARL76,GTEX-11EQ9-1526-SM-5PNY7,GTEX-13PVR-1226-SM-5RQJ2,,
GTEX-OXRL-0426-SM-3NM97,GTEX-ZTTD-0626-SM-4YCCY,GTEX-O5YV-0426-SM-3LK66,GTEX-WHWD-2326-SM-3LK6Q,GTEX-15SB6-1726-SM-6PAME,GTEX-1KWVE-2226-SM-CXZKN,GTEX-117YX-0326-SM-5GICL,GTEX-ZTPG-1026-SM-5DUWP,GTEX-1O97I-0826-SM-E8VNE,,
GTEX-1L5NE-1026-SM-D3LAP,GTEX-VUSG-0726-SM-3GIK1,GTEX-O5YV-0226-SM-48TBY,GTEX-139D8-1426-SM-5IJEX,GTEX-R55E-1326-SM-48FCR,GTEX-17HG3-2826-SM-7EPGO,GTEX-147F4-0011-R6b-SM-5S2UP,GTEX-1LG7Z-0326-SM-DHXK3,GTEX-13PVR-0226-SM-5RQJI,,
GTEX-OXRL-0226-SM-3NB18,GTEX-OXRP-2326-SM-2S1NL,GTEX-14A5H-0726-SM-5Q5DW,GTEX-139D8-2426-SM-5KM3A,GTEX-1I6K6-1726-SM-CGQFD,GTEX-13OW8-2926-SM-5L3FV,GTEX-11EQ9-1226-SM-5987E,GTEX-139YR-1526-SM-5IFJ1,GTEX-1NV8Z-2026-SM-E8VMD,,
GTEX-1JN76-1426-SM-AHZ4F,GTEX-183WM-0926-SM-718AN,GTEX-O5YU-0726-SM-EV792,GTEX-WHWD-1026-SM-4OORZ,GTEX-15SB6-1426-SM-7KUEM,GTEX-17HG3-2926-SM-79ON8,GTEX-OXRN-0011-R8A-SM-E9TI1,GTEX-ZTPG-1426-SM-51MT3,GTEX-13PVQ-2726-SM-5L3H7,,
GTEX-1S5ZA-1326-SM-EV7BB,GTEX-ZTX8-1626-SM-51MRY,GTEX-1OJC3-0006-SM-DKPP1,GTEX-139D8-2926-SM-5IJBM,GTEX-13111-1626-SM-5EGJY,GTEX-17HG3-0011-R6b-SM-79OK8,GTEX-OHPK-1326-SM-3MJGN,GTEX-WXYG-1626-SM-4ONCR,GTEX-13PVQ-1926-SM-5L3GN,,
GTEX-U4B1-1826-SM-4DXSU,GTEX-1RMOY-0626-SM-E9TIE,GTEX-14A5I-0005-SM-5N9FU,GTEX-139T4-0008-SM-5S2WF,GTEX-16NGA-1626-SM-72D6M,GTEX-13OW8-0011-R3a-SM-5L3I4,GTEX-1H3VE-2626-SM-9WG7Y,GTEX-V1D1-1726-SM-4JBHB,GTEX-S95S-1026-SM-4B64M,,
GTEX-1S5ZA-1626-SM-E9TKG,GTEX-13FXS-1026-SM-62LFQ,GTEX-1OJC3-0726-SM-DTX92,GTEX-WHWD-0526-SM-4OORW,GTEX-16NGA-1726-SM-731B4,GTEX-13OW8-0011-R2a-SM-5L3G2,GTEX-1GF9W-0011-R8b-SM-9QEIR,GTEX-11EQ9-1026-SM-5H134,GTEX-SJXC-1526-SM-EZ6L5,,
GTEX-1S5ZU-0226-SM-E6CHW,GTEX-14BIN-2126-SM-793AX,GTEX-14A5I-0426-SM-5NQ9V,GTEX-18A6Q-0726-SM-7LT8Y,GTEX-13PVQ-0626-SM-5LU47,GTEX-13OW8-0011-R1a-SM-5L3HI,GTEX-14BIM-3226-SM-5RQIQ,GTEX-Y5LM-1526-SM-4VDTA,GTEX-SJXC-2226-SM-EVYAK,,
GTEX-14PII-0426-SM-6LLIR,GTEX-13O3O-0526-SM-5J1NL,GTEX-14PN3-0006-SM-7SB6O,GTEX-WHWD-0226-SM-4OORT,GTEX-15SB6-0726-SM-6M48F,GTEX-T5JC-0011-R1A-SM-32PM6,GTEX-1H3VE-0011-R7b-SM-CE6S9,GTEX-1RQEC-1126-SM-EAZ5E,GTEX-SN8G-0426-SM-32PLF,,
