i_doc,doc,Topic 1,Topic 2,Topic 3,Topic 4,Topic 5,Topic 6,Topic 7,Topic 8,Topic 9,Topic 10,Topic 11,Topic 12,Topic 13,Topic 14,Topic 15,Topic 16,Topic 17,Topic 18,Topic 19,Topic 20,Topic 21,Topic 22,Topic 23,Topic 24,Topic 25,Topic 26,Topic 27,Topic 28,Topic 29,Topic 30,Topic 31,Topic 32,Topic 33,Topic 34,Topic 35,Topic 36,Topic 37,Topic 38,Topic 39,Topic 40,Topic 41,Topic 42,Topic 43,Topic 44,Topic 45,Topic 46,Topic 47,Topic 48,Topic 49,Topic 50
10,GTEX-1445S-0011-R7b-SM-5PNUG,0.004026409764118038,0.004603359308400629,0.004959121910885293,0.001366151385145999,5.958905622539346e-05,3.76538409199325e-05,0.004111118853878605,0.0002748520386886373,0.003929291231167282,0.0008468683170553763,0.002951980240498007,0.00035190408052021235,0.07480360606087826,0.11364181668694973,0.0024558645383420136,0.004760181721919419,4.333389962377762e-05,0.001324170997529281,0.002261609944297192,0.18834888020940901,0.002147904315355347,0.001826377289448603,3.638472562564267e-05,0.0005689578985394967,0.0020816568091381305,0.0008376239676249101,0.08755253043248167,0.009654557154009692,0.0012430798971427043,0.02113238230725552,8.724436864574363e-05,0.0019237670494589587,0.004641884086612496,0.00043106898701585723,0.0023278416008660806,0.41125199856153144,0.0038385750104470585,5.122025092637559e-05,0.004990456198466333,0.001662457264087212,0.002081351738261117,4.8636974451758454e-05,0.007863852398341144,0.00013658307294747823,5.287699646313876e-05,0.0030217997981930775,0.0027528151062426024,0.00786789413754358,0.002643931318972929,8.452619745179554e-05
11,GTEX-Q2AG-2826-SM-2HMJQ,0.0005423282814929929,0.003110602694208805,0.0003827005298882135,0.00040484104512051797,0.00010026643920757482,3.358400325297973e-05,0.0006175591737259036,0.00011062748898584457,0.0008975445198235968,0.0001381112183762412,0.0007764714972338176,0.00020789642261387386,0.18843265301151457,0.22551950099984244,0.0003265801267187578,0.0014533156638297823,1.2837825017115174e-05,0.001717451191853001,0.0017119741498390778,0.18301806725517253,0.0019367489377657833,0.0004896314164244694,1.8273333820059204e-05,0.00033707003875901035,0.0010219663540324156,0.00020465452632779994,0.0016873765616133786,0.019751563326106177,0.0012767477735005897,0.01589187981468276,9.053656672860959e-05,0.0001836508474936443,0.0015377551212141694,0.0009508763529354421,0.0022416668642540384,0.32525966734488143,0.0019128570707131341,0.00018592123457337792,0.0003105693684774588,0.00019906348699203687,0.00025966188593974594,4.6030039884281084e-05,0.007118840119211889,0.0002727655022862551,5.3609382214521434e-05,0.0005157470126264597,0.0013679270645038906,0.00487894735679122,0.00023970033486243802,0.0002433814226658874
12,GTEX-1LG7Y-0011-R5a-SM-EZ6MU,0.0016628852364589815,0.002712902949325972,0.0012902907000140456,0.0005824859435931563,5.3712692181809527e-05,2.416767176348461e-05,0.0019202988485033119,0.00010399385363115593,0.0018702849854620187,0.0004580740926421905,0.0012156070174852798,0.00015777406653256454,0.10164680775513706,0.15895918263618425,0.0007335700657909308,0.002329549224781592,1.529323618981062e-05,0.0007240231504319785,0.0010283859821867893,0.13498639333676546,0.0011145551399739859,0.0006407589262649205,1.7241314745101787e-05,0.00026820454192178855,0.0007366876013515905,0.0004268933113536165,0.0016247352621957373,0.0073744716001670286,0.001250245801049114,0.01636715050756761,5.6231013736757016e-05,0.0005804951425173225,0.0024287080406310414,0.00041712077487873365,0.0014721285217965596,0.5339327164323397,0.0022091012967557664,3.756263289480465e-05,0.0013094351138931075,0.0008939167183708973,0.0008647674574369656,3.070430539661737e-05,0.005265608422634409,0.00010677895472205854,4.39894167862136e-05,0.001041997564381995,0.0013501449415250686,0.004226053575026387,0.001361191633132724,7.472058949035459e-05
13,GTEX-N7MS-0011-R2a-SM-2HML6,0.0018472419714234884,0.001811977140421864,0.002320154181436619,0.0003879426762886799,7.098708852888155e-05,2.155573807029018e-05,0.0019598685290388145,0.00011741997290935282,0.0015910010166822058,0.0004999781046096175,0.0013016556923800848,0.00012822930242017635,0.08029632122875727,0.0930008764609811,0.0010160154513357638,0.0023212984922855295,1.429358837437233e-05,0.0007566003840743591,0.001166591963580782,0.3335302090129706,0.0007937991007399033,0.0007166011087158983,1.5509700539891176e-05,0.0002972882973525149,0.002668127975542731,0.000538251033654964,0.00526899944071806,0.006443259610034477,0.0009935184827384695,0.013933801295670711,4.40806771848692e-05,0.0005232245949009388,0.00185974152966845,0.0005266606678666948,0.001275163942321078,0.42108066817882367,0.0023523775769847405,0.0001224787299683318,0.001601468477500996,0.0008810183818916803,0.0007303594961552826,2.4038951068679963e-05,0.0037476387232231417,0.00023235824205053234,5.012063988359406e-05,0.0010263171215873855,0.0015037248041616816,0.004589793540126839,0.001802904035634927,0.0001964876467188986
14,GTEX-1E2YA-0011-R8a-SM-CKZNG,0.005000505626271392,0.00494680407406614,0.007965933253416848,0.001440045812266866,8.76256213844798e-05,6.193922247690152e-05,0.005385721597433203,0.00043557866575906674,0.004371571091676997,0.0008364993510937395,0.003721081477572977,0.00040833931041834,0.08083769333194316,0.10011155664419708,0.0030070673019375843,0.005913997772506564,8.280084576063353e-05,0.0020449236915257847,0.003056230132920767,0.2619585844839235,0.0023623587632775117,0.001705320432596735,7.165167556822595e-05,0.0008824643180435916,0.008723197503189771,0.0009334921333157073,0.010606604908201162,0.011237399428620835,0.001913094660799196,0.021042746333733216,0.00013505969782163076,0.0016176351008241323,0.005337148408777677,0.0006477030535552458,0.0034077457169146815,0.3944609447495718,0.005059475736206951,7.968349689414329e-05,0.005458837656448186,0.0018469151260470946,0.0022231911510811036,7.643476541106593e-05,0.007483381994933,0.00023179765159231768,0.00012143430519694683,0.0034491074016047714,0.004215256041248615,0.009574559534718615,0.003289909721589478,0.00013094922366475932
15,GTEX-14BIM-0011-R11b-SM-5S2RN,0.0005012959165454581,0.0031719637419702234,0.00025099276973227516,0.00040438454895776145,4.3221112413287e-05,3.4272103229417324e-05,0.0005707135706908056,7.705952427030559e-05,0.0009091194512167977,0.00015733430709879092,0.0007991104502847848,0.00018180070631466472,0.2109770439893471,0.23236062419718712,0.0002462029296189748,0.0014767269325202399,1.4517764769993239e-05,0.002089816341933358,0.0016927526684801918,0.1623579824292791,0.001919317745967666,0.0004192626207537113,2.1097417194271827e-05,0.00026026923309671796,0.0007913187121439103,0.00023410342799469482,3.492039598064986e-05,0.020172337283849755,0.0009692312661531863,0.014339515953542284,9.924792280158781e-05,0.00021001331543789962,0.0015136683569363229,0.0006266392390440681,0.0023707886539871773,0.3211926083933975,0.0020084304160295306,2.8099974987303634e-05,0.0002618905225883609,0.00017874516205391563,0.0002785794160310676,4.7387004732408745e-05,0.006788088010405297,8.941394562771158e-05,3.328879596324442e-05,0.0005068874250234389,0.0012854770341575695,0.004745894095431679,0.00020290442653967842,5.3638376286426724e-05
16,GTEX-13CF2-0011-R11b-SM-5LZXO,0.00040648375744277844,0.0028515742305770153,0.00021965839052292372,0.00033779071212815465,5.376449384488034e-05,2.864815329195093e-05,0.00045527400470087476,6.674600694088581e-05,0.0007296288932282345,0.00013489715757209988,0.000622266135750847,0.00015549105970578527,0.20412023812878843,0.23430018942879569,0.00019574012570686727,0.0012567684875803926,1.3269822894362134e-05,0.001440502316842085,0.0014944307503778243,0.15922802675455774,0.0016893911683991032,0.0003913476401641825,1.7837270807174085e-05,0.0002270638788914973,0.000804536823526446,0.00020441426206276714,6.666404819436477e-05,0.018329785256725337,0.0009734185150288264,0.013524885307184653,7.758088891748442e-05,0.00017108582535145116,0.0012820862015047625,0.0006682381562515973,0.0019371852909130282,0.33687572834374385,0.001717850451296265,3.0572399771985926e-05,0.00021873156759761217,0.0001343315017968633,0.00023362161014893918,3.8491931006151466e-05,0.006248019114365971,9.684488642803657e-05,2.994720789427123e-05,0.000405724440799069,0.0011372682168076704,0.004140905828064637,0.0001485829578508469,6.647019725517955e-05
17,GTEX-1LH75-0011-R2b-SM-EYYWQ,0.004430207319649966,0.003034404978808317,0.011242851252885908,0.0008090759810140321,2.873665774077893e-05,3.1672470348339254e-05,0.004400416588644317,0.0003011018890488892,0.0034959086889952387,0.0007114036269812721,0.0025845161047376376,0.00023947399973928772,0.09270872270279107,0.11265254793244903,0.0026882438985680233,0.004621312215507569,6.16224739315453e-05,0.0013670281640382556,0.002172724566597468,0.24503936810181412,0.0013925931793447907,0.0014287323555609698,4.247539742504809e-05,0.0006393303240465136,0.01171630270283376,0.0009035738743887125,0.01156629689009778,0.007779160810219103,0.0017377078820926034,0.016342692193032703,7.741729652940461e-05,0.0009939556145438274,0.003626960644192099,0.0004137332181035315,0.0021303069370402104,0.4128337182668728,0.004172002684332893,3.250752528982949e-05,0.006247883835399923,0.0013057967194982458,0.001659541983488117,3.8565599711306034e-05,0.004824685622819437,0.00011557861456261015,0.00011196073048879988,0.0024392432792790728,0.0030756855928704176,0.007075272425971608,0.0025831834985706446,7.17946871019942e-05
18,GTEX-1JMLX-0011-R6b-SM-EXUT9,0.0010327037974606904,0.0031586098339433325,0.000726327913113371,0.0005845989129789388,3.5736774162916374e-05,2.81342357408173e-05,0.001376914352385086,8.472855011788075e-05,0.00146726384280059,0.00036243814925513167,0.0011185497084005526,0.00021356078089984537,0.1185074587071477,0.15884131488209854,0.0005531828341544896,0.0020056489123458413,1.32265857955698e-05,0.0009462200635882343,0.0011498455883399664,0.14052947848145061,0.0013796612452599858,0.0009061907772186085,1.6290072355153375e-05,0.0003027089055781567,0.0006766594293680737,0.00045791775275162656,0.0032642886181111497,0.0095931280738027,0.0017928463110559632,0.016981549263733006,7.096452184935322e-05,0.0005969588101417903,0.002203984019199339,0.0004125838676820155,0.001746594755359539,0.5084634533961624,0.0024016237334432604,3.463104977449697e-05,0.0008084608195875811,0.0005761662003867869,0.0006978595655184771,3.719789156325213e-05,0.006059457346173911,0.00010838219249126523,8.99600687168003e-05,0.0008448757971183499,0.001483590926429417,0.00434181859417087,0.0008409802923849789,7.327279643162452e-05
19,GTEX-QMR6-0011-R1A-SM-32PKW,0.002782131217122076,0.002151184975833505,0.00287586299158078,0.0004935100652801931,3.3059395769502765e-05,1.8072026283630873e-05,0.002559716581794191,0.00011273839092132139,0.002205495133174816,0.0006606894416885621,0.0015374685164064599,8.922006073653421e-05,0.06885171250273156,0.09370590147107583,0.0010741429320332676,0.003002340067459887,1.531623914133133e-05,0.000592419820213078,0.001145832645225652,0.3531712752554455,0.0007778096931382088,0.0006826377899926947,1.5374927207217416e-05,0.00021438953143630205,0.0021309860751115924,0.0005308724508054504,0.0019291108670602623,0.005755816617675945,0.0005099861648930536,0.015022679723012305,3.4029617557260554e-05,0.0005996281102662168,0.0024393761185137544,0.00021915458741789479,0.0011857711106933013,0.41023672504154596,0.0025886703064815354,3.0128145705318233e-05,0.0021737884907706705,0.0009547573089839506,0.0011145776611316508,2.0315745001847737e-05,0.004130592047072821,7.463087301174588e-05,2.1691218892683e-05,0.001419804376177125,0.0012664709773758263,0.004976257690418838,0.0018142231757806992,5.165382695031279e-05
20,GTEX-1IDJH-3126-SM-C1YQS,0.0007548984767909479,0.0036243747260711495,0.00036798758314720464,0.0005083936258342011,4.13081341055547e-05,3.254973486919056e-05,0.0008487275876514269,0.00010230601007472445,0.0012434939317481119,0.00022859815613905903,0.0011059996619559094,0.00019842934887601875,0.19093441393373287,0.23484265824193223,0.0003686660978877873,0.0019098888270855645,1.2288650822953394e-05,0.0018851610311025346,0.0019264883268785068,0.16057820368158898,0.002201891350003536,0.0011062403156236191,1.8650864201274215e-05,0.00029780672151416896,0.0011380220147596493,0.0003373399599740749,1.1973037634686077e-05,0.020433792268707878,0.0013733688578263666,0.016671558159295607,0.00010167393922074342,0.0005106038934659145,0.0019981592307763705,0.0007101027064365615,0.002636103143819249,0.32880523790725913,0.0023955937894840082,2.629340874922433e-05,0.0004459120141522581,0.0002728473177341976,0.0004983573837546055,4.9321648261645154e-05,0.007511739984131944,9.388245409167415e-05,3.1119329138076756e-05,0.0008720615831860044,0.001903516314644523,0.005664638315297679,0.00031411131486769594,5.3245003692716444e-05
21,GTEX-1313W-0011-R3a-SM-5EGLI,0.0005374136654429862,0.0014783076472837332,0.00042078054936920854,0.00020623524875692037,4.491637710886415e-05,2.450466018476974e-05,0.0006844728255799381,5.135613892329974e-05,0.0008115152682478642,0.00025134880370411225,0.0006278320522790426,7.954781578242703e-05,0.12524027957198858,0.1445153576644304,0.0002760744049897402,0.0010456563975808906,1.5940707813814084e-05,0.000595650587563069,0.0006289853120266832,0.16419168024070335,0.0005384764210659657,0.0004604426771403127,1.8106494852014823e-05,0.00013833972776880246,0.0006301551750319832,0.000325974061207172,0.00020166667968029588,0.005976916366429981,0.001180533812751419,0.009136397027970283,5.1995249110973175e-05,0.0003716091569576948,0.0010010470126106694,0.0003576752054029223,0.0009546307517444288,0.526948910582845,0.001469364840915295,5.152054675703421e-05,0.0004397259908603064,0.0002299019576433598,0.00036319817121974293,3.021002973040345e-05,0.0027814415504170504,0.00013720446259858637,8.205933828758618e-05,0.00046183216689355287,0.0010218774806195793,0.0024711186771081135,0.0003206939670045094,0.00011911847761506186
22,GTEX-1F75A-0011-R5a-SM-ARZMJ,0.0010253340186111009,0.0020459613677689843,0.0009312177666975796,0.00040233532149107685,7.757017493726929e-05,2.4508509493960645e-05,0.0012475947888616358,7.291879712101307e-05,0.0012577948120462718,0.0002942321823807448,0.0008155735706458784,0.00012407557522822345,0.10200450987249284,0.1521154050829172,0.0005193437748328737,0.0015582198612655138,1.582714915700555e-05,0.0006076183042822707,0.0007677623072445111,0.13699261147191083,0.0008693872433496459,0.0004708496706045011,1.803453823752802e-05,0.00019987362992007947,0.0006310297168432713,0.00030362929162997747,0.0028764383675659593,0.00668454337173603,0.0008793432724942317,0.01417743849502336,5.0385223378468113e-05,0.00042901134029871545,0.0016960550354990583,0.0005262647645839793,0.0012048478461861986,0.5519172737703688,0.0016234284298825095,4.549994418695996e-05,0.0008743065183684325,0.0005819521709923113,0.0005379430126172668,3.0342001105878944e-05,0.004484241267224097,0.00010559965379467187,3.64052165246312e-05,0.0007015251459955247,0.0009657358656344943,0.0031975172241994576,0.0009001799669431183,8.050329542423724e-05
23,GTEX-15CHQ-0011-R5b-SM-6AJAN,0.0010988394682908966,0.003278758113004231,0.000944172479539788,0.0006723209291539116,6.802430891426588e-05,2.6328195697151456e-05,0.0015024499773206442,0.00010081354339000581,0.0014414277848403322,0.0003326204116387241,0.0011354955521880599,0.00018296765105541414,0.1142350367766587,0.1583495134072983,0.000685289025793255,0.001955186854748595,1.2305857228450787e-05,0.0012259823053208472,0.0012112009123070348,0.1350024621182661,0.0016113398347256348,0.0007392459920131036,1.5623140845725168e-05,0.00029479213304552034,0.001025963261341316,0.00042293691164657155,0.004481756315861769,0.009823045015443104,0.0012328865700193762,0.017472984962544878,6.449378245924007e-05,0.0006176239215105914,0.002231389818187567,0.000631775830150127,0.00180459451651505,0.5149384056404912,0.002168052486624293,3.973026419336196e-05,0.00093940457819186,0.0007401681334475903,0.0006579604571841987,3.482292139676943e-05,0.006712154587544881,0.00011718347081067839,4.091896676130445e-05,0.0008953286754151008,0.0014966616651278357,0.004172364538035232,0.0010351778320848658,8.001810372658198e-05
24,GTEX-X585-0011-R4B-SM-46MVH,0.0065479510053505245,0.0029376863154273107,0.01807983893755923,0.0008474426001533408,2.470135785314207e-05,2.4547691279476438e-05,0.005435700606179585,0.00033101249461389443,0.003932115381721865,0.0008986295153045309,0.002614659732826452,0.0002334630122237023,0.07681881026018489,0.09859001775651874,0.002676701416076164,0.005440702781295706,2.3729273746770345e-05,0.0012188101440317619,0.0020896923402397324,0.247438173949681,0.0011963348261560774,0.0011877726663200635,2.2111397118352446e-05,0.0006008505729087708,0.018813594868657687,0.0008192596708965038,0.00031102646034635663,0.007420554188564393,0.0009347490154567562,0.017273393824061414,6.406519905935758e-05,0.0009061220183171075,0.003996354534769602,0.0002579586261009343,0.0019640597857398297,0.4307454972554143,0.004002363710903846,2.073018491302543e-05,0.008618831679092054,0.0015300222737861344,0.002007497415566149,3.097136140008615e-05,0.004642607037972439,6.555200690878658e-05,4.746414802960426e-05,0.002657002795647912,0.0023691565443876273,0.007426315611042645,0.003821331812734066,4.20619354604778e-05
