i_doc,doc,Topic 1,Topic 2,Topic 3,Topic 4,Topic 5,Topic 6,Topic 7,Topic 8,Topic 9,Topic 10,Topic 11,Topic 12,Topic 13,Topic 14,Topic 15,Topic 16,Topic 17,Topic 18,Topic 19,Topic 20,Topic 21,Topic 22,Topic 23,Topic 24,Topic 25,Topic 26,Topic 27,Topic 28,Topic 29
10,GTEX-117YW-1926-SM-5H121,0.00014805374250661347,0.0004690622529009777,1.12973277994537e-05,0.0004224075728766186,6.127353128219733e-06,0.0051113437604128,0.0002043656407890444,0.0006629060894433004,6.3941207265224545e-06,0.0004938463651430983,3.979089461601788e-05,0.00010904773750025738,0.01662159690844358,0.00016524159792025438,6.111851004980529e-06,0.0007508938358652271,0.8644696658958891,0.0002407067944614464,1.0986068956420985e-05,0.0007378769716439419,0.0006375565864271326,9.062026091449191e-05,0.10103657697444005,0.0003897147878290071,0.00027485294189148843,3.4628600446663306e-06,3.4645529378364113e-06,0.0064267427366380015,0.0004492855168494148
11,GTEX-117YX-0626-SM-5EGJI,0.002099132410906966,0.004403885742017262,1.2996609878486784e-05,0.0009431236090913977,0.0031317454909672014,0.0015199267473976449,0.0028486825766332784,0.002939264517225474,0.8596008075483876,0.0013055804468616765,0.010213704469313122,0.0010970127319345558,0.0019829980901861226,0.0025411074586603206,9.901112107864947e-06,0.002464513875632484,1.4739275269474023e-05,0.0010579510290964467,1.1799613202318095e-05,0.0027569951415910648,0.002629968006478249,0.0014061538279718383,0.0003209565601524787,0.0007271649720385373,0.0004075268307022968,0.08525032600889203,8.087395244742199e-06,8.64870014387339e-05,0.008207460900720323
12,GTEX-11DXW-0008-SM-5Q59V,0.0004544359057135705,0.0024461931979226706,7.992983847548287e-06,0.0009278870965540017,1.6884402207977928e-05,0.003229286594502232,0.001566126082059172,0.007664140869143611,4.244815189327513e-05,0.9502211744883415,0.00027825219268727173,0.00013148584293184174,0.0014089381680217545,0.000949531746007922,6.694585396553198e-06,0.013967415863793254,1.564782289654939e-05,0.0013499912004565607,7.209544353526541e-06,0.0022767811028347462,0.00627319469966213,0.0014706695075183576,0.00036038156683461576,0.0005534296852838411,0.00019734460023710043,8.02703534506135e-06,6.082687402159226e-06,5.8226624225929215e-05,0.004104125751925344
13,GTEX-11DXW-0011-R5b-SM-DO11D,0.8073043599830446,0.004450138916797882,0.0007011900920523703,0.00561723998573646,0.0003846554288928602,0.002381206146307298,0.0035854857348126307,0.0020548412525062732,0.00012580808194473711,0.0012134432355348597,0.0013506109118536795,0.0006153733849076994,0.0032915641042112957,0.13317979412765524,0.0005266268608745882,0.0035567739658716145,7.034096281276949e-05,0.0027348619815676166,0.000555582578791116,0.010883040363556298,0.0027366694304279274,0.0023847933579926425,0.0006816157709656667,0.0016623786620508117,0.0007276621231353845,8.485471845682631e-05,0.00030967812205239843,0.00023098708734071663,0.006598422627845786
14,GTEX-11DXX-0526-SM-5PNVR,0.0034390080129421256,0.00512587370030141,5.40422591373964e-05,0.0012148804482094207,0.003652268082055935,0.0019183808095396679,0.019195368331906614,0.006911791865280717,0.8908325943668453,0.0021497720446013975,0.00951249788433934,0.00014096255606772806,0.0025447323708164466,0.002588757692729877,3.540588005772342e-05,0.004314704749144183,2.260548992395685e-05,0.001539108370851739,4.47396004612903e-05,0.004802469415263282,0.004205156567484844,0.008248706451948324,0.0005238999907855751,0.001006972066927521,0.000767650061637043,0.012122745117184768,1.6445886301536797e-05,7.779909758575612e-05,0.012990660829669138
15,GTEX-11DXY-0426-SM-5H12R,0.006476802102050976,0.02123105726730824,0.00032050171846689644,0.5457544214587189,0.0001868986975102653,0.018637151811683877,0.015019351660310133,0.024958039741110567,0.0003612284917801402,0.010836329927399883,0.002416334534043801,0.06366944981411478,0.014912081139609878,0.013835088343333603,0.00016797580250388382,0.02884323757695447,0.00026097240673638675,0.018250480845692033,0.0002457691574341871,0.024679352030015582,0.05561791741096881,0.06918126783156739,0.005458931858174435,0.010930320071616848,0.002546338701604506,5.6838324650150974e-05,4.9880211730889417e-05,0.0004877114473854858,0.044608269615522826
16,GTEX-11DXZ-0426-SM-5987Y,0.0030532713539291045,0.014127418918904962,2.093045711607055e-05,0.005531569354729964,4.5129962205387715e-05,0.004950299505634671,0.0018963789878048618,0.006547055338900665,0.0004962841053374486,0.05312133181416096,0.0014591872771133965,0.0024953750466533975,0.003983534898813348,0.004135359312435809,1.4438087639710237e-05,0.013910847779616002,2.7513895646860407e-05,0.0032734491921593287,1.5045566073807936e-05,0.024114517429304178,0.4889040657070386,0.22688073489858265,0.0007908573294018559,0.002009421657100561,0.0006619114132580262,1.5569131217076067e-05,8.190095743874156e-06,8.729107212635842e-05,0.13742302041135107
17,GTEX-11DXZ-2426-SM-5N9DT,0.000114904908965533,0.002449057701979066,7.248174942416859e-06,2.9207961204041318e-05,0.7586677717623408,0.00012763151198661154,5.920771568775466e-05,6.668093199554424e-05,0.000613148267021509,1.5985186410379314e-05,0.09194340952859842,1.5804668258090977e-05,0.0001174063638423737,0.00011816154712496518,6.385296642554625e-06,7.759895965511232e-05,5.56328865082304e-06,0.00012003957654381098,6.192700473209503e-06,0.008529095548672861,2.917019241632558e-05,5.8541940124936586e-05,1.5488357267692865e-05,3.225789145678446e-05,1.0770571016099967e-05,0.13644863395432189,5.897102951746826e-06,6.763476849399177e-06,0.00030197491259907936
18,GTEX-11DXZ-2626-SM-59882,0.0029851404651247346,0.019478195216895283,3.688396294643389e-05,0.005534145685554979,8.887225180303122e-05,0.006101751050045511,0.002033405483895572,0.00622704778808642,0.00123915916524064,0.04374481603822843,0.0025046578680840595,0.00017016583528454144,0.005012347917778802,0.004003557342648968,2.8179539136507965e-05,0.013876955944893646,2.107755789688407e-05,0.002183589015835514,2.1620652112502733e-05,0.022819425307965824,0.3257642700188651,0.3838316812824079,0.0008504696331537729,0.0011434682984513358,0.00021783714955861622,2.473440688836028e-05,1.2823286578856527e-05,0.00015102509494588156,0.1498926967396918
19,GTEX-11DYG-0011-R5a-SM-DO928,0.7130645039258106,0.002275153256526899,0.00017352581468935713,0.0013974822497961148,0.000137599102714514,0.001167317034532265,0.001320807316913253,0.00044782769887649924,0.00023664572042183483,0.0003229260849950467,0.0022910659958195285,0.0003014886525532502,0.001381182706850932,0.18456127669942504,0.00013870835497021417,0.000739020709514495,1.9396141198920634e-05,0.00166507911374775,0.00012260227371363076,0.08348831712245236,0.0003845066369024166,0.0004590262940135695,0.00018541442060011296,0.0005754026041841831,0.00019602659222693318,3.9958477512058993e-05,7.325023344053118e-05,0.00010785157113483353,0.0027266371944629497
20,GTEX-11EI6-0011-R8a-SM-DO93M,0.8420926607620515,0.0050505382436749745,0.005454955850992951,0.005925173181633545,0.0003756320007068003,0.003211303078833283,0.004181841366020326,0.004177378902699246,0.00016815544798368822,0.0013241857109316353,0.001710359221796739,0.0005504191340415944,0.0025244603249630756,0.04700910702600367,0.005331017300414511,0.006672490425000423,5.388915728229247e-05,0.012135135859937527,0.0046089418219037535,0.01321270035507725,0.002753639188839935,0.0022345997329471555,0.000823559502131147,0.010141360568196483,0.008932076899531004,0.00013027683255487942,0.003759628559890901,0.00018375967278398358,0.005270753871175785
21,GTEX-11EI6-0126-SM-5985R,0.0009482325988532449,0.0032393815478439533,9.071126229606391e-06,0.0016254071001696865,7.338007547143751e-05,0.015228292009881563,0.0006571852526842888,0.0016704405438083764,3.36515787826464e-05,0.0025984880739332275,0.0002655234596735652,0.0002472366352699803,0.033063981313051986,0.002015550254552427,6.665083375743808e-06,0.002821013376469025,0.0017976356125354175,0.0023400718087062287,8.937234819722443e-06,0.002139422200274679,0.0012143695759481942,0.00046887718181621256,0.00887456526790897,0.0010223660718506034,0.0003109864007085588,1.337444841982466e-05,5.622818668629454e-06,0.9158128664541835,0.0014874048941087318
