i_doc,doc,Topic 1,Topic 2,Topic 3,Topic 4,Topic 5,Topic 6,Topic 7,Topic 8,Topic 9,Topic 10,Topic 11,Topic 12,Topic 13,Topic 14,Topic 15,Topic 16,Topic 17,Topic 18,Topic 19,Topic 20,Topic 21,Topic 22,Topic 23,Topic 24,Topic 25,Topic 26,Topic 27,Topic 28,Topic 29,Topic 30,Topic 31,Topic 32,Topic 33,Topic 34,Topic 35,Topic 36,Topic 37,Topic 38
597,GTEX-1EH9U-0005-SM-ACKV3,5.9212441763347726e-05,7.017805659553912e-05,0.44715798173483695,0.0001464594743758745,0.0013403003850386368,4.1577344444714354e-05,0.00016987819987883006,0.0001443016658742043,0.0002442917189672334,0.00042495204993671663,0.0001542513180170042,1.9326355735162874e-06,1.7035320251196332e-05,3.592064996870814e-05,0.0007249005376268233,0.0003725206155330735,0.00019491768024671653,5.219171713965e-05,5.4841828596687e-05,4.172279638751696e-05,9.133488188619206e-05,8.512860419763655e-06,1.2786409905675904e-05,0.0010044665585353162,1.0498115581822915e-05,0.00023377845401293827,0.5468894264237975,4.652459554600583e-05,2.0951679597207816e-06,8.283503855554843e-05,3.6843727884725023e-06,7.143199101611714e-05,1.9575744285641393e-06,3.962142709945141e-06,4.6976976006054675e-05,2.2876982282789814e-06,1.1363216279319501e-05,2.6709351290029294e-05
598,GTEX-1F52S-0001-SM-EVR36,0.00036204980640436784,0.0010341213160398942,0.0003475712129497664,0.000949568240637846,0.94881669665821,0.0005867614789339434,0.004419343324571087,0.0010817489766897412,0.0009703791563446327,0.004175045739597107,0.001222469064085673,1.2656364326227687e-05,0.0005290752529918684,0.0005287781802944175,0.0008601788272033729,0.00702430081481598,0.0006090745449294786,0.0009049290153653424,0.004530681373466214,0.000880754368365606,0.0006686190966535653,7.209787921105156e-05,1.6873818117265844e-05,0.0046974041554773685,1.6190775334972768e-05,0.011490703384930944,1.31025287915512e-05,0.0006993386324612898,1.3570274765859197e-05,0.0009705045874209624,3.004390681869518e-05,0.0006443869472454157,1.3774908011389265e-05,3.657156339746855e-05,0.0005112162615914965,1.4478875522721741e-05,0.000163349497035877,8.15891909897196e-05
599,GTEX-14ICK-0006-SM-5NQB5,0.00035363142780232674,0.0004401693833436241,0.872754294905866,0.0010369914287709737,0.016397271433248612,0.00024082134864774363,0.0010018139030720187,0.0015245756092344565,0.002766309612032157,0.0037640255609650113,0.0011455904955805913,3.6885081842769365e-06,8.923344639994062e-05,0.00018146895656977584,0.009477060237358474,0.002703128604148042,0.004006656156953283,0.00033202638003226756,0.000312295656771282,0.0002399851051607922,0.0007109846188083496,8.059534683574106e-05,0.0003322223171360178,0.010758206005449963,3.421166187168369e-05,0.001472825648569899,0.06621512026910044,0.0002670625131554271,4.372266007276408e-06,0.00043987071057395214,1.035934659083646e-05,0.0004344239083952046,3.729060535039481e-06,1.1517276573284836e-05,0.000238419842297159,5.26048365097255e-06,5.6984784732978036e-05,0.0001527957795741573
600,GTEX-1EMGI-1126-SM-9KNUF,0.018549194946704452,0.0006803133690050927,0.0005769480963443129,0.06888592090095924,0.0005037424874154075,0.0007069519358620353,0.010728593944106529,0.006978857631734953,0.001461072775954376,0.002418205057029204,0.0033723617116498262,0.005617111331825154,0.0002842868663413261,0.0004716010064072241,0.003208377050750364,0.0021739965251900348,0.00015568922837127787,0.000512949500796462,6.0137095354948916e-05,0.0006506639087266762,0.004160582500204923,0.0038437303403081823,1.4123758801105239e-05,0.0031016622140851414,0.03801423624330195,0.0026604975126509867,0.0004772539433111993,0.0004543118714576134,0.5330716759667021,0.0011925382702939657,2.4550174121969834e-05,0.006133137682241354,0.0338839886612571,0.19889519661686225,0.0003956781781383659,0.002885347687664877,0.00010954412935253668,0.042684968878715236
601,GTEX-11EQ8-1326-SM-5EGJQ,0.0284159235238123,0.0026564528923112125,0.0022632608608824114,0.011849372249251413,0.002651223462519593,0.0026276449213132554,0.012513808815575627,0.020829349047822236,0.008792559789303857,0.018319503349859587,0.0117887390829169,0.005155983543481434,0.001110164883616477,0.0026404059393070178,0.014881778701443717,0.014890379878974078,0.0025490473149851526,0.0017400382216601635,0.0002862918872104745,0.003693970704714157,0.022959615309971163,0.004345576548888305,4.15510520716659e-05,0.023602755076827114,0.024440905577275688,0.013468791936966557,0.0005660481285459735,0.002492071613521046,0.3888621953197162,0.012213607572419441,8.997916536724284e-05,0.015061005974416971,0.02230996964934245,0.24709043563266736,0.0023792436857325906,0.0023256364879883466,0.00041681434211443666,0.04767789785520638
602,GTEX-1B8SG-0826-SM-7EWF7,0.018833037239607858,0.0009638677100991785,0.0002736238432620935,0.0036686636616386674,0.0005718609631025964,0.000796756364150867,0.011235361665254706,0.0053096914829242736,0.0017704439936348092,0.003433038362313562,0.002766017485479691,0.013805274443845795,0.0005215738416652112,0.0009495662329133164,0.002911732864239598,0.003622710584797753,0.000548956715682655,0.0007387921189308704,0.0001212940652296504,0.0007894041805680862,0.004239006155255714,0.002807326649459268,3.75563788929911e-05,0.003744436940261879,0.48617393153876487,0.004946654521025637,7.548166588656443e-05,0.0007392480682931751,0.04258818416738707,0.0015467693029115833,4.082884976144791e-05,0.00833192478863941,0.30295898746159133,0.016007207519455648,0.0007425564625684582,0.009162973758695273,0.00017124663882016818,0.042054011312988096
603,GTEX-ZAJG-0926-SM-5Q5AB,0.017546550986222667,0.0013994881853400603,0.0023256682320270668,0.03991199152484832,0.0019300102640961905,0.0015743749757648033,0.009323075685598172,0.008300741427165524,0.004641281976127427,0.005481207299175063,0.004781028246101841,0.0016887529882086774,0.00042076134082641106,0.000610638950392741,0.007224755334834566,0.00547477383677465,0.0016508869696343742,0.001234980771993004,0.0004226066518455049,0.0008603073685794525,0.0053001143046565785,0.0017377292680189488,5.9147576265557545e-05,0.008561360825932738,0.01873085860760429,0.006941294771868478,0.000397042071359103,0.0009051492529460237,0.5532529879537317,0.0015388823960714847,3.219638932430275e-05,0.009781789830146687,0.011693230610389129,0.20734620796873518,0.0008018361624177923,0.0010582263523879578,0.00022018748295333422,0.054837875159634335
604,GTEX-14BIL-0926-SM-7DHKN,0.025389711383613803,0.0027063191136192277,0.010615269084381037,0.00817281288625443,0.0013976421661752525,0.009322271339433325,0.006668277302413641,0.03299768590566793,0.019229205257906216,0.011998790381702283,0.009188630321441037,0.0018449428542636104,0.0005942419227623142,0.0007282637897431056,0.017923868973744806,0.010563138494865103,0.0062220787907715895,0.002988062017123407,0.004060916235011392,0.0007515278171672112,0.01182318389713924,0.012916121737754029,0.0002535688872989087,0.011145838561442393,0.017219081880441356,0.01711921781723267,0.015671654222421075,0.0038460878391090433,0.4375374179834671,0.0019300628246122845,0.002679598897853825,0.04329687556452502,0.014552118033707576,0.13892998689797556,0.001918078079476137,0.0009834004669067348,0.00437931123129852,0.08043473913927776
605,GTEX-17HHY-1426-SM-7EWDQ,0.02380542189296481,0.004112074737137527,0.005502073941545089,0.012256929435001467,0.00211766071158703,0.002995517906356273,0.021284953140912933,0.015504627378040278,0.009753296558329806,0.011777357373191431,0.011435577059743489,0.01569241185791004,0.002511005415046629,0.0038173115565183087,0.016025817538249925,0.010265313925465359,0.0014883589748747083,0.002784346811835211,0.0004478240152427462,0.0036791962677224428,0.01663711278449652,0.0070793455884130005,7.798911865056855e-05,0.012953503087682878,0.4336629952019414,0.008743980585367583,0.006767808585115225,0.0034413951262085365,0.01195077768850339,0.00650704072150674,0.0001389123555590671,0.007408921573083077,0.24135926361958,0.013176651345912196,0.0026249136856566196,0.009381781763239857,0.0006855934705175455,0.04014493720089048
606,GTEX-1HCU7-1326-SM-CNPPW,0.012949561141854889,0.0009623200027797588,0.0022974574961725004,0.0038507512753178713,0.0005925673902118447,0.0007393571774732893,0.013724607331219997,0.0018336094446533416,0.0015342863061939967,0.0018488968255330044,0.0019918874680410936,0.026449499562943023,0.000646383148235649,0.0012007608337848215,0.002692660725358408,0.0018003924753999757,0.0006055957558077743,0.0007144147577267384,0.0001847201372877092,0.0010035590434418907,0.0027521496539490795,0.0007527888526408568,8.293640805251301e-05,0.0035228939553273854,0.5464984389579041,0.0012139103817348405,0.002146245804565816,0.0009379268030225337,0.0074374582236172845,0.0016664052111680626,0.00023539892739938713,0.0006468639919105119,0.31013458130349797,0.0075079851700570405,0.0007126808519628443,0.014604594643307404,0.00043528055124036327,0.021088172009204497
