,Topic 1,Topic 2,Topic 3,Topic 4,Topic 5,Topic 6,Topic 7,Topic 8,Topic 9,Topic 10,Topic 11,Topic 12,Topic 13,Topic 14
ENSG00000121210,605.7835857735214,206.74737276251588,1681.5278017524095,555.0817071938661,3065.0584732986636,485.6973784815485,1904.2292730619642,2590.3799221300224,393.2953897675055,459.15060965671574,716.4888917239834,870.4856586016926,257.2101326838797,117.19971090177546
ENSG00000137462,175.55043386465218,316.2583746990011,18482.112741375127,470.499224116596,400.4332608479436,261.70515015899684,3219.0942909078817,1404.926549526424,397.39604534731563,480.2305792612776,588.397461646151,73.80990482271174,161.24949305692334,162.35093527412897
ENSG00000145423,449.07823342394926,8771.62032543956,766.7846621359107,6752.44417168554,3553.9373893240013,5656.716886439652,28422.591627385256,42722.23492421463,617.3823647876648,3640.3607068555625,22084.83610991896,472.3911524262228,3318.4820599599702,520.2069140546175
ENSG00000171564,39.52291816020178,25.414020351439028,237.84535411397042,34.04358033121065,45.245382410149446,21.923508343957945,99.86590798816688,57.66160848534649,26.807743620944123,19.742429464465523,85.13608595428136,31.934693880195503,17.385039369922495,25.783624118938242
ENSG00000171560,29.088457024728992,22.454971885149746,132.52851789514258,19.99562165470606,30.548853126022298,16.519526258526128,69.57378853030777,41.64819605239325,18.983708730062556,20.064940251141643,56.61553229253498,25.839436312674483,13.197195427819805,16.311546508608465
ENSG00000171557,38.051646837989594,27.4321773927096,274.0261008045343,30.532238955982624,37.022706138063604,23.749952420100527,76.29640544533095,51.72194724248081,25.00880220022894,20.37048566714831,72.37736181420642,25.548328597057395,14.321438803758223,20.972922182245007
ENSG00000164116,448.9495588686046,357.4715635771497,64.30441537538861,553.5882939343204,448.88225244604394,95.52708688523924,1904.4450677428774,5611.6289284899385,619.1574429769598,220.1474170784576,915.2283116660576,86.88588711577958,57.36524580755925,238.4312485044426
ENSG00000260244,591.1191427335369,783.8599164265709,86.46295290119474,895.8362611863793,573.3711715319216,107.40861477972749,2534.4956330535115,7414.517315995768,783.4015328930112,331.9243344673259,1101.2941961796837,122.09851358616874,91.83496465776642,747.3809658913276
ENSG00000164125,686.2061105612979,933.784132359189,531.916245786465,886.4471264368899,581.4397686779989,208.8994986049714,4143.010696674709,5091.322772807474,1652.338537885198,2543.6606184070497,1543.1619167159815,67.17931564904376,122.75037448601663,487.2539245688491
ENSG00000164124,60.82216335798602,497.0192720595959,44.40896760601459,452.14651980554714,187.55845128103982,98.5179308825999,220.23333450345035,166.56286609814197,129.34264331036673,141.38989980905848,461.2079509816323,29.140729719896953,87.85194023521522,1624.2220418310496
ENSG00000251429,23.792432139225692,119.82254767495391,7.859323882212048,93.95839886576323,44.89555317463608,17.399883034262718,62.24025700242847,55.89473599995548,49.98257192392536,34.82129468225771,115.29629393072264,10.20105361811771,13.788780921745401,393.2385891757478
ENSG00000052802,254.6522564852138,2278.3461435660756,366.94427702815204,1246.2857286411038,3942.534014118354,4664.057231328311,1439.977841937529,1913.826671660016,829.906987648988,2574.1884469455654,1981.2027120575276,291.4386212338291,4731.522534427686,2414.142429636676
ENSG00000248774,3.7790089268623426,8.811550785827247,26.45932876699649,10.347188677047203,31.76536619134285,9.931882104751141,25.57258197682237,48.309717765840226,4.285540188437101,11.975144832743528,21.758474334352798,3.712466303939967,6.097227192241768,5.784891085449362
ENSG00000151725,56.49265583735618,72.34255794030989,117.28992542406237,73.16901748132909,1262.1087793718148,738.747736291713,149.90683552622514,222.48193247530034,62.674529551327055,841.388481873567,175.32939774771188,81.3365240729296,540.0010661450128,57.24653862477587
ENSG00000151729,48915.64784059245,920.7884502076664,287.9176401987832,2851.3072094590098,1602.0173492416454,383.899730658121,4572.584169693022,15077.79887785433,24379.761750205962,2226.5065250797315,2369.5561361588434,16640.68235499175,391.791332696257,4425.14899874869
ENSG00000186352,760.4142752986326,328.5837304514843,384.90549783470624,861.8704823388745,1524.1046086451113,639.5886264879318,3456.1192740016704,3654.3930176547115,887.5394043433985,632.458906432266,974.2940912517493,771.5003614091885,869.3496930178412,540.1906180236366
ENSG00000205129,15.306928209770598,539.2395933921017,6.557863951259696,136.32964291671442,121.12938121651726,41.80185327937267,111.14901800075157,130.05458930794757,58.648005430592605,73.22123701079708,922.2539468949317,14.276886463086893,19.18885308127619,104.49177419794114
ENSG00000154553,46821.4337754517,1040.642466606686,494.1072487005585,3787.1624845836254,1361.2923314978477,330.70733638612774,15364.061214690246,55588.84988067956,10499.286395966774,2441.820875288372,2826.2597975155586,99463.153481966,781.1815570016986,1176.0425185420913
ENSG00000154556,3049.6888269980755,1997.376482042408,166.84236410578004,1601.2092863254948,831.469872784994,107.73753773688688,2318.2136079621446,15493.22272859649,3560.054883126867,523.5677703986529,5401.717815702509,88.03647654655636,233.12795278568353,392.57201849094406
ENSG00000250848,19.08478608699664,32.57291336843747,12.76794724901148,29.290741247506027,46.44439982486432,61.863683044629944,59.320100872303556,67.65891789066228,29.748950760024798,64.71775244661606,85.8784827921782,20.161966832708078,31.97094127312856,12.573996228695169
ENSG00000063438,19.640805070740317,74.6283394979509,16.08112813117501,70.06486909986317,1066.6093861406941,234.92451928353205,95.66929126520692,255.1136782715282,35.51172934171237,664.4145758750465,275.8763835955833,32.54382230570037,81.82811179948007,52.87437800034451
ENSG00000188242,192.76789794940265,1022.1147173158151,123.46651784516628,514.1109099713098,3383.1176097369716,579.6062976889106,438.5792501813697,1107.3783443585987,264.36465894200234,352.6507081947886,966.1474560305926,425.02636496305996,366.7738216341131,295.33411320873466
ENSG00000225138,172.75258908095608,3247.215770397608,138.28421992313434,1392.3691451486493,2457.912380515532,1861.7844768139294,755.7810088345163,1033.9533697464778,361.3216908185634,529.7382670090963,3100.0446530820354,221.44076768667802,2447.4064015853774,817.1036667399698
ENSG00000066230,18.472416211982903,307.5081166110905,10.698350314248417,128.5585703922976,2970.9354929535134,254.02391342514102,81.07552381402135,140.56840717649206,48.18846577808119,45.437118802575114,255.46076878661688,33.22133746712447,277.13118556609135,97.93404286222737
ENSG00000249908,77.80212233990106,189.88445596534223,13.447631301847364,194.18796876109658,64.84651740197428,178.1613150282408,69.74028491187308,355.6287333794343,177.2628362542766,37.14774232588408,233.51895622765798,46.32143966725501,59.932247574331555,291.63692036288546
ENSG00000188818,137.18235169484242,309.5152249058812,27.60702061720308,212.61561959422528,138.70660959894988,191.07387560211643,141.00068674818635,640.4104247574926,329.34479446303675,57.74652465432271,442.19488716038353,78.11824079233867,98.60429411870385,421.28479830380536
ENSG00000071539,24.381962635278498,52.70005734912936,39.26231789138959,28.57829642813421,574.810840106475,108.59971844231303,60.11361459795837,204.16889676784407,26.879182431144383,1056.0965961343243,71.73722732636435,35.703221164530945,181.37116995327557,54.980948449603076
ENSG00000145506,78.91060989464732,395.056699912395,13.39634533042183,413.8256838124919,343.44801809423234,854.9932605442555,227.77691283159234,736.1534301564731,434.4189126465802,135.12219850196144,508.87134856000637,28.104683495276827,421.17259139613583,135.84566479624067
ENSG00000153395,308.869944036215,1238.26119849929,4790.649346444748,904.6387570108885,3434.129417664552,408.18085820630375,3206.21697508973,3426.448954218963,670.4080575448509,1324.716556915877,1795.0111306697365,169.60104870486995,219.66533632002796,921.0343660042702
ENSG00000145545,40.63504796546598,288.8353445009096,100.20868790934924,182.08660358025293,316.7257834425538,1164.1944855916006,203.15642654079173,328.4592000140818,58.80444872569981,275.04503818700243,225.75214343887376,63.81978492169406,773.6503718506167,406.9862712480696
ENSG00000272417,11.411434721793622,119.05660802809172,19.657595556265363,48.720763405784844,65.97486598877576,14.38099780785319,28.126879669976915,50.765533176376906,20.617400504467366,12.86092707900709,174.52546730164886,22.82770324096051,14.548104194026468,76.58528057156958
ENSG00000164237,2717.841364242836,933.3452474252945,115.28552404662004,878.4962705009256,4182.65364011907,142.6107329289241,1571.6549310798223,2592.291677958323,1173.3594488603858,1203.8849465754295,1709.430041608659,6504.938569755809,83.55652674717363,782.8044543680136
ENSG00000154153,4913.8338851245935,354.1835555523126,136.2944128928122,1107.534961202965,754.8990114200055,695.5737972833977,2054.514519006538,734.7966437671392,2382.7964056026385,410.4653876538217,1200.6349592296924,9764.51848600225,78.57357499464953,1419.3006423765075
ENSG00000176788,256.32827709080146,3100.2566476994207,40725.40667388536,2069.5119583098467,3805.044050745858,1384.5210821452124,5409.4557280809595,3326.077422453792,666.9262223827005,12603.856815412673,2780.082999944365,163.99651981887348,639.5853458117776,13448.868306549177
ENSG00000082196,85.82165669914218,635.9470179037384,65.39164238838514,644.1929825834442,378.826284001915,374.97774054648266,778.7397217370323,2773.3000434497517,118.32555224233164,182.19201488413447,602.1145269411413,88.17217866464628,161.20655076147287,479.94128300082855
ENSG00000039560,136.72434965397684,598.891656382104,68.8043582037244,394.33368163314594,296.25809669907517,973.7476268683357,1283.8373884511307,6386.896680856726,310.78562475573176,3155.703257065126,1424.2610313288353,76.10514267613576,175.92923594436968,241.37748015165127
ENSG00000079215,1082.0171439925286,2289.760868403433,212.19896002912765,1698.1335362594955,226.78369642761822,434.3495949155267,1889.3980969515305,294.8744675008652,908.7624952973264,813.1986911495626,843.4249551796461,661.6880446894529,589.5873834999188,12968.571636728724
ENSG00000082074,48.14303339935082,167.55764858445605,5387.537053755342,237.73830712891763,525.5155732909559,56.57383416015991,807.2675556972829,169.10761830231056,87.29062809625371,61.48000951342577,238.1575978104859,20.0481753767282,91.30223607495869,128.0964212092537
ENSG00000153071,557.0766598351084,971.4958509034905,349.9539433439645,1309.5955285539208,1133.8100102752092,826.4864879626742,7800.063431825016,5995.08538117585,768.0323691475015,6771.514807438346,4036.210783642693,357.75807056300624,176.7284196869247,181.87267687504425
ENSG00000112964,739.6955213669872,139.42154190111174,68.77329787366592,513.8091186865237,234.68531104797881,307.3387685158763,5034.742235981207,789.1903354800583,494.0410833327685,491.5785004517038,987.5185112421914,2186.5273394457117,57.392674813069696,77.18305724434877
ENSG00000250722,2024.0249076015327,3927.646990304993,309.92133622599755,5297.003526356673,6770.580457158585,3123.8633964640594,18316.484977477892,6107.866320631973,2241.0209218095074,3236.509648835447,11636.799737567353,2225.705255434835,1377.5233217705704,2940.2032359241903
ENSG00000177453,18.028862718175706,139.57350427040578,9.510650626024608,92.60532637679562,69.38011551147255,32.39690954754636,61.785220706861814,151.14702984253077,29.533304904474416,42.1027247972876,69.59174728128126,38.83836414139761,21.583739930783665,459.701494448564
ENSG00000261604,17.799514883606317,94.3338703022913,20.372666013554603,66.86988448316565,54.87912434478365,225.6685065088295,41.33683982171683,57.3468372038587,50.234351083632056,21.94357949860175,57.60846694808939,23.973783516113595,140.21025525892532,224.9063077824728
ENSG00000112972,469.66485988270165,2027.1086303707107,269.83374680225995,1694.2308288808758,5343.413037689238,6419.125242553129,1799.9840945852366,2627.8539489313935,819.3303233850011,1675.2711157137646,2686.034749296367,873.0727937109018,5016.854312732703,2594.5846463042144
ENSG00000170571,106.593704939728,987.2097160395001,5764.862453520773,866.8926247889931,1456.6783012959538,1623.9304851617792,1610.7875464081771,518.7192697228896,257.3834395782025,405.25275386458304,3412.2981591134903,51.30461214261864,174.1158598471555,101.71453910852895
ENSG00000213949,536.3339089646223,686.0999592025166,164.07051059909338,978.5521380988923,901.982487697915,181.41137277279392,4290.276747851867,18183.10452172583,651.6191039672464,1206.1295872189332,2580.819603053807,271.8511018848154,239.6209148505545,127.55782804165696
ENSG00000178996,343.6878927319555,520.8662215314251,1189.8814369198296,551.2643937737091,358.5194030838337,474.5722656462912,1984.0915201876392,4933.185065207599,286.8971510810508,2350.8855247558913,1473.950990718823,251.08245707870418,227.19809878131613,308.0395361161625
ENSG00000264281,8.306065430443617,12.839962130669154,6.176270356031161,18.484085103127423,30.067900778842613,23.35849775601124,38.83514006990023,55.79950313891052,13.334115800651166,14.557378576607892,25.610934231097673,18.44668215080872,29.608302482031203,7.035121725475353
ENSG00000113448,1087.5678049233854,212.81422013138103,282.61727631964334,341.53287744942554,251.5038820215632,105.92217503263203,639.7436103361658,2490.1159720242267,448.13444562772304,420.36031690989205,474.9852680459877,2286.3537747745245,53.51316992556029,157.19561402909434
ENSG00000164181,32.86655681137741,1200.2985988128878,58.01226768678387,773.1743011341985,366.7965271959039,1993.293027297859,849.651396963797,222.1582344806536,53.77863912606564,172.56465347158337,1473.477725718665,38.077828958585805,187.31090415440636,676.1438263963529
ENSG00000123219,9.862277938627383,29.386015987921926,42.09884760882432,18.329060080720897,634.8354866869353,66.65095923276002,50.897652897001294,90.18030657845736,22.54165140110057,384.9502032476453,62.339131024323336,9.10397633213675,113.72782253204332,18.028917243734565
ENSG00000134057,82.29755694743845,265.08002590055736,188.20648627534237,147.2904397650166,3089.8702803888805,451.4698308751341,184.22054941045545,730.799374630043,112.20519994263762,3797.8268312856844,802.8265294957278,111.25932575700956,939.4074970714406,230.8810162905106
ENSG00000153044,183.21512258815068,116.96101577336854,148.95348906480143,209.75907001995603,1809.7704725610874,445.03111576096114,299.54282302409973,610.0687636920752,163.6714262078073,1066.5440926728472,350.66731197252614,227.1614051248331,321.98438825065983,147.38814409315466
ENSG00000197822,4.605640971792579,540.9217545236257,4.087185233673663,82.52579062393801,357.5102641182126,323.06364199118036,19.305243481784714,17.34022077452798,9.06557868899523,19.45474395568202,1161.9719502719838,7.660189125061346,172.2786898526438,21.07068047930918
ENSG00000250138,19.185273556719032,43.33867075489559,1390.6353309867611,56.1505702590298,77.12313578887334,23.17606907751074,274.23025345659283,118.65037719824862,35.72562940959352,23.27536228434519,91.33357598328078,11.674370204580534,11.279707847366964,22.656435224722852
