,Topic 1,Topic 2,Topic 3,Topic 4,Topic 5,Topic 6,Topic 7,Topic 8,Topic 9,Topic 10,Topic 11,Topic 12,Topic 13,Topic 14,Topic 15,Topic 16,Topic 17,Topic 18,Topic 19,Topic 20,Topic 21,Topic 22,Topic 23,Topic 24,Topic 25,Topic 26
ENSG00000111291.8,31.982861844864946,27.76941138886173,16.25690343117434,23.25328430657587,6.604238292793868,27.45069870744956,50.28172514279431,12.996384956456819,9.961556438906314,4.820731559146471,3.3972315774601127,4.2956869355638805,2.710120062718192,301.5908694138256,13.10677178602124,20.086552693293825,3888.1818052511244,53.04249193022872,40.01736093488331,23.530949003566505,4.929625560541788,2.4896818638272022,125.74715087496028,7.556835836572599,59.25754323160204,2.9827394426038114
ENSG00000111305.18,1.4654232453152873,1.5984894566337524,1.6544468785939463,2.660295331361321,1.3191241908655347,1.2892044334323949,1.5677435537770228,21.22581898802191,1.242098601075192,1.2094126880416738,1.5933120960518368,1.1899089991959582,15.642496544580364,1.1857237763256774,1.6089220716406056,1.7137352398569756,1.1959735958385307,6939.876115831555,15.521918270404127,1.5447067188292947,2.668535218473903,1.1894846326555046,1.4364784898735687,1.1409126229724795,1.3024156309962918,3.915849250787434
ENSG00000256389.1,1.002179177559896,1.0059209509408014,1.0076099899049602,1.005351473876842,1.0033615298434033,0.9987479607021148,0.9998974851625138,1.0043456825346386,1.0003833323143463,1.0035851975893169,1.0032530106204025,1.001805539154065,1.0022389322059995,1.0007196265722749,1.0018518219090962,1.005187579186857,1.0012420542745462,76.23260589216639,1.0044836223909976,1.0033227327229162,1.0057657989676263,1.0009751313469935,0.9987074342267362,1.0035283392292866,1.0039754001271886,0.9993622479746026
ENSG00000177938.4,1.6102085350626676,2.1240830441190592,36.582983192494844,2.7124808796547883,1.3760501467303083,96.08788320229108,2.041529328267728,1.7100527729144235,1.3322507337792566,1.208331916439542,1.7026806598152027,5.5758763106223785,1.166964445805196,1.2535046651107882,1.9426478133087817,1.7372704937452979,5.103396718249404,6768.489278025426,1.4912175869338034,1.652056047756496,5.988912347627249,2.9772308370966916,1.6056645248276804,1.2112140146454553,1.337920323046934,1.2639543367583097
ENSG00000111700.12,1.912498383400103,5.1551634125726356,1.3177450387360132,1.2361792983409525,1.315047120066459,1.0543165351910229,5.741139115640856,1.2581563506404392,5.829304183976576,1.133196097376606,1.2857083863303669,1.3221360859271225,1.048214287224242,2.183152812402864,2.9173965976268823,2.344564160809182,1.1229577068469105,23.483165756819524,94.97915261600396,1.1597607618225272,1.5956859904622185,584.6367272035814,7.998397307408006,1.2593720061665938,1.3932522221211445,1.0826253725834891
ENSG00000134538.2,1.2155399655957746,1.2049932430105041,1.3723542025446565,1.1440030494758013,1.2183760602733908,1.0712070854888862,1.687636286432153,1.2164824172977833,2.1409258057176555,1.1780760789628932,1.302880618672299,1.21429511713829,1.0901520855598006,1.1379663857894842,1.4671196095885612,1.405563921463135,1.2847438529362272,1.3099827713501986,1.1884048821250144,1.330239558165097,1.4219982969520386,870.7003044558679,1.1150256750556857,1.3140059558167883,1.2362724848946698,1.1958677151470503
ENSG00000121351.7,1.2969733551775307,1.1836383017804495,1.1842922460584528,1.1062140480317015,1.1255754805947775,1.1190098949411296,1.1762405856719096,1.138490888400888,1.1102628516925144,1.2357622390954734,1.1592978150338045,1.1895382145902489,459.52489978791897,1.1544462092195644,1.2796773413729106,1.3102212281366317,1.2031315602654151,8.459449785867431,1.106337789446791,1.1557177109088346,1.2713790565694234,2.433135023402203,1.0677559107312178,1.236716874593431,1.105988952873852,231.77765979508519
ENSG00000197503.4,1.0083102094683953,1.0132246990515477,1.0138022903806618,1.0240759959443932,1.0046494119622813,1.0067768488719662,1.012162645464471,1.017620438976333,1.0065294507778166,1.0054126458757027,1.0112373754761015,1.0067275213489855,1.0060171033534346,1.0047641407536076,1.016785267715053,1.0094195100020622,1.0017880353943036,140.06715345000782,1.0068099159515658,1.0091482654792663,1.040283324682211,1.0095533182277927,1.0055029782092708,1.0031762917988973,1.0051188012028485,1.0035473863847588
ENSG00000226397.8,1.00454182999248,1.0094986313627958,1.0085407232975874,1.039554847095772,1.005583374492963,1.0004866255882272,1.024402983262764,1.0017138543393551,1.0047162884413494,1.0031540977621736,1.0025928341213164,1.0043177094460956,1.0003157057515657,1.008447256809606,1.083476945014187,2.680912118951955,1.0098519796506957,1.0030815048593278,1.0086975220865542,1.0077755075580117,1.0052047624133118,1.0017373497197168,1.000738084407731,1.016858133387308,17.501751871434717,1.0032381367113408
ENSG00000152936.10,1.009393415274491,1.0194066128567763,1.016168937678254,1.1057646614800825,1.0139647474501614,1.003168009127786,1.0167363038261077,1.8220771230848172,1.0438077431216795,1.0055345943165623,1.0142930841991307,1.0064694691758018,1.0036761727240728,17.99142063243802,1.0973744632708278,1.0450750153905197,1.003484923350868,113.77984120694292,1.0242209738769177,2.599841518389093,1.0264702388204099,1.010308445371271,1.0034893848108448,1.013456289721722,1.055874204710821,1.004903410891852
