Cluster 1,Cluster 2,Cluster 3,Cluster 4
GTEX-P44H-0006-SM-2XCFB,GTEX-YJ8O-0126-SM-5QGRG,GTEX-147GR-0011-R2b-SM-5S2RQ,GTEX-11NSD-0008-SM-5Q5BC
GTEX-1MUQO-0005-SM-DKPPT,GTEX-1IDJU-2326-SM-ARL89,GTEX-13CF2-0011-R11b-SM-5LZXO,GTEX-117YX-2326-SM-5H12W
GTEX-1A3MX-0005-SM-7MGW7,GTEX-OXRO-1926-SM-2S1O3,GTEX-14ABY-0011-R5b-SM-5SI7B,GTEX-1HUB1-0426-SM-E9U4U
GTEX-147JS-0006-SM-5NQ7K,GTEX-TMMY-0626-SM-33HBD,GTEX-16XZZ-0011-R9b-SM-7DHKX,GTEX-1AMFI-0008-SM-EVYAV
GTEX-1128S-0005-SM-5P9HI,GTEX-14PJN-2226-SM-6872I,GTEX-1E1VI-0011-R4b-SM-9QEHV,GTEX-1KAFJ-2026-SM-CY8ID
GTEX-1A3MW-0006-SM-7MKGU,GTEX-14PN4-0426-SM-6AJ9N,GTEX-13OVJ-2826-SM-5L3GW,GTEX-1F6RS-0126-SM-9MQKZ
GTEX-XGQ4-0005-SM-4AT5U,GTEX-1I19N-1926-SM-CM2TF,GTEX-WHSE-0011-R10A-SM-EYYVG,GTEX-18465-0126-SM-731BN
GTEX-11EQ8-0006-SM-5P9HJ,GTEX-1122O-0426-SM-5H12G,GTEX-1C6VR-0011-R6a-SM-7MXU8,GTEX-1KWVE-1426-SM-E9TJO
GTEX-1QP28-0006-SM-DLZQW,GTEX-1EU9M-0426-SM-7SB8N,GTEX-WWYW-0011-R5A-SM-3NB3E,GTEX-1122O-1026-SM-9WYSF
GTEX-111YS-0006-SM-5NQBE,GTEX-14C39-2626-SM-5S2QD,GTEX-1IY9M-0011-R9b-SM-D3L8J,GTEX-ZE7O-0008-SM-4E3JQ
,GTEX-1EKGG-0826-SM-79OLL,GTEX-1GN2E-3026-SM-9WG6I,GTEX-ZZPU-0826-SM-5GZX5
,GTEX-1M4P7-0426-SM-DKPQG,GTEX-13FHO-2926-SM-5L3ES,GTEX-ZWKS-0126-SM-5SIAA
,GTEX-13O3O-1126-SM-5KM4Q,GTEX-ZVZQ-0011-R11a-SM-51MS6,GTEX-132NY-0326-SM-5IJBL
,GTEX-PWCY-0426-SM-48TCW,GTEX-NL4W-0011-R5a-SM-2I3GD,GTEX-1F75I-0326-SM-9YFLU
,GTEX-14ASI-1126-SM-5QGPN,GTEX-T2IS-0011-R3A-SM-32QPB,GTEX-1IDJF-0126-SM-CM2RS
,GTEX-1CB4F-0726-SM-793AO,GTEX-1A3MX-0011-R8a-SM-7P8PI,GTEX-OIZI-0008-SM-2XCFD
,GTEX-QXCU-0226-SM-2TC5W,GTEX-Y8DK-0011-R8B-SM-EYYVQ,GTEX-1IY9M-2826-SM-ARU8H
,GTEX-OHPL-3026-SM-3MJGS,GTEX-ZZPT-3026-SM-5GZXH,GTEX-131XH-2226-SM-5DUXJ
