i_doc,doc,Topic 1
74,GTEX-13CF2-0011-R11b-SM-5LZXO,1.0
75,GTEX-14ABY-0011-R5b-SM-5SI7B,1.0
76,GTEX-16XZZ-0011-R9b-SM-7DHKX,1.0
77,GTEX-1E1VI-0011-R4b-SM-9QEHV,1.0
78,GTEX-13OVJ-2826-SM-5L3GW,1.0
79,GTEX-WHSE-0011-R10A-SM-EYYVG,1.0
80,GTEX-15SHU-3026-SM-6LPIB,1.0
81,GTEX-1C6VR-0011-R6a-SM-7MXU8,1.0
82,GTEX-WWYW-0011-R5A-SM-3NB3E,1.0
83,GTEX-1IY9M-0011-R9b-SM-D3L8J,1.0
84,GTEX-1F75B-0011-R5a-SM-9QEHC,1.0
85,GTEX-1GN2E-3026-SM-9WG6I,1.0
86,GTEX-13FHO-2926-SM-5L3ES,1.0
87,GTEX-ZVZQ-0011-R11a-SM-51MS6,1.0
88,GTEX-NL4W-0011-R5a-SM-2I3GD,1.0
89,GTEX-T2IS-0011-R3A-SM-32QPB,1.0
90,GTEX-1A3MX-0011-R8a-SM-7P8PI,1.0
91,GTEX-Y8DK-0011-R8B-SM-EYYVQ,1.0
92,GTEX-ZZPT-3026-SM-5GZXH,1.0
93,GTEX-12ZZX-0011-R10b-SM-5DUWK,1.0
94,GTEX-1ICLZ-0011-R8b-SM-ACKX4,1.0
95,GTEX-13FLV-0011-R6a-SM-5KLZ4,1.0
96,GTEX-14ASI-0011-R1b-SM-5S2TY,1.0
97,GTEX-QMR6-0011-R2A-SM-32PKV,1.0
98,GTEX-13G51-0011-R7b-SM-5LZXG,1.0
99,GTEX-1C6WA-0011-R5a-SM-9WG5X,1.0
100,GTEX-XAJ8-0826-SM-47JY6,1.0
101,GTEX-15RIG-0226-SM-7KFTL,1.0
102,GTEX-12KS4-0326-SM-5EQ41,1.0
103,GTEX-13CF3-2426-SM-5IFGX,1.0
104,GTEX-15G1A-0008-SM-E76Q5,1.0
105,GTEX-12WSJ-1826-SM-5GCNY,1.0
106,GTEX-R53T-0008-SM-48FEW,1.0
107,GTEX-QXCU-0008-SM-48FCH,1.0
108,GTEX-ZVZP-0008-SM-51MSX,1.0
109,GTEX-V1D1-2226-SM-3NMAX,1.0
110,GTEX-1LKK1-2626-SM-DKPQE,1.0
111,GTEX-16MT8-0426-SM-7KUEY,1.0
112,GTEX-P4PP-0008-SM-48TDV,1.0
113,GTEX-1LB8K-0726-SM-D5OV2,1.0
114,GTEX-15SKB-2826-SM-6PAMH,1.0
115,GTEX-17EUY-0426-SM-793BD,1.0
116,GTEX-YEC4-0008-SM-4W1YR,1.0
117,GTEX-1H1DG-0126-SM-9WYU2,1.0
118,GTEX-14A6H-2026-SM-5Q5DD,1.0
119,GTEX-1IE54-0126-SM-CMKHW,1.0
120,GTEX-14XAO-1226-SM-6EU1C,1.0
121,GTEX-X5EB-0008-SM-46MU3,1.0
122,GTEX-1MJK3-0726-SM-E6CJC,1.0
123,GTEX-NL3H-0008-SM-4E3HU,1.0
124,GTEX-133LE-1826-SM-5J1MV,1.0
125,GTEX-12696-0008-SM-5TDBX,1.0
126,GTEX-14JG6-1426-SM-9WG7C,1.0
127,GTEX-1LB8K-0226-SM-EWRNW,1.0
128,GTEX-15CHC-0008-SM-E9U4J,1.0
129,GTEX-XQ8I-0426-SM-4BOPO,1.0
130,GTEX-1CAMR-1926-SM-7EPI2,1.0
131,GTEX-ZT9X-1526-SM-5DUXD,1.0
132,GTEX-147F3-1726-SM-5SIAW,1.0
133,GTEX-18QFQ-0008-SM-EAZD7,1.0
134,GTEX-ZUA1-2626-SM-5NQ92,1.0
135,GTEX-18A7B-0008-SM-EAZBQ,1.0
136,GTEX-X5EB-1926-SM-4E3IW,1.0
137,GTEX-13U4I-2226-SM-5LU5H,1.0
138,GTEX-QDT8-0126-SM-48TZ1,1.0
139,GTEX-1LG7Y-0526-SM-DKPQC,1.0
140,GTEX-1M4P7-0226-SM-DIPEV,1.0
141,GTEX-12WSF-1626-SM-7KUG5,1.0
142,GTEX-XPT6-0008-SM-4B64Q,1.0
143,GTEX-1JJEA-0326-SM-CNPOT,1.0
144,GTEX-11GS4-0226-SM-5HL77,1.0
145,GTEX-RVPV-0008-SM-47JYW,1.0
146,GTEX-1GZ4H-0526-SM-9KNU9,1.0
147,GTEX-1GMR2-0008-SM-EAZD1,1.0
148,GTEX-11WQK-0008-SM-5SI6T,1.0
149,GTEX-1JN6P-2926-SM-CL54D,1.0
150,GTEX-QVJO-1626-SM-2S1QW,1.0
151,GTEX-1QEPI-2626-SM-DTXF4,1.0
152,GTEX-12BJ1-0008-SM-5TDBZ,1.0
