i_doc,doc,Topic 1,Topic 2,Topic 3,Topic 4,Topic 5,Topic 6,Topic 7,Topic 8,Topic 9,Topic 10
247,GTEX-1497J-2126-SM-5NQB8,0.09555179018426892,0.11270834444576197,0.080851537480951,0.1598032187073845,0.2011649651488407,0.051623549170321616,0.004193004704831863,0.04777905933790655,0.06192831382642578,0.1843962169933071
248,GTEX-1LSVX-1226-SM-DHXJN,0.11904061835019573,0.09520934281615806,0.20298975191520585,0.12115352827973362,0.08381630397947379,0.026772163421820677,0.0174265968804987,0.0904922956818915,0.21536309894070044,0.02773629973432157
249,GTEX-ZAB5-0926-SM-5CVMV,0.07519515733268838,0.0709569437832569,0.12458556322315062,0.10269129521118459,0.08140806011126885,0.01855931988085773,0.00011527058393530004,0.061472681587282495,0.35565361733616346,0.10936209095021167
250,GTEX-13W46-1926-SM-5J2MF,0.11632097268139584,0.08648398643573003,0.20453214421141902,0.12231461305346594,0.08104555092442026,0.027210663774611076,0.0002547400564024665,0.0940850477240515,0.2506001860063131,0.017152095132190754
251,GTEX-1LGRB-1626-SM-CNNR7,0.10102142427876004,0.0778468183251782,0.1656743264855427,0.12431995306485386,0.08785601071687021,0.027457297518711545,0.00017060039965133373,0.07899984819532346,0.31436423837105426,0.02228948264405434
252,GTEX-ZVE2-1326-SM-5NQ94,0.11858671983734177,0.08875600944382647,0.1811027257022355,0.11176674493146635,0.08583421818176783,0.021833750033845245,0.016176037592438144,0.09516143166880106,0.2616000911092647,0.01918227149901291
253,GTEX-146FQ-1026-SM-5LU8I,0.11711127177136713,0.09471257785144538,0.1824685470069507,0.12807168218772016,0.09035541265253094,0.028544952397869895,0.00015620419390373122,0.08781005099987313,0.22675097216266593,0.04401832877567307
254,GTEX-OOBK-0726-SM-3LK5Q,0.04927965014163931,0.0861680221933765,0.05171704117250076,0.05066805044225208,0.052151695625580294,0.018844953789792774,0.0001012672858868834,0.033415388535959635,0.0355953431935118,0.6220585876195
255,GTEX-17F98-1826-SM-7DUFK,0.0492783420280336,0.08414489794966577,0.05420885998431702,0.05755606435845827,0.057080534749699964,0.03145325717024463,3.7451236447158874e-05,0.03953700478249391,0.03647757998716354,0.5902260077534761
256,GTEX-13OVJ-1426-SM-5K7Z2,0.06603008720118417,0.09725005687488547,0.0645997214951512,0.08014519583448004,0.08615209858786838,0.03557957718137644,0.03787436802095515,0.04303295622251284,0.04705145702690235,0.442284481554684
257,GTEX-13OVG-0626-SM-5IFEP,0.08686441882819798,0.06127942709165702,0.2000638052665466,0.13056198699244093,0.06728715719032231,0.022626047246839386,8.848086213374113e-05,0.0711787581396295,0.34521448773842744,0.014835430643805048
258,GTEX-1F48J-1626-SM-9WPOE,0.0918731198704269,0.12199951993361614,0.08824107077928771,0.09998741162960986,0.11575511332644951,0.028833870752940454,0.005011252727640914,0.05739292396544485,0.06462625040838449,0.32627946660619905
259,GTEX-13W3W-1826-SM-5IJDE,0.0532673005559499,0.08976836008540003,0.05847539177668371,0.04925057132225549,0.047940997467488464,0.023834459845957882,3.806865204305904e-05,0.04366213761846121,0.040013772261215934,0.5937489404145444
260,GTEX-1F5PL-1226-SM-7P8R5,0.025972984168760517,0.0530177806851258,0.02942987235751413,0.026102825188220304,0.022721833753896508,0.024961308264834257,9.868593188038961e-05,0.02122438946484935,0.01730126324217109,0.7791690569427476
261,GTEX-11TUW-1226-SM-5GU7C,0.07735807864068285,0.1256400847467778,0.07892806637784332,0.06362438332830571,0.06511939788922952,0.01951105747715212,0.0014787307197951574,0.062456850119063254,0.059350978908682,0.4465323717924683
262,GTEX-14JG1-1826-SM-5YY9Y,0.08027776394459721,0.12711501292771468,0.0916477428831597,0.057363768596911634,0.05438652935491608,0.032524947268669155,0.0011990415892949788,0.0859025186995172,0.058656889090539045,0.4109257856446803
263,GTEX-ZV68-0926-SM-59HK7,0.1317635030721999,0.10112012088824737,0.20217675560505521,0.10946887572539522,0.0912752255248843,0.028706627533685428,0.01841714047047656,0.0936482540631675,0.19600564927635847,0.027417847840529908
264,GTEX-18A66-1526-SM-72D6Y,0.04660308896745734,0.08303522302570247,0.053054305466909375,0.04284175023535824,0.03795507157474825,0.03248184125750903,3.709128731371664e-05,0.0403642155648745,0.03435368680936735,0.6292737258107597
265,GTEX-YB5K-0726-SM-5LU8R,0.051264540925061615,0.07732159196620107,0.048809673233462164,0.06414800628499304,0.07516191376301078,0.014412938603570926,0.00010437558436607203,0.028439801825229108,0.0384724558584573,0.6018647019556479
266,GTEX-ZEX8-1326-SM-4WWEW,0.017765355941228477,0.04120744085756925,0.021762075487582327,0.014071076154429357,0.012008694876049355,0.015762055748459562,0.00035914219553590166,0.018613542784326864,0.013106627368991822,0.845343988585827
