i_doc,doc,Topic 1,Topic 2,Topic 3,Topic 4,Topic 5,Topic 6,Topic 7,Topic 8,Topic 9,Topic 10,Topic 11,Topic 12,Topic 13,Topic 14,Topic 15,Topic 16,Topic 17,Topic 18,Topic 19,Topic 20,Topic 21,Topic 22,Topic 23,Topic 24,Topic 25,Topic 26,Topic 27,Topic 28,Topic 29,Topic 30,Topic 31,Topic 32,Topic 33
10,GTEX-OHPN-0011-R1A-SM-2I5GB,0.025753605481840587,0.023131100998410474,0.023539627001828524,0.006168525040870885,0.014311491560476728,0.016308485122357674,0.00759615293823058,0.571711228538772,0.018002149202639203,0.011368344827554059,0.019663667676339695,0.02128322124231301,0.008029896521658031,0.008495311835569935,0.014863746665382763,0.011309686867628288,0.012423341528589395,0.009710214363366419,0.012015872746755453,0.014458749511537859,0.0018707761325821983,0.006656606051498695,0.021077968021030336,0.014807998631007822,0.013493695748289571,0.013376849562511763,0.005164340363032188,0.0080787029349198,0.017845333938074862,0.007683743560075509,0.017804661728552204,0.005020485696833951,0.016974417959469454
11,GTEX-11DYG-0011-R5a-SM-DO928,0.01326288181938824,0.011366437256158421,0.008502527866107962,0.003605584314132207,0.003977213339603434,0.014325809705662306,8.152923296874198e-05,0.8321527907233532,0.006170681514772455,0.004596170068757637,0.007862902587870587,0.007940740522492806,9.529315991718772e-05,0.00010207960782570818,0.007210824643804,0.004541967719802376,0.004965328889794526,0.0035506077513330933,0.004736022482512451,0.005180729803382075,0.0007379138430959956,0.0020617270388902237,0.00515100988426237,0.005659371147749776,0.0046973206643942,0.0037802124882273937,0.002115479573007609,0.002883777955295983,0.00648754786133394,0.00250401464007577,0.006971392507820086,0.0014883285415197638,0.01123378084468747
12,GTEX-1B933-0011-R10b-SM-9OSVN,0.014669089645089065,0.013299433216434314,0.00918241317265268,0.0035499803696490396,0.004029376774065577,0.020041420820085813,4.9013455635855156e-05,0.8096534086706545,0.006904397491279216,0.005679589266717079,0.009129973781439286,0.008471384396972684,5.568503667843364e-05,6.102430283944146e-05,0.008253024761466039,0.005746302305268412,0.005127256524455981,0.0048315952567364985,0.005542579523055698,0.005605461453667428,0.000791832356268249,0.002330424199576768,0.0047375199520278315,0.006366469273582161,0.004704942443556914,0.003907248902510852,0.002499782526052286,0.0034527080568184363,0.007225695704120648,0.0027322967927086808,0.007449056034036368,0.0017195402425417396,0.012200073291355905
13,GTEX-1IKK5-0011-R5b-SM-CL55B,0.016702725520683845,0.01685602552844918,0.0145590489746504,0.005474588775309912,0.006355959507481694,0.02257695689836867,0.0003175207010053934,0.7352165752055938,0.010164234720192268,0.00791947215478695,0.013142982335874825,0.013113674249909963,0.00039375703925791723,0.0004719173011296165,0.010608017341860898,0.008115082780725796,0.008851832638872856,0.006208506245513036,0.008679842348965038,0.0087904739375628,0.0011630389336326468,0.004229159139735078,0.008146559337807488,0.009476188318822399,0.007143135719910911,0.006306759951258741,0.0038843432202368302,0.005316401976498618,0.009978606415548376,0.004003545352609021,0.010010851415550614,0.0031067002970358738,0.012715515715158549
14,GTEX-1IY9M-0011-R7a-SM-D4P49,0.014033217659597136,0.01170156252799141,0.009005306380978895,0.0031405860207665615,0.004538920047375263,0.01610523208587121,5.094743565627884e-05,0.8170178585997893,0.0067976957141706925,0.005187672220720092,0.009211595144263632,0.008209814739902366,5.750890449370796e-05,6.397184030701546e-05,0.007686022882685452,0.005338776739552898,0.005352990569275133,0.003860721101238229,0.0057312289364508185,0.00566281267492198,0.0007820888181288142,0.0025809790216888505,0.0067082715616078575,0.006528704757726748,0.00480144040335785,0.004014280790813478,0.002694056757830799,0.00315811378641773,0.007162908400276264,0.003075920897535314,0.0074571542071365385,0.002032060999777575,0.01024957737169408
15,GTEX-ZE9C-3026-SM-4WKHB,0.015863143685986493,0.014230514595492584,0.011067640478651022,0.003387955531265844,0.004413703027634177,0.025593023965271137,9.089732470339175e-05,0.7816724072106211,0.008352976026283928,0.006228148840312031,0.011107041658278208,0.010506286641291732,0.00011027094682382855,0.00012362058842799463,0.008882443191044368,0.006459667935309386,0.0059342093449125475,0.004518477982135002,0.006620629833646526,0.00669461349796624,0.0008507900168635027,0.0028369438757708918,0.005579630317762051,0.007514645924465526,0.005588276363521395,0.005107317321305588,0.0029051544239169238,0.00390280156841259,0.00848963802906843,0.003543457215606144,0.008384361144196596,0.0022619548733071653,0.011177356619745595
16,GTEX-1MJK2-3026-SM-EV7A5,0.037072186888760066,0.03568803709893736,0.026405133987897816,0.007079483149867788,0.010808836282397313,0.012542785347331857,3.400666755602324e-05,0.5384490550386849,0.022798355152791324,0.014699110883140295,0.02727370023882049,0.02840037276351308,3.9394587748909386e-05,4.942708157534467e-05,0.020211102446991574,0.015577674960493842,0.011553405284406418,0.008254378695176734,0.014485601530676505,0.015607332012357929,0.0015393989100740827,0.0059221350060610555,0.005611658912682137,0.019134690845567164,0.014064562148696575,0.01163940174247315,0.0059020592988752694,0.007813048726174896,0.022465209925992657,0.007088374150999284,0.02292248153968875,0.0049970017604970334,0.023870596933092493
17,GTEX-144GL-0011-R11b-SM-5P9F6,0.036853755112577574,0.0357395446685398,0.02692597596969934,0.006535854858699074,0.011122627114097138,0.013274489575342496,3.783826386072779e-05,0.5310718369164442,0.023718296606659313,0.015150516401702917,0.028235896347619728,0.02842667894113469,4.606059813322801e-05,5.9349819227852606e-05,0.020659023300369884,0.016122098096652097,0.011816626674781226,0.008661651038443177,0.01522478687313892,0.016160846746578892,0.0014742738334856626,0.0063768823759523235,0.0055585307417093995,0.019634462310637337,0.013878040289548657,0.011984823910283486,0.006180923981115342,0.008135514774667391,0.023010463332500265,0.006843685513219479,0.023673898471839344,0.005355892926184197,0.02204885361515475
18,GTEX-13FXS-0011-R9a-SM-5K7UI,0.014989169534045454,0.018334303435824886,0.017712462036619116,0.004539026512246796,0.007076803494780528,0.03464496107383475,3.870048987950411e-05,0.7164251504597985,0.01015727228767342,0.008615288243084008,0.013286195033424524,0.014528447575442345,4.477501191728356e-05,5.9970531060797005e-05,0.011101738770710091,0.00807029992752954,0.010702570296213914,0.006157206874995972,0.009870854306989437,0.009255089772007266,0.0019693140493853814,0.00436229972349705,0.005223342886192951,0.009110788100818728,0.007835808654334274,0.0061473773967153315,0.004314325642052011,0.006637079942950275,0.00973818221031859,0.004190355824195256,0.009560270948707357,0.0032053950888170824,0.012095173863937436
19,GTEX-11ZVC-0011-R1b-SM-5BC6M,0.020694761616163803,0.022837032161185124,0.021481703330170344,0.0065876345890143,0.009233719125134873,0.028233392712617707,0.00018542847688562177,0.6335591300334817,0.014429200739614538,0.012326737845399139,0.01888449552892011,0.018237904365788045,0.00021428810561693613,0.0002479457358232055,0.015008077747858804,0.011167013451100263,0.012666741596944846,0.012821680132253665,0.012870256040558154,0.013324496711530425,0.0019167798914478432,0.006170150106898431,0.004515999941534452,0.013354840914548187,0.010380991775316827,0.009118174524244151,0.0054890067840125045,0.008738213350472509,0.014421608631591535,0.006162473018788379,0.014392582647680546,0.004635276120576387,0.015692262246826662
