,Topic 1,Topic 2,Topic 3,Topic 4,Topic 5,Topic 6,Topic 7,Topic 8,Topic 9,Topic 10,Topic 11,Topic 12,Topic 13,Topic 14,Topic 15,Topic 16,Topic 17,Topic 18,Topic 19,Topic 20,Topic 21,Topic 22,Topic 23,Topic 24,Topic 25,Topic 26,Topic 27,Topic 28,Topic 29,Topic 30,Topic 31,Topic 32,Topic 33
ENSG00000275157,1.1356321566569287,1.1282916315146378,1.1283376196402188,1.0754560987228565,1.1902347846979802,1.137848913174877,1.0434184088222762,1.1548921972103057,1.147194001377889,1.1052419857772815,1.1221178120197592,1.182844327137613,1.0782438288603142,1.099940976003436,1.1312168282539017,1.125825798348808,1.085665901122735,1.1387447207439938,1.112452338042984,1.13831936666054,1.080012109036256,1.0905731414546687,1.0939830508388872,1.1330549643213945,1.1295576374440803,1.1776010485118675,1.089554967913324,1.1043947527872238,1.1657062131677267,1.1169560040811797,1.137997890845239,1.1301460229852425,1.083621714447649
ENSG00000237069,1.0053539976960586,1.005568370328224,1.0036732399487227,1.0048671107054603,1.0040029347138717,0.9991010385213693,1.0024854161384138,1.0008931815096993,1.0047389929858985,1.0078600200357544,1.00579282240587,1.0038785958025798,1.0001909200397068,1.0035034179417657,1.005082543031153,1.0043775059233266,1.0080789700964756,1.0022254426300083,1.0045260052465648,1.006519964337982,1.0021301408982006,1.0035533594679755,1.0018349605658288,1.00453901758102,1.0033028860067854,1.0070119178247192,1.0095285960215055,1.00449642027505,1.007281148211873,1.001681885485513,1.0023686788001176,1.0085305925344177,1.0040486629662726
ENSG00000235008,1.3462874639318074,1.2831676521098654,1.306913478943378,1.2070034770897822,1.4280529378206905,1.2404288092244828,1.0862750467014823,2.1697884835165486,1.2944014014569734,1.2237464060920642,1.3133138572013539,1.3629526895681527,1.098785435360687,1.0897892306739567,1.242739571678221,1.2509280354005163,1.2346380474223142,1.1860452198653835,1.2329672367508937,1.2567910976228582,1.3062547982297112,1.2153297124559466,1.2200979363763986,1.262327257907132,1.3271832660100247,1.268227328622591,1.2183149465557617,1.2095064490515608,1.282634230975842,1.5088026790643043,1.3323883890807957,1.224614769457812,1.2591063357029675
ENSG00000272502,36.279868460492615,33.039647979868754,26.110052328601615,18.70801905314666,32.57604449516688,13.184358286645507,17.565142383781577,18.982802118953312,51.03738703722399,46.63269704732508,62.90721159215417,23.982124224092992,20.18838377994592,22.74495154762352,53.27405934377953,40.7602352810969,25.023151614602238,17.272767039769946,60.2554127110355,46.3222027072053,18.640141585553657,55.052160350274725,26.082052604856287,71.77582752621467,28.682798355377916,27.160264773891086,84.05794113998053,22.111142744438386,53.40343085987354,66.70912763970372,63.89514482966915,126.78082735692955,22.518628814590176
ENSG00000179562,302.27942338720555,247.3088388873396,263.07295551922624,263.1296640562795,313.1251640012497,298.9393443116812,148.31976395817168,261.4596105176217,215.10414707583914,272.8140799353878,304.21036103162976,347.9794091387688,183.2489841230574,186.64953966301994,257.5301844710285,236.9220318165269,221.8054215139866,184.912911127583,169.533110051784,228.5258794927521,393.2015192938616,197.9204342403738,239.28438494922412,222.3760465338808,390.6626559444255,247.12141788651672,213.58081994467653,237.62370323589116,275.9965875797888,402.67539940224594,407.8181065444316,329.28323616716204,154.30100569483128
ENSG00000272273,29.88720511357152,22.522855516791175,19.87038899884949,11.697896279116478,17.056742503711753,168.37376365953003,14.742266540380834,86.6104575029694,15.078214106703932,22.98930212235522,24.00381536829057,14.594982980474006,15.215064110174858,23.22697447154178,24.056965204457736,24.514566038227684,21.015023324075322,30.93550672394784,19.724090867256432,11.948341301388451,47.121949215922385,16.11626965060107,22.90460363897479,16.30652046136548,12.528643039518895,10.926593515336727,23.086858489678725,14.739329551584053,15.169122694831481,40.31984692775473,16.772336977489772,11.987173613115052,15.470750636508603
ENSG00000213398,722.2682027085846,1230.9502470265993,1143.575661342743,622.1482950807939,689.5968729929209,1020.764831055557,49.20620848966413,643.4342501809348,870.5506753187262,1445.8066741458738,1236.1654624795506,784.1854581149811,99.14880042691529,104.19148712879002,852.6540748134191,1738.2269215971876,1003.0406329639237,1506.5689400355145,1184.350735765459,1180.8911660146453,2972.8194559579715,1080.5172105058846,220.03882129881373,1533.809790549532,732.1747608155232,1177.6629868743019,1322.7420670992658,1509.0022113964026,1490.00875320104,770.9355303048821,1105.239419425437,1675.5419934603613,416.5899729540173
ENSG00000204406,47.650983834009764,50.78451576735629,54.0446000218009,43.98317962389725,40.36928063868824,73.02980926887213,8.649456123842842,83.77498889442559,44.30348399613305,62.665978858509376,41.34795489576274,44.10731638530068,11.81255405021443,15.40676338657931,52.340353587390766,55.91511582010955,41.771266969703724,97.65651543517941,65.9658172935663,36.992545040564465,244.234276312411,38.731103004370844,24.075810399147823,52.328915877162764,43.085138179199575,42.13119026188482,52.57873072778457,99.3887749216824,77.26100785681085,60.00544339296721,48.032827072815266,43.13618104914134,49.92363569406654
ENSG00000279202,1.3235381841513525,1.3014213429549584,1.2948918650110632,1.2073986801935224,1.396710786127279,1.1546949653735399,2.965083039222313,2.0912841097990165,1.320144862238995,1.2997703194573997,1.3544212139490666,1.293575152431105,3.1413042853149715,4.050791222761453,1.2957698751726503,1.3458978126081262,1.2574831349928617,1.3134515541798337,1.3015677721172056,1.26937171735645,1.3068491242869429,1.268924369813155,5.203366045232056,1.3212875742637258,1.2469652305464265,1.2447506173983252,1.2396293739266304,1.2738864071800615,1.2859928274106176,1.6214820861423087,1.3005196322251258,1.2896431526778436,1.2337751196338136
ENSG00000144320,267.2204070725959,277.8720155366316,201.69211192717023,340.8761500846843,263.1583112065458,647.3763274649481,36.80180566856924,335.84426543257297,350.5237022177488,239.90191544327502,245.95610675846152,313.3798599973918,71.50270887310694,79.81874446569168,287.26306935849493,221.93627776762548,182.09817492822697,360.2816889749012,239.8397277089892,242.39048591679222,376.21828816734853,189.60272768741214,139.48342311018482,204.18819953182984,312.9658293430725,235.36440750551702,260.35015618948296,322.02956880497175,201.8301536761804,271.4196763702005,379.7725279986157,184.5540930438654,370.8759034291523
ENSG00000248755,1.0164607869158153,1.01373060339838,1.0127465080334896,1.013128932763742,1.0135321456492257,1.0204608368142678,0.9988446238783685,1.005110845156906,1.0115976971308254,1.0096483999111991,1.0098884021230552,1.0053450838467504,1.0002606900728797,1.0012944128681147,1.0143035452599694,1.015568519578176,1.014359730544405,1.0076125344921132,1.011685551329487,1.015443904654366,1.0019764119124406,1.0109908268512187,1.007961076977706,1.0146977202754965,1.006436746011867,1.011241701757704,1.01542488157033,1.0114133295143177,1.0103241087995132,1.009529353317143,1.0113008730043396,1.0094737272723824,1.014290657701799
ENSG00000279382,276.5749492836573,334.15210051385844,321.6298771830323,184.88306385412344,326.8447958390654,153.61076849410705,64.7466806744023,307.6266394036867,375.171346728513,393.20292967343664,534.6704808892791,331.77747644393816,63.05881880364091,88.71077686518399,456.2257280632759,358.37681483653216,273.463185763096,187.64032021846472,536.745977602033,286.6043204883229,195.75014874753782,631.207500755463,198.33506413538345,500.4844217386742,287.9971900665432,225.44520222766903,557.2737883933894,181.03451697992065,477.7284854652039,550.1304897004338,545.061301406586,881.4730147541808,151.25405194772847
