Topic 1,Topic 2,Topic 3,Topic 4,Topic 5,Topic 6,Topic 7,Topic 8,Topic 9,Topic 10,Topic 11
ENSG00000211893.3,ENSG00000163586.9,ENSG00000163141.18,ENSG00000231648.1,,,,,,,
ENSG00000187116.13,ENSG00000124701.5,ENSG00000229415.9,ENSG00000162891.10,,,,,,,
ENSG00000162551.13,ENSG00000118849.9,ENSG00000116690.12,ENSG00000159184.7,,,,,,,
ENSG00000185862.6,ENSG00000091513.14,ENSG00000210144.1,ENSG00000226812.2,,,,,,,
ENSG00000211598.2,ENSG00000102109.8,ENSG00000089199.9,ENSG00000211825.1,,,,,,,
ENSG00000105374.9,ENSG00000155980.11,ENSG00000198074.9,ENSG00000229457.1,,,,,,,
ENSG00000243466.1,ENSG00000186439.12,ENSG00000119927.13,ENSG00000118702.9,,,,,,,
ENSG00000110876.9,ENSG00000182676.4,ENSG00000165409.16,ENSG00000274256.1,,,,,,,
ENSG00000283992.1,ENSG00000155657.26,ENSG00000134765.9,ENSG00000225110.2,,,,,,,
ENSG00000100365.14,ENSG00000104435.13,ENSG00000248144.5,ENSG00000268170.2,,,,,,,
ENSG00000100985.7,ENSG00000105696.8,ENSG00000163217.1,ENSG00000211691.2,,,,,,,
ENSG00000116701.14,ENSG00000185133.13,ENSG00000105695.14,ENSG00000263426.2,,,,,,,
ENSG00000143369.14,ENSG00000204544.5,ENSG00000096088.16,ENSG00000233308.1,,,,,,,
ENSG00000000938.12,ENSG00000180871.7,ENSG00000102837.6,ENSG00000171102.14,,,,,,,
ENSG00000160255.17,ENSG00000079435.9,ENSG00000105697.7,ENSG00000278912.1,,,,,,,
ENSG00000018280.16,ENSG00000112214.10,ENSG00000176153.11,ENSG00000168269.8,,,,,,,
ENSG00000185479.5,ENSG00000163216.6,ENSG00000164326.4,ENSG00000090402.7,,,,,,,
ENSG00000147454.13,ENSG00000183019.7,ENSG00000188910.7,ENSG00000241749.4,,,,,,,
ENSG00000211949.3,ENSG00000163092.19,ENSG00000176194.17,ENSG00000134193.14,,,,,,,
ENSG00000101336.13,ENSG00000197084.5,ENSG00000184925.11,ENSG00000261448.1,,,,,,,
ENSG00000143556.8,ENSG00000198417.6,ENSG00000108244.16,ENSG00000197408.8,,,,,,,
ENSG00000138100.13,ENSG00000105290.11,ENSG00000088836.12,ENSG00000184330.11,,,,,,,
ENSG00000180353.10,ENSG00000054690.13,ENSG00000121742.16,ENSG00000279305.1,,,,,,,
ENSG00000241351.3,ENSG00000012223.12,ENSG00000115386.5,ENSG00000177257.2,,,,,,,
ENSG00000059728.10,ENSG00000159455.8,ENSG00000086548.8,ENSG00000254366.6,,,,,,,
ENSG00000181458.10,ENSG00000163207.6,ENSG00000178919.8,ENSG00000170180.19,,,,,,,
ENSG00000211644.3,ENSG00000157119.11,ENSG00000079385.21,ENSG00000143595.12,,,,,,,
ENSG00000211660.3,ENSG00000121905.9,ENSG00000182333.14,ENSG00000160882.11,,,,,,,
ENSG00000130755.12,ENSG00000091138.12,ENSG00000105825.11,ENSG00000101441.4,,,,,,,
ENSG00000121316.10,ENSG00000166426.7,ENSG00000162894.11,ENSG00000159248.4,,,,,,,
ENSG00000211897.8,ENSG00000104833.11,ENSG00000008056.13,ENSG00000244468.1,,,,,,,
ENSG00000271503.5,ENSG00000046653.14,ENSG00000176956.12,ENSG00000126890.13,,,,,,,
ENSG00000196218.12,ENSG00000092295.11,ENSG00000145358.6,ENSG00000211821.2,,,,,,,
ENSG00000173110.7,ENSG00000136155.16,ENSG00000184221.12,ENSG00000184210.5,,,,,,,
ENSG00000197405.7,ENSG00000125910.5,ENSG00000132702.12,ENSG00000257935.2,,,,,,,
ENSG00000158825.5,ENSG00000260549.1,ENSG00000155850.7,ENSG00000242207.1,,,,,,,
ENSG00000242472.1,ENSG00000139970.16,ENSG00000211452.10,ENSG00000150361.11,,,,,,,
ENSG00000211772.11,ENSG00000163993.6,ENSG00000153822.13,ENSG00000234354.3,,,,,,,
ENSG00000115956.9,ENSG00000172724.11,ENSG00000124253.10,ENSG00000130720.12,,,,,,,
ENSG00000143226.13,ENSG00000236824.2,ENSG00000163735.6,ENSG00000267443.2,,,,,,,
ENSG00000277734.7,ENSG00000170423.12,ENSG00000197565.15,ENSG00000244604.1,,,,,,,
ENSG00000244437.1,ENSG00000129244.8,ENSG00000233705.6,ENSG00000276462.1,,,,,,,
ENSG00000242887.1,ENSG00000140986.7,ENSG00000091137.11,ENSG00000172482.4,,,,,,,
ENSG00000142347.16,ENSG00000166535.19,ENSG00000100427.15,ENSG00000211725.3,,,,,,,
ENSG00000160883.10,ENSG00000170465.9,ENSG00000215187.10,ENSG00000060566.13,,,,,,,
ENSG00000211653.2,ENSG00000151365.2,ENSG00000163739.4,ENSG00000126549.9,,,,,,,
ENSG00000012779.10,ENSG00000147606.8,ENSG00000181195.10,ENSG00000236116.1,,,,,,,
ENSG00000104894.11,ENSG00000074317.10,ENSG00000134028.14,ENSG00000181143.15,,,,,,,
ENSG00000115271.10,ENSG00000172551.10,ENSG00000135324.5,ENSG00000221844.2,,,,,,,
ENSG00000211892.3,ENSG00000123405.13,ENSG00000096006.11,ENSG00000254921.1,,,,,,,
ENSG00000158050.4,ENSG00000203786.6,ENSG00000108342.12,ENSG00000197901.11,,,,,,,
ENSG00000140678.16,ENSG00000213760.10,ENSG00000221946.7,ENSG00000225745.8,,,,,,,
ENSG00000115523.16,ENSG00000105649.9,ENSG00000166923.10,ENSG00000211844.1,,,,,,,
ENSG00000015285.10,ENSG00000206177.6,ENSG00000100362.12,ENSG00000224271.5,,,,,,,
ENSG00000211662.2,ENSG00000167767.13,ENSG00000205678.7,ENSG00000108417.3,,,,,,,
ENSG00000163157.14,ENSG00000057149.15,ENSG00000113739.10,ENSG00000216863.9,,,,,,,
ENSG00000278196.3,ENSG00000206075.13,ENSG00000013297.10,ENSG00000161610.1,,,,,,,
ENSG00000211673.2,ENSG00000108309.13,ENSG00000259384.6,ENSG00000280614.1,,,,,,,
ENSG00000169442.8,ENSG00000243649.8,ENSG00000185615.15,ENSG00000260943.1,,,,,,,
ENSG00000146094.13,ENSG00000111046.3,ENSG00000187094.11,ENSG00000188984.11,,,,,,,
ENSG00000211668.2,ENSG00000123975.4,ENSG00000205358.3,ENSG00000101842.13,,,,,,,
ENSG00000211663.2,ENSG00000176533.12,ENSG00000138623.9,ENSG00000161849.3,,,,,,,
ENSG00000211966.2,ENSG00000104888.9,ENSG00000187730.8,ENSG00000158748.3,,,,,,,
ENSG00000211945.2,ENSG00000174407.13,ENSG00000056998.19,ENSG00000164935.6,,,,,,,
ENSG00000151651.15,ENSG00000128656.13,ENSG00000178597.6,ENSG00000166603.4,,,,,,,
ENSG00000081237.18,ENSG00000124935.3,ENSG00000167653.4,ENSG00000248385.7,,,,,,,
ENSG00000008438.4,ENSG00000164825.3,ENSG00000078898.6,ENSG00000259383.1,,,,,,,
ENSG00000123329.17,ENSG00000175121.11,ENSG00000095713.13,ENSG00000268240.1,,,,,,,
ENSG00000211648.2,ENSG00000145920.14,ENSG00000134339.8,ENSG00000250657.1,,,,,,,
ENSG00000137462.6,ENSG00000108878.4,ENSG00000188015.9,ENSG00000138472.10,,,,,,,
ENSG00000101306.10,ENSG00000178363.4,ENSG00000179477.9,ENSG00000170054.14,,,,,,,
ENSG00000211959.2,ENSG00000137285.9,ENSG00000164089.8,ENSG00000171872.4,,,,,,,
ENSG00000100055.20,ENSG00000277632.1,ENSG00000145287.10,ENSG00000253270.1,,,,,,,
ENSG00000270550.1,ENSG00000085265.10,ENSG00000162267.12,ENSG00000277653.1,,,,,,,
ENSG00000204577.11,ENSG00000147394.18,ENSG00000204897.6,ENSG00000121335.11,,,,,,,
ENSG00000160593.18,ENSG00000184524.5,ENSG00000171819.4,ENSG00000248991.1,,,,,,,
ENSG00000274536.6,ENSG00000165953.9,ENSG00000117399.13,ENSG00000145321.12,,,,,,,
ENSG00000211956.2,ENSG00000168509.19,ENSG00000166091.19,ENSG00000225402.1,,,,,,,
ENSG00000115165.9,ENSG00000076662.9,ENSG00000139648.6,ENSG00000211866.1,,,,,,,
ENSG00000241755.1,ENSG00000209082.1,ENSG00000131747.14,ENSG00000276160.1,,,,,,,
ENSG00000214872.8,ENSG00000168913.6,ENSG00000136694.8,ENSG00000187323.11,,,,,,,
ENSG00000211938.2,ENSG00000169385.2,ENSG00000184148.3,ENSG00000225231.1,,,,,,,
ENSG00000269981.1,ENSG00000116748.21,ENSG00000212900.2,ENSG00000164651.16,,,,,,,
ENSG00000180644.7,ENSG00000143631.10,ENSG00000184012.11,ENSG00000224814.1,,,,,,,
ENSG00000169429.10,ENSG00000168878.16,ENSG00000007908.15,ENSG00000118017.3,,,,,,,
ENSG00000211934.3,ENSG00000197273.3,ENSG00000136883.13,ENSG00000222022.1,,,,,,,
ENSG00000227507.2,ENSG00000174564.12,ENSG00000170439.6,ENSG00000173080.5,,,,,,,
ENSG00000211964.3,ENSG00000167757.13,ENSG00000116983.12,ENSG00000147434.8,,,,,,,
ENSG00000196735.11,ENSG00000172020.12,ENSG00000187223.3,ENSG00000231536.1,,,,,,,
ENSG00000211751.9,ENSG00000188100.8,ENSG00000066248.14,ENSG00000271046.1,,,,,,,
ENSG00000167851.13,ENSG00000171431.3,ENSG00000167755.14,ENSG00000211834.1,,,,,,,
ENSG00000163421.8,ENSG00000110436.11,ENSG00000064886.13,ENSG00000284377.1,,,,,,,
ENSG00000105369.9,ENSG00000166920.12,ENSG00000164076.16,ENSG00000163518.10,,,,,,,
ENSG00000126759.13,ENSG00000189182.9,ENSG00000118113.11,ENSG00000276597.1,,,,,,,
ENSG00000110934.10,ENSG00000230937.11,ENSG00000102891.3,ENSG00000278661.1,,,,,,,
ENSG00000240382.3,ENSG00000248746.5,ENSG00000125869.9,ENSG00000228528.1,,,,,,,
ENSG00000211651.3,ENSG00000148377.5,ENSG00000197641.11,ENSG00000274353.1,,,,,,,
ENSG00000242371.1,ENSG00000081041.8,ENSG00000210100.1,ENSG00000250420.8,,,,,,,
ENSG00000268734.1,ENSG00000102003.10,ENSG00000088325.15,ENSG00000185962.1,,,,,,,
ENSG00000115607.9,ENSG00000283766.1,ENSG00000171848.13,ENSG00000272549.1,,,,,,,
ENSG00000102096.9,ENSG00000144834.13,ENSG00000167941.2,ENSG00000249460.1,,,,,,,
ENSG00000244482.10,ENSG00000185873.7,ENSG00000054938.15,ENSG00000226358.1,,,,,,,
ENSG00000211955.2,ENSG00000167759.12,ENSG00000113196.2,ENSG00000241003.1,,,,,,,
ENSG00000211659.2,ENSG00000204482.10,ENSG00000189377.8,ENSG00000178522.14,,,,,,,
ENSG00000168333.13,ENSG00000126262.4,ENSG00000261701.6,ENSG00000243902.6,,,,,,,
ENSG00000224373.3,ENSG00000135472.8,ENSG00000210191.1,ENSG00000244155.1,,,,,,,
ENSG00000244116.3,ENSG00000169035.11,ENSG00000156299.13,ENSG00000229515.1,,,,,,,
ENSG00000175489.9,ENSG00000275302.1,ENSG00000141682.11,ENSG00000257715.1,,,,,,,
ENSG00000184730.10,ENSG00000128383.12,ENSG00000196415.9,ENSG00000269745.1,,,,,,,
