i_doc,doc,Topic 1,Topic 2,Topic 3,Topic 4,Topic 5,Topic 6,Topic 7,Topic 8,Topic 9,Topic 10,Topic 11,Topic 12,Topic 13,Topic 14,Topic 15,Topic 16,Topic 17,Topic 18,Topic 19,Topic 20,Topic 21,Topic 22,Topic 23,Topic 24,Topic 25,Topic 26,Topic 27,Topic 28,Topic 29
904,GTEX-Y111-0226-SM-4SOIW,0.003127070343165584,0.006670219160772363,0.0017801926151245766,0.006305284695177559,0.002061726542980456,0.003555279980559366,0.00321995815378652,0.0026912987188753676,0.019176591006968852,0.00024210251301516765,0.0018240692783376559,0.022925438717833715,0.003219342198658859,0.01152672966460913,0.02996271955287317,0.001341140406774081,0.0014702160065271908,0.006032048025121108,0.002391043505309635,0.0031243641390220006,0.4835124109912339,0.002702014935648623,0.2701965390760885,0.0015716092984279766,0.00850821624436817,0.027673104006478152,0.001668783050323882,0.06984171238255214,0.0016787747893864033
905,GTEX-Y114-0006-SM-4TT76,4.669319089195209e-05,2.770776290860234e-05,0.0378626272102189,2.9067216820333912e-05,0.04010491505949308,0.0426219552015628,0.04798747860982299,0.0480050378963992,0.00048804770076832664,5.301038564272712e-06,0.03840126188278958,0.28508391176586784,0.030752189025680714,1.578580410391878e-05,0.01781075101781818,5.740796999384476e-06,0.034878543172423906,0.21008555452815597,7.852322525714712e-06,0.05775414591894216,0.00024820311056125363,0.0023788847620112266,0.00018880149282037457,0.03532197027521846,0.03457885363407779,7.6288940051881075e-06,9.675356298737575e-05,9.238948734203782e-05,0.03511194765821864
906,GTEX-Y114-1626-SM-4TT7I,0.0034456338626626996,0.011883397669365027,0.00011654910450434876,0.0019753974990438777,0.00012042988106812911,0.00015058565598065194,0.00015390467392715883,0.00013773864030303253,0.0072581770644470685,0.0001170225886428636,0.00011746802005943722,0.05000212269536511,0.050062355916573376,0.0033270450765967266,0.03491548592248285,0.00015801008074233067,0.00011342869922439758,0.0051774304851414,0.0008477414549096114,0.00016670221187416114,0.027400009833103416,0.3928661160403853,0.06247508227871961,0.00011407075268851817,0.00044003039661486454,0.08075143932842675,0.0009018832992971772,0.26468984198872453,0.0001148988791255164
907,GTEX-Y3I4-0226-SM-4TT27,0.0013154154757462938,0.0005076198465365993,0.0001004691824646924,0.0010833055972135279,0.00010807357808827756,0.00013008534424977997,0.000135182990736176,0.00012476764487016377,0.001505318535332074,0.00010450961026660019,0.00010197536880029889,0.0015825139573652557,0.0004483379924688042,0.9777353980194462,0.0009289918162688737,0.00013396294067590924,9.429178697915076e-05,0.00079791150485392,0.00034361407829668886,0.00014736173856772444,0.00022506834431331533,0.000138494792722345,0.008098271027811778,9.617589181610501e-05,0.00018463891343625593,0.002933468048787919,0.00011688609905460381,0.0006811890011854016,9.670087164514681e-05
908,GTEX-Y3I4-1426-SM-4TT9C,0.027197694641778476,0.005083181139508761,0.0002245773604211644,0.012512446915280617,0.00023224886339471169,0.0002738587099790099,0.0002863964225334613,0.00026398140461315975,0.019915640475600693,0.0009112674800701444,0.00022634994634294553,0.0537519631135707,0.03643377475436933,0.004901683159832783,0.01936122349842805,0.0026535076369812957,0.0002186643428140102,0.011552726037461809,0.0036872270906576064,0.0003094778217182775,0.09202262900307902,0.003861828585779762,0.08035689554230277,0.00021955687099457685,0.0004553793627375282,0.05271051212148287,0.002376945755523183,0.5677775900616898,0.00022077188105334582
909,GTEX-Y3IK-2626-SM-4WWDK,0.0001548450008689763,8.709433160104177e-05,3.4416167302503174e-05,3.325511071158334e-05,3.558679310387539e-05,3.8220061326094034e-05,3.768817375146283e-05,3.720781574787315e-05,0.001975651110319129,2.7578996643083267e-05,3.458356203756026e-05,0.00010256906927487878,0.0005919983550607171,3.574978529217901e-05,0.0003704641152066725,0.021028910615754237,3.350062552478937e-05,7.60679316837441e-05,0.7935007095832879,3.853771526402284e-05,0.0003182224202231766,0.18045161148287564,0.00020038235203670342,3.380425069704349e-05,6.396011992047366e-05,6.504899277817108e-05,0.0004989534510213738,5.957550608385249e-05,3.380650460131998e-05
910,GTEX-Y5LM-0003-SM-4V6G1,9.069682246146895e-06,1.067463798263813e-05,7.198161148254239e-06,8.056941102343347e-06,7.224614424924949e-06,7.298828084137915e-06,7.295054462114044e-06,7.271475605755761e-06,1.858647956913354e-05,7.917038873485708e-06,7.205603895064552e-06,1.2885731386693977e-05,0.36492522839659486,7.844324599166029e-06,0.6348167899564643,9.50508758397859e-06,7.176906176272132e-06,7.818513342439016e-06,1.1659643831663948e-05,7.3091446525616114e-06,1.8604701680373395e-05,9.56437332145351e-06,1.7206725673409605e-05,7.1859219474408e-06,8.72049932553851e-06,1.0253609491708246e-05,7.713283157586163e-06,9.546289218988468e-06,7.1883741577722245e-06
911,GTEX-Y5LM-0926-SM-6LLJG,0.004481383954558536,0.0008762541124914315,2.1362733247505885e-05,0.8518711609026233,2.210413146836461e-05,2.8016904651716034e-05,2.8053811614842164e-05,2.5282282574486928e-05,0.002484541363414403,4.9160140447124684e-05,2.147247433253566e-05,0.00382842821137999,8.490711902630715e-05,0.0007295343062075561,0.0013512815975126628,2.6808160297425085e-05,2.075041007272029e-05,0.0017369826740695753,0.00013672408897219313,2.8482317503920835e-05,0.01159202376644346,0.0002660647976924829,0.002779044296358262,2.0831860763059206e-05,4.972038227476888e-05,0.0006520610329651108,0.11274866883043809,0.0040179345564745105,2.095878012380244e-05
912,GTEX-Y5LM-2126-SM-4VDSY,0.0005994415938396861,0.0001098909312764149,6.517327226701051e-05,0.0005174416598788548,7.351786148033495e-05,0.00010405706013957809,0.00011255342563072857,9.987769790367652e-05,0.01177822434622414,4.2013074868572536e-05,6.482240473052417e-05,0.005069783975341633,0.00013093311150786066,0.0023021744552816467,0.0012484993581499846,0.38052378286688787,5.8132755110546206e-05,0.001759647817902229,0.5863251082365888,0.00011673054892714234,0.002750794456233908,0.0004835544325200077,0.0037350719314636766,5.900146871214938e-05,0.0002343667602816036,9.360430819121762e-05,0.000353872082109959,0.0011276379716186028,6.0290134931990007e-05
913,GTEX-Y5V6-0005-SM-4V6FD,3.83043511211344e-06,8.293125655514653e-06,0.06855663347031134,3.3498241873629374e-06,0.06749402508149298,0.05956837724057753,0.06621784767234219,0.0695903341464497,0.00010586341764642581,2.913965623837651e-06,0.06847912843313397,0.137891768560319,7.887691226635064e-06,4.276394215434534e-06,0.0008401366315848664,2.97185104919066e-06,0.06834617966152805,0.14604187065336732,3.0939033916015025e-06,0.0774617958911545,3.652261712469921e-05,3.456034261813831e-06,3.895382341151335e-05,0.06825051269321443,0.03430352259931289,3.627549695655717e-06,6.091618673898103e-06,7.70936521419046e-06,0.06671902564872147
