,Topic 1,Topic 2,Topic 3,Topic 4,Topic 5,Topic 6,Topic 7,Topic 8
ENSG00000163216,173.70936514018484,114.31348385914754,10.795288666393644,41767.902773302245,17.114029065598537,27.822675027446405,15.044282159568342,12.459025763965215
ENSG00000241794,1117.2274253594096,306.4520830523683,28.0308780617858,121745.68865828507,62.16687792071547,51.6503826639719,29.276372162841287,26.459121455574966
ENSG00000196805,36.89221861844501,13.861569035351907,3.483036590251169,4416.52583214819,4.4588716611626396,14.25239416640335,4.321417174421447,5.0980644223661455
ENSG00000203785,378.3376480312827,533.4437791281374,31.828222419504005,136084.8954682966,73.38908242524816,108.75258127608829,71.93750089015812,65.80511096330412
ENSG00000244094,200.5960635855921,20.872620190752038,3.00044375040156,9161.822392358357,5.1499097338802455,47.995204114096154,4.562149658212712,2.925401793306036
ENSG00000229035,48.89120746439962,21.125173868685387,2.3209751877111438,6887.930138465581,4.185704754089889,3.67664987617189,3.0068650081642776,2.926075131797474
ENSG00000159516,143.0486556622916,320.36335893754557,33.383168811177214,84535.0760516383,50.02458804722796,88.34405981977638,39.425292391361495,45.55305014655167
ENSG00000203784,128.71165595402468,27.033322757673506,2.4526180660978967,35.55151887604856,7.0811025637790905,4.175367801628066,4.9075802853135935,125.78298603477178
ENSG00000203783,53.276923335532295,22.52205492247143,2.549742566193087,6455.039635044444,3.8248782060201236,19.278925538785252,3.9608365241696237,3.386700851650671
ENSG00000203782,319.8872608216502,536.6474894838788,94.09187454753612,173942.83638959247,101.83412461702821,217.0459680339432,177.86195950672388,138.7649679580945
ENSG00000163221,610.9277966630667,457.9347452572919,34972.66034983644,2029.3822935922203,535.8028640416258,669.3970239063624,255306.82134575982,555.5259771255897
ENSG00000143546,13275.872220655476,4074.302063747799,47517.25441488991,531444.386338301,1577.7678111581854,3169.2298516066535,316165.9814681156,1590.3506374121355
ENSG00000184330,3.8958605547987877,2.5595446697960247,1.375029342461798,382.67612382679806,1.6496062633340194,1.3364029995468198,2.001437515132637,1.3979396513668354
