,Topic 1,Topic 2,Topic 3,Topic 4,Topic 5,Topic 6,Topic 7,Topic 8,Topic 9,Topic 10,Topic 11,Topic 12,Topic 13,Topic 14,Topic 15,Topic 16,Topic 17,Topic 18,Topic 19,Topic 20,Topic 21,Topic 22,Topic 23,Topic 24,Topic 25,Topic 26,Topic 27,Topic 28,Topic 29
ENSG00000166926,3.037513808484503,1.8107147525251497,1.4924552956698955,6.134725673797596,1.5599390826517685,2.233107542100786,1.933350616690149,1.9739408473594002,13.718449090439155,5.838689285364624,1.494359374286095,4.013587394206566,3.5586893308809517,27.766675029402684,3.2652988268249734,1.8796287225734003,1.3613776895115803,2.4404770126330457,3.5035885464133227,1.7594870851599833,232.49810540097272,3.6865427346679622,12.865527669872485,1.4355119593221384,3.23782391099333,1.5107101763161919,2.150148627901721,4.465374210334565,1.4615827923932896
ENSG00000166930,1.334593628519256,1.0525087692553878,1.009065907814602,1.1253091043847918,1.0156057804349419,1.0265671127188787,1.024031012980184,1.0280489656239888,11.23497990890441,1.041254378107866,1.0152274588224208,1.0373275493648257,1.262032845812536,2.7994351699629774,1.2463112849759757,1.1414516697059403,1.0102108808269479,1.0124438802274407,1.1885017062338057,1.0195822871428537,3.8435266303933666,1.103053235640735,1.5278165340346934,1.015736762196961,1.149218359570131,1.0871573199568352,1.3010452322303705,1.3317535744834024,1.0139473133981602
ENSG00000156738,30.624253499901602,6.502490590584964,27.026243070214484,7.376081808785673,30.182183705184823,28.221880956586908,33.139464874708935,22.879574825357704,7.30171150712521,11.868992058260703,21.713522960269184,104.50947021385923,3268.2744806445558,54.203573090559864,11841.341268056305,5.527997360180667,21.705939624674333,77.35468918356636,5.833992794769693,49.640330513556506,43.21249667308714,5.891139744384788,11.251361497041422,16.029953531784713,55.185756856913756,5.666901116910594,45.86035461223448,12.625929101297647,20.616249451261066
ENSG00000071203,4055.5600254951537,3.1751220663642123,1.623334058710591,3.220940660625518,1.75581764106246,1.8095613339821754,1.7668013910700502,2.000633281758494,2.5206930138814396,2.0314698216303784,1.7689968666628961,1.7718576718960204,3026.7115343752885,6.429355166737726,4.659991673559195,2.1709252376143664,2.123381072961885,2.7850890369133263,2.6982257815288113,1.6987821659242186,2.1911979317561525,3.2074870450562902,3.448444416181565,1.7132028167569082,1.972254870902949,2.3205106541319482,2.891237791271732,7.765537576136111,1.5188971220153211
ENSG00000181995,1.5638081328931497,1.1482199464473173,1.0367283436228918,1.6874885324897448,1.0511450886701421,1.0779453522593447,1.0562826125240488,1.0649887030569865,14.407857779653813,1.0244067248857331,1.0397332764315736,1.0768896422908143,1.2213494015809077,3.624179468035107,1.213662588768682,1.131950983488341,1.0356379448219932,1.0684026567514406,1.2942411910775973,1.0649250600388214,4.854129190054451,1.1888518454372252,2.5605124286092718,1.043012251056961,1.2583262880435542,1.400628553421311,1.410570463821456,1.7416911627289704,1.033667090601053
ENSG00000166959,479.3340038151491,6.090870417856122,1.153918271236251,1.5212060594446053,1.2186647542396458,1.2158867230367558,1.1594446612972753,1.2348393551182417,2.3302491093288102,2.649598268992661,1.208542715282082,1.2897866076589943,291.2796931138123,2.934013292927129,2.361224995218516,15.833990776464333,1.1775088294794356,1.2360882588877073,43.0810729651023,1.1614862603806553,1.9842597362039323,2.722195019682092,2.3596993259446974,1.1799051480430307,1.2781926290055066,14.635285200635828,1.845105484829745,3.9281054621504596,1.1671202531461078
ENSG00000214782,1.1813316226093578,1.1081267800427699,1.0102209416498027,9.183353582669675,1.0096161520241793,1.0158690324093327,1.0110775225723831,1.0116766874534402,1.3373477336187396,1.0550170404982022,1.0083685813891479,1.0417636133779828,1.1629754781541413,1.0489475054957655,1.1672854147984923,1.1370450230299258,1.0077749338678792,1.02830385775587,1.1685936356855127,1.0149383014814508,1.1367208670443467,1.1547231678118464,1.2885036342734495,1.0052831648126157,1.0336903927956522,1.283172458364064,1.0486556189132685,1.171198191050822,1.0052265001123548
ENSG00000166961,2.207672687917389,1.8660094243772136,1.0449450594483054,5.231981773379827,1.0561043242661534,1.0782560308581075,1.0582696257682078,1.069177228476869,1.805798651750091,1.859620507991784,1.0425535196846911,1.113166904581102,6.961314836646999,3.873717595060267,31.054131966846164,1.6092792482014122,1.0374254141737442,1.0676337778372926,1.775658305509113,1.0550113983122862,1.983203017332684,1.4378662166690612,2.636641700212938,1.0501070081421509,1.1519799754156712,3.3378958399747853,1.3588692653025292,1.9721894509635787,1.0526964038382731
ENSG00000172689,20.410826148934245,1.1762549539396214,1.0126569153311142,1.4372422968127283,1.0201757546150363,1.0261876086827584,1.0203112287359057,1.0272011243294585,1.2918172493159361,1.0961288394548783,1.0204020602908772,1.0694495400120594,11.228350093282963,1.7072663184325794,1.1434634037623208,1.2417211440805038,1.0260664551403256,1.035593530409729,1.2057121149932435,1.0196317250404192,2.5058108344338943,1.4532962545555774,1.6925481655763033,1.0177174807066551,1.0532937725567617,1.408880325835763,1.0621285367348285,1.5604808947061162,1.0137784565437409
ENSG00000229859,730.5969282523176,2.935487580303374,1.5458569841979115,4.038484566670149,1.6054585819313107,2.0081804056942736,1.5961805707595884,1.8615051937384601,26.008533081134754,3.335892037196443,1.506337960462925,2.177474688320721,7.780215275960329,127.55120383519993,3.784214298690896,4.761751866035881,1.4520609926382033,1.5812798990756665,6.663805455342269,1.6214697476572482,31.56130560298738,3.997615237860796,23.54996011719514,1.545160481518142,3.0478507171360323,4.510899002507268,4.753952311841638,10.649954897830181,1.5163437486416096
ENSG00000229183,220.20291334039788,1.1874043024553953,1.0150287989762854,1.0560050071245717,1.0187098905928067,1.0472157580879105,1.0332175768665561,1.0372925729366573,1.7754672906114068,1.109474977765107,1.018169770276699,1.1216120016868092,2.4695158795426257,19.62609090335351,1.311693153619159,1.0984763169968397,1.0127233399121316,1.0547946715177465,1.1869714961807536,1.0273852884089816,3.303113842648141,1.106104863479775,1.8529805369332384,1.0165667525530002,1.1700193642278711,1.2116758067497968,1.0750265183706535,1.4642300584376717,1.0141596378151656
ENSG00000256713,795.110022550447,6.636490099570033,2.0193867495364435,9.514921658136613,2.3656700418066703,3.5898883936440886,2.538927283224277,3.0113423392456236,74.36061389212274,8.790754505857924,1.8810182061414469,3.2159416109767265,22.5282731898981,231.8964047430384,7.864479314346285,7.4410198306167645,1.8711258470495598,2.300095332724932,14.777166523859773,2.221922881780703,103.32540312653009,10.6074323411106,42.7932670097395,1.9514440892407858,4.609560685289133,19.65106254441794,9.84814026492624,25.58215153481428,1.879182372121595
ENSG00000124920,399.88157799747955,3864.1116094782874,2.8994245534924743,45.31928048077794,3.410261245811714,5.13103656454683,5.021569908163181,8.266572419128357,20.505569396511596,89.20073684017507,2.8155580090956356,10.467163988853553,160.79498747025127,116.67652625551482,104.45666459930395,6.968289378129011,2.8036554782125203,4.80367792980617,8.962876399541017,3.991118335479818,1093.3392764829525,14.67223828703582,151.28311923808678,2.4854528427808336,14.365952000089813,2057.933318699223,122.29656178942352,152.63592162058129,2.7344559006981566
ENSG00000168515,2.4575177915445146,1.3621103905798642,1.0223631524775976,4.960993215196497,1.0336026156916691,1.0435492418606747,1.0273523086139067,1.0358952118595268,1.4032469196451716,1.1533881203751615,1.026711416315101,1.0482818996335088,1.2948078544174393,2.671954742734911,1.2518445926032968,1.270086999112149,1.0167394897087636,1.0213546692177935,1.3126309397402622,1.0321458805784236,2.2615724294994983,1.6084240824095137,1.587821041340113,1.0272545502224162,1.088333703076294,1.312993916344045,18.59617872431442,2.1583648730641647,1.0241730823586725
ENSG00000124935,65.10096511943335,135.3807966566948,3.813407080051865,27101.49645094962,4.90447269997547,8.401297278912326,5.139388103853536,6.239680713632699,19.98906075187779,12.939762588178654,5.760603468734579,5.614019044117764,14.169714779144046,82.64947366003261,13.01146471763701,169.6587986542562,6.229181540895121,5.291080722921159,206.31949786592045,6.147305305801653,89.40590253909443,55.38687413632557,32.02760424450018,5.6537507560364375,9.763735901547093,38.47597746917811,283.6258245481705,35.297616867017894,6.261934090998415
ENSG00000110484,106.95269652676248,19.358192844628885,3.8061391195791225,19796.93078816789,3.5290982824744472,8.789908216930776,4.810505532929331,3.7680806468009074,7.929391558920303,5.622626763403515,3.208636514403853,5.01758145693498,10.242888789822377,15.20158801280093,9.888991280564975,5.458853312195929,4.280163186241908,2.8027964939075014,13.829853572787917,5.031419220349794,41.106082565136404,21.057795061175472,21.928628904543615,3.847386053856637,5.878552170305051,6.762339329705859,415.8918761675079,22.28347703636029,4.773562489543154
ENSG00000162188,72.38624682596898,533.4603515448887,3.9859666302453642,34.78618774319321,4.7077831801372225,5.686548799239018,4.04599476485615,5.3469460133245565,24.113115927478837,10.978309286542245,4.977870891207776,14.735063732357965,71.98968390476641,40.92147163704388,9.654178648961176,12.118031760300033,3.0629695559387664,7.590011897363318,22.22205206887709,6.043208934949635,29.106194419429766,18.281921932047034,34.90333896892096,3.739329314735526,12.135260186448608,14980.176553363499,48.810342325641926,111.80463048735176,2.7612365786245485
ENSG00000197901,1.4581199274462104,91.29018762092556,1.051453138471414,1.8268153779698806,1.0639091270776073,1.074816991923154,1.0733626374433858,1.0883402611800839,1.516613542920635,1.1901814524099599,1.0568429249408695,1.1808637667308979,1.4532244660449467,2.3812120488591773,1.314648946577897,1.2858609123537375,1.0525800556105922,1.112585517107286,1.5064708615632072,1.0642822020248148,2.190504936450793,1.3128707910806077,2.127261232297721,1.0551738198069693,1.1615981626829288,120.19147019008824,2.128193317936326,2.8541924103073586,1.0430730792775469
ENSG00000149452,1.4742460440153444,28.81312341739841,1.03324698543239,1.5587029182568979,1.0394220020697882,1.0517348466727394,1.0406279881307137,1.0469470959433462,1.7973624529495098,1.3000296547505839,1.0299720380800839,1.1338077193589466,1.3803464179818614,3.0725528092075534,1.372062235263417,1.3944969730142653,1.0294597044926328,1.0674060282025428,1.6396023427505204,1.0409776666612314,2.3884904844237833,1.3528790715414227,2.8285579356733996,1.0291179817497194,1.0910401167191708,16.99357164935039,1.4867564874721488,2.53756207900505,1.0274545722638562
ENSG00000133317,10.41195579820268,6.733984213489096,27.01396645942498,39.10266551939779,40.31261822912847,98.65965742819664,55.36596740085098,41.30892340310287,8.06426742123235,22.375004756284834,26.585388301967583,74.81301285261027,25.142778708077476,843.4943172431507,21.75057971469283,11.597391057539376,18.705935007081855,26.376050528115986,14.10858143990899,38.54616806331216,6390.503514795906,20.694765298632944,38.466844489627874,23.460040612263395,150.9466902995426,4.430030373860034,8.543151171829289,11.701166854199736,25.34376759278383
ENSG00000110076,77.76268630689208,548.9290388438437,3.2137893318364426,50.2259309746334,3.59490801408185,3.6530711174076433,3.7066838714173986,3.2635711932223117,40.05930906960256,40.510847520314705,2.721598239737342,8.887373226421532,111.44284089129403,335.42013409781646,5.835917007567174,16.38444033447471,2.857593176816023,3.7247969979240896,37.249160485753386,3.605936828078643,165.2373593363671,44.02224341134024,469.87029044469114,2.5951177224702855,7.915738927216864,6767.894439566638,27.16274762170782,504.0970792454218,2.21785175727482
ENSG00000172543,88.50193093406341,30.266271443637198,1151.8105929133212,108.70109875778199,1251.1795855805256,1958.8187910295346,1119.5772678620517,928.4534122529799,25.550650840509935,53.564991837424714,1197.9456981586268,1679.7277335968479,291.290784957613,428.2476347240151,1215.890612219661,28.054451813481215,815.3190865682532,291.6994673895176,25.482629760946896,1030.9466251137933,406.1917014363179,20.082632833850884,265.05334267563336,902.2114257202039,2919.3255513669424,22.816756598770972,53.20643103367928,51.27795318200209,1456.384734069458
ENSG00000175315,73.49570137116793,76.9944271343089,9.202608207751279,59926.15980963019,11.430170129569577,14.16559683861391,9.551747064861136,12.546747897752427,55.97979012813304,81.19345284770925,12.310386984764158,19.08289353087673,68.5191455145218,3753.038761609425,18.822209575437444,28.614833734073972,14.141760748364185,10.353449419299286,61.71067380044722,13.680899025257338,137.48577090000987,75.941443658538,3697.434036885944,8.479569994932882,16.823751951053534,46.53065524430719,1841.5998691012032,235.0576978913188,11.596653946514797
ENSG00000174871,47.69184015867823,985.0010699503872,4.092416113855837,152.7864600526305,5.854562256801981,6.798241009659779,5.25312990224612,8.328129594843592,24.830145276406064,11.481149691360713,4.60534102279153,27.85662861339525,45.60247900834096,107.89286165318111,16.962005277976814,8.156715853841352,3.9789081037550003,11.234122162815824,16.087608552863063,7.306336227946605,69.1386680920616,21.20042392774129,86.32786563071923,3.8851291109956176,28.623227600047287,9443.78646433396,80.72246676528074,79.589751871844,3.595889988897171
ENSG00000248746,7.703197465134848,7.2310474144802726,4.262462297643061,11.818442080797483,6.562552068854606,4.03705609739093,4.919260029117937,6.268288441326705,52.547582815925594,5.003259300882256,3.407599103859869,5.32779968414569,14.442506844941626,55.857993386345136,17.135116013977477,2898.9707577509676,3.267888633898894,4.903486928370127,21600.29387673692,4.270651062766013,37.9741520604398,22.0881399708475,46.421184176682424,4.808635708083688,24.21250783224512,22.964945883124752,8.305512084035188,35.470557223434746,3.566266236119697
ENSG00000250105,1.6527642995325584,4.426823468902391,1.0553709423712556,3.148101693563355,1.0799069856100385,1.086939512689369,1.0801949577468188,1.106318911734955,3.4772601931001357,1.2450201354446135,1.0579333172258845,1.2841872171201758,1.7120531197319322,5.994548414701643,1.4726182432095076,14.06276216853205,1.0553771365181646,1.1273517505663542,72.82954211227188,1.0750167061316585,5.484319379190799,1.6212054183526634,5.928958969303003,1.0560620143054718,1.2499154010701967,19.35090256075031,1.9360433362910092,4.651979095791921,1.0492968521535357
