i_doc,doc,Topic 1,Topic 2,Topic 3,Topic 4,Topic 5,Topic 6,Topic 7,Topic 8
48,GTEX-11TT1-1326-SM-5PNYM,571.025,0.0105647,0.0332931,0.030206900000000002,0.0160503,331.019,98.0108,0.012999200000000002
49,GTEX-11TUW-0926-SM-5EQMW,0.0173368,0.0105647,564.599,107.435,0.0160503,290.957,0.013169899999999998,37.1089
50,GTEX-11TUW-1226-SM-5GU7C,0.0173368,19.1924,352.405,395.902,20.963,75.8975,0.013169899999999998,135.768
51,GTEX-11TUW-2026-SM-5EQL8,34.6972,30.2573,460.125,218.36,0.0160503,77.6495,0.013169899999999998,179.04
52,GTEX-11UD2-0626-SM-5GU6L,0.0173368,0.0105647,0.0332931,894.279,0.0160503,61.515,44.2742,0.012999200000000002
53,GTEX-11VI4-1526-SM-5EQKC,0.0173368,0.0105647,0.0332931,353.215,0.0160503,147.115,499.73800000000006,0.012999200000000002
54,GTEX-11VI4-1926-SM-5CVLI,1000.02,0.0105647,0.0332931,0.030206900000000002,0.0160503,0.0245798,0.013169899999999998,0.012999200000000002
55,GTEX-11WQC-2426-SM-5EQKQ,0.0173368,0.0105647,400.894,0.030206900000000002,0.0160503,321.193,0.013169899999999998,277.98400000000004
56,GTEX-11WQC-2626-SM-5CVLF,1000.02,0.0105647,0.0332931,0.030206900000000002,0.0160503,0.0245798,0.013169899999999998,0.012999200000000002
57,GTEX-11WQK-0008-SM-5SI6T,0.0173368,0.0105647,0.0332931,0.030206900000000002,0.0160503,1000.02,0.013169899999999998,0.012999200000000002
58,GTEX-11ZTS-1126-SM-5LU9X,0.0173368,0.0105647,0.0332931,1000.03,0.0160503,0.0245798,0.013169899999999998,0.012999200000000002
59,GTEX-11ZTS-2726-SM-5EQLU,0.0173368,0.0105647,573.677,276.218,0.0160503,0.0245798,0.013169899999999998,150.18200000000002
60,GTEX-11ZTT-2626-SM-5EQKK,1000.02,0.0105647,0.0332931,0.030206900000000002,0.0160503,0.0245798,0.013169899999999998,0.012999200000000002
61,GTEX-11ZU8-0005-SM-5PNU5,55.3856,944.6419999999999,0.0332931,0.030206900000000002,0.0160503,0.0245798,0.013169899999999998,0.012999200000000002
62,GTEX-11ZUS-0008-SM-5S2UO,0.0173368,0.0105647,0.0332931,0.030206900000000002,0.0160503,1000.02,0.013169899999999998,0.012999200000000002
63,GTEX-11ZVC-0011-R1b-SM-5BC6M,0.0173368,0.0105647,0.0332931,0.030206900000000002,1000.02,0.0245798,0.013169899999999998,0.012999200000000002
64,GTEX-1211K-0006-SM-5MR53,0.0173368,1000.01,0.0332931,0.030206900000000002,0.0160503,0.0245798,0.013169899999999998,0.012999200000000002
65,GTEX-1211K-1026-SM-5EQ4B,47.6158,0.0105647,851.047,0.030206900000000002,0.0160503,74.6891,26.7367,0.012999200000000002
66,GTEX-1211K-1826-SM-5EGJ2,0.0173368,0.0105647,960.8,0.030206900000000002,0.0160503,8.12097,31.15,0.012999200000000002
67,GTEX-1211K-2026-SM-5EQ4Z,0.0173368,0.0105647,0.0332931,0.030206900000000002,0.0160503,0.0245798,869.18,130.846
68,GTEX-12126-0426-SM-5Q5AP,0.0173368,0.0105647,725.7389999999999,0.030206900000000002,0.0160503,274.319,0.013169899999999998,0.012999200000000002
69,GTEX-12584-0226-SM-5EQL5,0.0173368,0.0105647,345.42699999999996,0.030206900000000002,0.0160503,433.966,0.013169899999999998,220.678
70,GTEX-12696-0008-SM-5TDBX,0.0173368,0.0105647,0.0332931,0.030206900000000002,0.0160503,1000.02,0.013169899999999998,0.012999200000000002
71,GTEX-12696-2826-SM-5FQTY,917.633,0.0105647,0.0332931,0.030206900000000002,0.0160503,0.0245798,0.013169899999999998,82.3975
72,GTEX-1269C-0005-SM-5N9CJ,0.0173368,1000.01,0.0332931,0.030206900000000002,0.0160503,0.0245798,0.013169899999999998,0.012999200000000002
