,Topic 1,Topic 2,Topic 3,Topic 4,Topic 5
ENSG00000162551.13,0.0,0.004612824205985755,0.0,0.0,0.0
ENSG00000219073.7,0.0,0.013580456275241338,0.0,0.0,0.0
ENSG00000273610.1,0.0,8.451132470427573e-05,0.0,0.0,0.0
ENSG00000201919.1,0.0,2.726774233552322e-05,0.0,0.0,0.0
ENSG00000142789.19,0.0,0.03872019411644297,0.0,0.0,0.0
ENSG00000278124.1,0.0,0.00021104485506261123,0.0,0.0,0.0
ENSG00000201273.1,0.0,7.853483323347612e-05,0.0,0.0,0.0
ENSG00000227868.5,0.00014456034376273866,0.0,0.0,0.0,0.0
ENSG00000229106.1,5.073479542445203e-06,0.0,0.0,0.0,0.0
ENSG00000158022.6,0.0,0.0,0.0,0.0,0.004294058838769432
ENSG00000131914.10,1.204105811406995e-05,0.0,0.0,0.0,0.0
ENSG00000224311.1,4.126430027855432e-06,0.0,0.0,0.0,0.0
ENSG00000142748.12,0.003952443502746511,0.0,0.0,0.0,0.0
ENSG00000000938.12,0.0,0.0038790231125866406,0.0,0.0,0.0
ENSG00000121905.9,0.003318461499122559,0.0,0.0,0.0,0.0
ENSG00000176256.10,0.0005055891480031393,0.0,0.0,0.0,0.0
ENSG00000119535.17,0.0,0.01068353880012969,0.0,0.0,0.0
ENSG00000238063.2,3.855844452258355e-06,0.0,0.0,0.0,0.0
ENSG00000188800.5,0.00021924196262753206,0.0,0.0,0.0,0.0
ENSG00000044012.3,0.0001972568846102695,0.0,0.0,0.0,0.0
ENSG00000197273.3,0.000973837486573882,0.0,0.0,0.0,0.0
ENSG00000164007.10,0.0,0.0,0.0,0.0,0.0006720250165272145
ENSG00000233708.1,5.208772330243742e-06,0.0,0.0,0.0,0.0
ENSG00000117472.9,0.0,0.0,0.0,0.0,0.0023581214524942048
ENSG00000250719.1,0.0002734943705347461,0.0,0.0,0.0,0.0
ENSG00000186118.8,0.0004539073030640975,0.0,0.0,0.0,0.0
ENSG00000187048.12,0.0,0.0,0.0,0.0031940340243506123,0.0
ENSG00000162366.7,0.0,0.0,0.0,0.0,0.0029650935423373875
ENSG00000225767.1,8.79403120690502e-06,0.0,0.0,0.0,0.0
ENSG00000272371.1,8.72638481300575e-06,0.0,0.0,0.0,0.0
ENSG00000228838.1,7.508749722818901e-06,0.0,0.0,0.0,0.0
ENSG00000226938.1,1.1161654993379447e-05,0.0,0.0,0.0,0.0
ENSG00000236253.7,9.335202358099174e-06,0.0,0.0,0.0,0.0
ENSG00000203985.10,4.376721685282729e-05,0.0,0.0,0.0,0.0
ENSG00000162391.11,0.0,0.0,0.0,0.0014340560925655812,0.0
ENSG00000230250.2,6.358761026531322e-06,0.0,0.0,0.0,0.0
ENSG00000233079.1,4.3293692095532404e-06,0.0,0.0,0.0,0.0
ENSG00000157131.10,0.00022810364022833634,0.0,0.0,0.0,0.0
ENSG00000021852.12,0.0002745767128371344,0.0,0.0,0.0,0.0
ENSG00000223920.2,1.0011666297091868e-05,0.0,0.0,0.0,0.0
ENSG00000132855.4,0.00013177517531577675,0.0,0.0,0.0,0.0
ENSG00000278967.1,0.0,0.0,0.0,0.00011619822093910836,0.0
ENSG00000224209.7,7.373456935020363e-06,0.0,0.0,0.0,0.0
ENSG00000223949.6,7.035224965524015e-06,0.0,0.0,0.0,0.0
ENSG00000203963.11,9.876373509293329e-06,0.0,0.0,0.0,0.0
ENSG00000235200.2,0.0,0.0,0.0,0.000375046290348179,0.0
ENSG00000237919.5,8.658738419106481e-06,0.0,0.0,0.0,0.0
