,Topic 1,Topic 2,Topic 3,Topic 4,Topic 5,Topic 6,Topic 7,Topic 8
ENSG00000160161,4.735528789055332e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000276523,0.000356240915722117,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000177144,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000212933,0.0,0.0,0.0,0.0,0.0,0.00012903329865563432,0.0,0.0
ENSG00000279041,0.0,0.0,0.0015938931518679246,0.0,0.0,0.0,0.0,0.0
ENSG00000259620,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000201695,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000276696,0.0,0.0,0.0,0.0,1.3643684251472648e-05,0.0,0.0,0.0
ENSG00000253669,0.0,0.0,0.0,0.0,1.6256304640052515e-05,0.0,0.0,0.0
ENSG00000265939,1.5175217255836405e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000164323,0.0,0.0,0.0,0.0,0.001229479802122067,0.0,0.0,0.0
ENSG00000244514,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000228930,0.0,0.0,6.030621081603952e-07,0.0,0.0,0.0,0.0,0.0
ENSG00000244061,1.6143848144506814e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000233575,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000204991,0.0,0.0,0.0,0.001955035706519553,0.0,0.0,0.0,0.0
ENSG00000031003,0.0,0.0,0.0,0.0,0.0015751198031593741,0.0,0.0,0.0
ENSG00000160117,0.0,0.0,0.0,0.0005158768352967718,0.0,0.0,0.0,0.0
ENSG00000248452,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000164736,0.0,0.009592910620320722,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000213214,0.0,0.0,0.0,0.0011590677957901802,0.0,0.0,0.0,0.0
ENSG00000272990,0.0006328388472646671,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000227051,0.0,0.0,0.0,0.0081537058340934,0.0,0.0,0.0,0.0
ENSG00000168303,0.0,0.0,0.0,0.0,0.0004224703932051743,0.0,0.0,0.0
ENSG00000266378,3.766897900384923e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000275437,0.0,0.0002743509942879998,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000232287,0.0,0.0,0.0,6.467557559989143e-05,0.0,0.0,0.0,0.0
ENSG00000230932,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000245552,0.0,0.00014373742297548963,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000159625,0.0,0.0,0.0,7.486070561562235e-05,0.0,0.0,0.0,0.0
ENSG00000273888,0.0,0.0,0.0,0.00011661973868011919,0.0,0.0,0.0,0.0
ENSG00000254112,8.610052343736967e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000267620,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000218475,0.0,1.8748359518542127e-06,0.0,0.0,0.0,0.0,0.0,0.0
