i_doc,doc,Topic 1,Topic 2,Topic 3,Topic 4,Topic 5,Topic 6,Topic 7,Topic 8
11,GTEX-1128S-0005-SM-5P9HI,0.06858888400482965,0.0025928790416362957,0.0008457459534951008,0.042470913572553316,0.04230399002910034,0.00021700060648887455,0.0,0.8429805867918965
12,GTEX-113IC-0006-SM-5NQ9C,0.13179173354735152,0.009259630818619583,0.002277287319422151,0.08946629213483145,0.12658507223113966,0.00036115569823434994,0.0,0.6402588282504013
13,GTEX-117YX-1226-SM-5H11S,0.27123135552583094,0.052797617545365064,0.2954092320117104,0.020796002321883753,0.3585543749842263,0.0010095146758195997,0.0,0.00020190293516391994
14,GTEX-117YX-2326-SM-5H12W,0.3014815366289458,0.02910958904109589,0.11911852293031566,0.07757593805836807,0.4314696247766528,0.03945801072066706,0.0,0.001786777843954735
15,GTEX-11DXX-2726-SM-5PNXO,0.35734373242341294,0.1012036446810904,0.2561025910232855,0.023585436274325997,0.26112715137425474,0.00044996062844501105,0.0,0.00018748359518542127
16,GTEX-11DXY-0006-SM-5NQ8N,0.058698029895891006,0.001350311246742374,0.0004591058238924072,0.040273032934091305,0.03624235386256532,0.00010802489973938993,0.0,0.8628691413370781
17,GTEX-11DXY-0826-SM-5EGGR,0.3286843328684333,0.16689911668991167,0.15132496513249652,0.022315202231520222,0.2717340771734077,0.0,0.0,0.05904230590423059
18,GTEX-11DXZ-2426-SM-5N9DT,0.220113915944862,0.031040409827777966,0.5418084998820397,0.008055003201779515,0.1979036769910013,0.0008762764989383574,0.0,0.0002022176536011594
19,GTEX-11DYG-0011-R5a-SM-DO928,0.2916165448320533,0.049088553715184606,0.11659109836217267,0.20764319422596464,0.30221152956417136,0.030165633385768484,0.0,0.0026834459146849263
20,GTEX-11DYG-1326-SM-5N9DO,0.31682872508012383,0.033000162963767725,0.08821771959367701,0.1171709489923407,0.4263132163615623,0.012167961323265794,0.0,0.006301265685262643
21,GTEX-11DZ1-0011-R8b-SM-DNZZI,0.3265010971474167,0.0362557350887692,0.13260522641133055,0.1270197486535009,0.34624975064831437,0.027378815080789945,0.0,0.003989626969878316
22,GTEX-11EI6-0726-SM-59866,0.277356637863315,0.05341712490180676,0.2801453260015711,0.025098193244304793,0.33595836606441476,0.0011979575805184603,0.0,0.026826394344069127
23,GTEX-11EM3-0001-SM-5Q5BD,0.3036014713849839,0.031024551598277682,0.009609626735863583,0.12874618609027916,0.5112207362627962,0.015797427927799482,0.0,0.0
24,GTEX-11EMC-0011-R8b-SM-DO91Z,0.2727351538794972,0.017771998266146512,0.09900303424360642,0.3182488079757261,0.24187256176853056,0.017338534893801473,0.0,0.033029908972691806
25,GTEX-11EMC-0926-SM-59863,0.2826822441280273,0.06479250334672021,0.22509431666058172,0.02640866496288183,0.3415115005476451,0.0004137763173907752,0.007472313496409882,0.05162468054034319
26,GTEX-11EMC-2226-SM-5A5JW,0.3267077267637178,0.01797934552693791,0.06351872589274606,0.10753390568620132,0.426247355978599,0.03172825681224337,0.0,0.02628468333955456
27,GTEX-11EQ8-0006-SM-5P9HJ,0.06642922025147009,0.010669152682825771,0.0006454080413061147,0.02635017768641137,0.0335213781453682,0.0002231040142786569,0.0,0.8621615591783398
28,GTEX-11EQ9-1426-SM-5987G,0.26484395004125294,0.03041338302654414,0.35400722637912885,0.024495718228114596,0.32476030612535206,0.0013371646419528293,0.0,0.00014225155765455633
29,GTEX-11GS4-0226-SM-5HL77,0.3129894135439422,0.032263485128549825,0.10465467988573349,0.0986052764241304,0.39973113762392876,0.05078138128045707,0.0,0.0009746261132582759
30,GTEX-11GS4-0526-SM-5A5KQ,0.3845651464025253,0.17241754653314467,0.14226624578208338,0.023293784695765755,0.24687057799063894,0.00021769892239033417,0.0,0.030368999673451618
31,GTEX-11GS4-2926-SM-5A5LF,0.2893853305785124,0.050387396694214874,0.30986570247933887,0.030423553719008265,0.30643078512396693,0.0003615702479338843,0.00640495867768595,0.006740702479338843
32,GTEX-11GSP-0011-R1a-SM-9QEJ3,0.32269747112082425,0.03384327193256322,0.14748673118950983,0.14205432407118326,0.31595379331876366,0.031595379331876366,0.0,0.006369029035279425
33,GTEX-11GSP-0011-R5a-SM-57WBE,0.328692097041694,0.053419215489644,0.13090600532263663,0.16145331121996376,0.29374783044702435,0.028425965210012727,0.0,0.003355575269024569
