i_doc,doc,Topic 1,Topic 2,Topic 3,Topic 4,Topic 5,Topic 6,Topic 7,Topic 8,Topic 9,Topic 10,Topic 11,Topic 12,Topic 13,Topic 14,Topic 15,Topic 16,Topic 17,Topic 18,Topic 19,Topic 20,Topic 21,Topic 22,Topic 23,Topic 24,Topic 25,Topic 26,Topic 27,Topic 28,Topic 29,Topic 30,Topic 31,Topic 32,Topic 33,Topic 34,Topic 35,Topic 36,Topic 37,Topic 38,Topic 39
970,GTEX-1JJ6O-1626-SM-CM2RM,0.0575539568345,0.0989208633094,0.011690647482,0.192895683453,0.00809352517986,0.184352517986,0.00224820143885,0.189298561151,0.00584532374101,0.0152877697842,0.0692446043165,0.0197841726619,0.00269784172662,0.00044964028777,0.0,0.00044964028777,0.0400179856115,0.00719424460432,0.00404676258993,0.00719424460432,0.00764388489209,0.0,0.0251798561151,0.0,0.0,0.0,0.00179856115108,0.0,0.00044964028777,0.0,0.00089928057554,0.00089928057554,0.0,0.00044964028777,0.00089928057554,0.0,0.0445143884892,0.0,0.0
971,GTEX-ZC5H-1326-SM-5HL7E,0.00233987509681,0.00186201328126,0.000675597739219,0.00522352398372,0.0,0.000593207771022,1.64779936395e-05,0.000807421688335,0.702292088915,0.000296603885511,0.0126550991151,0.120717781403,0.0,0.000428427834627,0.0175325852324,1.64779936395e-05,0.000362515860069,0.00214213917313,0.0478685715227,0.000378993853708,8.23899681975e-05,4.94339809185e-05,0.0383607691927,0.00173018933215,0.0,0.0,1.64779936395e-05,6.5911974558e-05,0.0385749831101,6.5911974558e-05,0.000131823949116,0.0,0.00153245340847,0.0,3.2955987279e-05,3.2955987279e-05,0.000444905828266,1.64779936395e-05,0.00265295697596
972,GTEX-13CF3-1226-SM-5LZXN,0.00710397547507,0.00390079981135,0.0540020044412,0.453455695954,9.82569222002e-06,0.00119873445084,0.000294770766601,0.000520761687661,0.000589541533201,0.257865466622,0.0706762041386,0.01965138444,6.87798455401e-05,0.00026529368994,0.0114076286674,0.00232868905614,0.00903963684242,0.00596419517755,0.0187670721402,0.0302533063454,6.87798455401e-05,9.82569222002e-05,0.00016703676774,9.82569222002e-06,0.0,0.00537465364435,0.0205848252009,7.86055377601e-05,0.000756578300941,0.000353724919921,1.965138444e-05,0.0096193526834,0.0,0.0,0.0134808497259,1.965138444e-05,0.00198478982844,1.965138444e-05,0.0
973,GTEX-Y3IK-0826-SM-51MT8,0.0110097417659,0.00290706664605,0.00463893613731,0.00692747796505,0.191340652544,0.000247409927323,0.000525746095562,0.753517859904,0.000927787227463,0.000711303541055,0.00176279573218,0.00034018865007,0.000216483686408,0.0,3.09262409154e-05,0.000154631204577,0.00470078861914,0.000247409927323,9.27787227463e-05,0.000123704963662,0.0148445956394,0.0,0.000958713468378,0.0,0.0,0.0,0.000123704963662,0.00105149219112,9.27787227463e-05,0.0,6.18524818308e-05,6.18524818308e-05,0.0,0.000123704963662,3.09262409154e-05,0.0,0.00222668934591,0.0,0.0
974,GTEX-T6MO-1526-SM-4DM57,0.0438356164384,0.0582191780822,0.016095890411,0.237328767123,0.00445205479452,0.134931506849,0.00239726027397,0.158219178082,0.011301369863,0.0106164383562,0.0448630136986,0.0222602739726,0.0027397260274,0.0,0.0,0.000342465753425,0.0400684931507,0.0154109589041,0.0041095890411,0.000684931506849,0.000684931506849,0.0,0.0229452054795,0.000342465753425,0.0,0.0,0.000342465753425,0.0,0.000342465753425,0.0013698630137,0.140068493151,0.0,0.0,0.000342465753425,0.0,0.0,0.0256849315068,0.0,0.0
975,GTEX-1HBPM-0011-R9b-SM-ARL7C,0.00435575364668,0.452897082658,0.00465964343598,0.0858995137763,0.0,0.000709076175041,0.00303889789303,0.00891410048622,0.00121555915721,0.00192463533225,0.0102309562399,0.00395056726094,0.000607779578606,0.000607779578606,0.000202593192869,0.0,0.308448136143,0.0659440842788,0.00212722852512,0.0,0.000303889789303,0.0,0.00182333873582,0.0,0.000303889789303,0.00273500810373,0.00253241491086,0.0,0.0,0.0,0.000506482982172,0.000101296596434,0.000709076175041,0.0,0.0,0.0,0.0067868719611,0.0,0.0284643435981
976,GTEX-13VXU-0126-SM-5SI9F,0.00199829205807,0.00192997438087,0.000905209222886,0.00372331340734,0.0,0.00479931682323,0.000102476515798,0.00244235695986,0.270025619129,0.000409906063194,0.00152006831768,0.0298377455167,1.70794192997e-05,8.53970964987e-05,0.000341588385995,0.0,0.000631938514091,0.000529461998292,0.00913748932536,0.000153714773698,0.000307429547395,0.000324508966695,0.633031596926,0.0228864218617,0.0,0.0,0.0,0.0,0.00865926558497,0.00220324508967,0.000324508966695,0.0,0.0,1.70794192997e-05,0.000204953031597,1.70794192997e-05,0.00341588385995,0.0,1.70794192997e-05
977,GTEX-1H1DG-0126-SM-9WYU2,0.00314657399145,0.00245777172467,0.000641838475868,0.00443025094319,0.0,0.00231688035192,3.13091939448e-05,0.0036318664976,0.351007373315,0.000469637909172,0.00187855163669,0.0331720909845,1.56545969724e-05,1.56545969724e-05,0.000109582178807,0.0,0.000344401133393,0.000767075251648,0.00807777203776,0.000187855163669,0.000610529281924,0.000109582178807,0.534119194101,0.0221669093129,0.0,0.0,1.56545969724e-05,0.0,0.0201631209005,0.00583916467071,0.000360055730365,0.0,0.0,0.0,0.000125236775779,0.0,0.00378841246732,0.0,0.0
978,GTEX-1OKEX-0626-SM-E76PZ,0.0858519491897,0.0284713096802,0.00289093298292,0.634778799825,0.00280332895313,0.0126149802891,0.000175208059571,0.0855015330705,0.00630749014455,0.00148926850635,0.0708716600964,0.00166447656592,8.76040297854e-05,0.0,0.0,8.76040297854e-05,0.0145422689444,0.00105124835742,0.000963644327639,0.00385457731056,0.00727113447219,0.0,0.0065703022339,8.76040297854e-05,0.0,0.0,8.76040297854e-05,0.0,0.0,0.0,0.00254051686378,0.000262812089356,0.0,0.000876040297854,0.0,0.0,0.0282961016207,0.0,0.0
979,GTEX-YB5E-0926-SM-4WWDQ,0.00559824822343,0.00192117005454,0.000309866137828,0.0168980333829,0.0,0.000227235167741,2.06577425219e-05,0.000619732275657,0.701557593786,0.000516443563047,0.0255329697571,0.0935382581392,6.19732275657e-05,0.000247892910263,0.00720955214014,0.0,0.000392497107916,0.000578416790613,0.0353247397124,0.000970913898529,0.000144604197653,0.000185919682697,0.034870269377,0.00033052388035,0.0,0.0,2.06577425219e-05,0.00033052388035,0.070298297802,0.000123946455131,0.000165261940175,0.0,0.00105354486862,0.0,0.000289208395307,2.06577425219e-05,0.00033052388035,0.0,0.000309866137828
980,GTEX-QDVJ-0008-SM-48U2E,0.0556728738721,0.0522173161835,0.00787099251296,0.0410827414091,0.000575926281436,0.37051257439,0.0101746976387,0.0374352082933,0.0222691495489,0.00556728738721,0.257439047802,0.00691111537723,0.000191975427145,0.0,0.0,0.000959877135727,0.00345555768862,0.00287963140718,0.00153580341716,0.00249568055289,0.0773660971396,0.000191975427145,0.0190055672874,0.0,0.0,0.0,0.00825494336725,0.0,0.0,0.000191975427145,0.000767901708581,0.00191975427145,0.0,0.0117105010559,0.000575926281436,0.0,0.000767901708581,0.0,0.0
981,GTEX-14BMU-0226-SM-5S2QA,0.00287702899643,0.00363083572039,0.00143223277552,0.737235539474,1.25634453993e-05,0.000263832353385,2.51268907985e-05,0.00185938991909,0.00105532941354,0.0392858937635,0.150057791849,0.00309060756822,2.51268907985e-05,3.76903361978e-05,0.00258806975225,1.25634453993e-05,0.00115583697673,0.0017086285743,0.0121739785919,0.0309437660184,2.51268907985e-05,0.000439720588974,0.000577918488366,0.0,1.25634453993e-05,0.00355545504799,0.00247499874366,2.51268907985e-05,0.000226142017187,3.76903361978e-05,1.25634453993e-05,0.000188451680989,5.02537815971e-05,0.0,0.000866877732549,0.00017588823559,0.00185938991909,0.0,0.0
982,GTEX-XGQ4-0926-SM-4AT4U,0.540685616689,0.0517262413078,0.00622178845919,0.0901549347322,0.0,0.00939368061486,0.000243991704282,0.0132975478834,0.00536781749421,0.00768573868488,0.0403806270587,0.00402586312065,0.00280590459924,0.0,0.0,0.000121995852141,0.0469684030743,0.00292790045138,0.00134195437355,0.00182993778212,0.142491155301,0.0,0.00597779675491,0.000121995852141,0.0,0.0,0.000121995852141,0.0,0.000365987556423,0.0,0.0,0.0,0.0,0.000121995852141,0.0,0.0,0.0256191289496,0.0,0.0
983,GTEX-1HUB1-2926-SM-ACKXA,0.021666236781,0.202734072737,0.0167655403663,0.024761413464,0.00025793139025,0.001031725561,0.0570028372453,0.0304359040495,0.00386897085375,0.00283724529275,0.0056744905855,0.006190353366,0.120196027857,0.00283724529275,0.0,0.001031725561,0.368841888058,0.0946608202218,0.00644828475625,0.0,0.0036110394635,0.00025793139025,0.00670621614651,0.00025793139025,0.0,0.00025793139025,0.0105751870003,0.0,0.0005158627805,0.0,0.002063451122,0.0,0.00025793139025,0.0,0.0005158627805,0.0,0.00180551973175,0.0,0.00593242197575
984,GTEX-1EU9M-1626-SM-7EWF2,0.000225401570693,0.019455714523,0.825835765298,0.00237264811256,0.000142358886754,0.000124564025909,0.0463971338411,0.00247348565734,0.00235485325171,0.000711794433768,0.0012752983605,0.000931264384179,0.00427669822289,0.0150781787553,7.11794433768e-05,0.00450803141386,0.0250373692078,0.0365743706551,0.00478088594681,5.9316202814e-05,0.000616888509265,0.000231333190974,0.000462666381949,0.000225401570693,0.000284717773507,0.00203454575652,0.000925332763898,4.15213419698e-05,1.18632405628e-05,0.000130495646191,0.00033810235604,4.74529622512e-05,0.000142358886754,5.33845825326e-05,0.000729589294612,0.000800768737988,0.000154222127316,7.11794433768e-05,1.18632405628e-05
