i_doc,doc,Topic 1,Topic 2,Topic 3,Topic 4,Topic 5
65,GTEX-1EH9U-3226-SM-7MKGR,0.88594746333,0.0158762618282,0.00163596140618,0.0868732687624,0.0096670446729
66,GTEX-1B97J-1226-SM-7PBZR,0.046476382925,0.0042308663804,0.209491033089,0.000789340742612,0.739012376863
67,GTEX-148VJ-0011-R3b-SM-69LQJ,0.718129404228,0.0512491992313,0.146060217809,0.0480461242793,0.0365150544523
68,GTEX-13NYB-0926-SM-5IFFA,0.0591942292067,0.016646519094,0.0254255761876,0.000871960523969,0.897861714988
69,GTEX-13SLX-2226-SM-62LEP,0.0235760827116,0.00612525950135,0.0358882654005,0.000369982117531,0.934040410269
70,GTEX-T6MO-0526-SM-4DM6R,0.096035809963,0.0237885313168,0.0495269422497,0.00161077011767,0.829037946353
71,GTEX-13OVK-0826-SM-7KULZ,0.255551666472,0.706121417182,0.0158091237895,0.0156730058725,0.00684478668378
72,GTEX-WHSB-0326-SM-5FQSD,0.911048492792,0.0568545216252,0.0086369593709,0.0151376146789,0.00832241153342
73,GTEX-12WSD-2326-SM-59HKQ,0.92017227974,0.0364201825101,0.00667021320129,0.0249826083398,0.011754716209
74,GTEX-1QCLZ-2326-SM-DTXDO,0.548634763032,0.118974773423,0.112971194366,0.00242452231138,0.216994746868
75,GTEX-1CAMR-1526-SM-79OLP,0.824958692317,0.00736161926118,0.00418977929895,0.153605570636,0.00988433848696
76,GTEX-1128S-2826-SM-5N9DI,0.826112642773,0.019200472627,0.0102402520677,0.120421425758,0.0240252067743
77,GTEX-1GF9W-2626-SM-7P8TA,0.841822687225,0.0262940528634,0.00702092511013,0.079295154185,0.0455671806167
78,GTEX-XXEK-0326-SM-4BRVV,0.0626537717602,0.0132611218569,0.0168820116054,0.00445647969052,0.902746615087
79,GTEX-1HB9E-2926-SM-D4P3S,0.76954069299,0.133360193392,0.00423045930701,0.0626510878324,0.0302175664786
80,GTEX-1JKYR-2126-SM-CNNPC,0.0684508024065,0.0213217354408,0.0457803573323,0.00634954310567,0.858097561715
81,GTEX-1HBPH-0011-R8b-SM-CL556,0.949763438034,0.0189249572874,0.00203706137469,0.0204363254041,0.00883821789986
82,GTEX-1HBPH-0326-SM-CM2S8,0.357728337237,0.182084309133,0.114168618267,0.0038056206089,0.342213114754
83,GTEX-ZF29-0726-SM-DO92H,0.51049468331,0.425335182617,0.00429958391123,0.0316227461859,0.028247803976
84,GTEX-12ZZX-0626-SM-5EQ46,0.235107376284,0.0980392156863,0.0634920634921,0.00186741363212,0.601493930906
85,GTEX-ZE7O-3026-SM-51MS4,0.306745445593,0.15952732644,0.23239783358,0.00837026095519,0.292959133432
86,GTEX-1K9T9-1726-SM-CXZK1,0.0647145348989,0.905987217203,0.00044258155216,0.0266883184504,0.00216734789513
87,GTEX-1HFI7-2026-SM-CGQFR,0.467064207461,0.162252114825,0.306614893912,0.00152544723339,0.0625433365691
88,GTEX-1JK1U-2026-SM-CM2RZ,0.0248563293682,0.0163670981153,0.061625530577,0.00076857237681,0.896382469563
89,GTEX-1R46S-0726-SM-E9J42,0.244722719141,0.31252236136,0.0611806797853,0.00679785330948,0.374776386404
90,GTEX-14E1K-1626-SM-664MO,0.289321050836,0.0825656772433,0.525417946093,0.00955305356534,0.093142272262
91,GTEX-S341-1126-SM-4AD6T,0.238195664909,0.617457527827,0.0398359695372,0.00234329232572,0.102167545401
92,GTEX-1399R-0006-SM-5N9FR,0.25626052963,0.715973960122,0.000981402424064,0.0155470500679,0.0112370577555
93,GTEX-1EN7A-0011-R3a-SM-9OSVT,0.820813232254,0.0447966919366,0.0103376981392,0.0744314266023,0.0496209510682
94,GTEX-S3XE-0126-SM-4AD4R,0.836651896185,0.0176094838004,0.0018415146458,0.13768199344,0.00621511192956
95,GTEX-131XF-0426-SM-5HL7U,0.0259707322022,0.00603616627355,0.10068731137,0.000481878820158,0.866823911334
