"","x"
"GTEX-11DXW-0626-SM-5N9ER",21
"GTEX-11DXW-0726-SM-5H12J",24
"GTEX-11DXW-0826-SM-5H118",8
"GTEX-11DXW-1026-SM-5H11K",10
"GTEX-11DXW-1126-SM-5H12Q",10
"GTEX-11DXW-1226-SM-5H133",59
"GTEX-11DXX-0005-SM-5NQ8B",38
"GTEX-11DXX-0008-SM-5Q5B8",32
"GTEX-11DXX-0126-SM-5EGH7",57
"GTEX-11DXX-0226-SM-5P9HL",4
"GTEX-11DXX-0326-SM-5PNWC",28
"GTEX-11DXX-0426-SM-5EQ5F",76
"GTEX-11DXX-0526-SM-5PNVR",27
"GTEX-11DXX-0626-SM-5Q5AG",19
"GTEX-11DXX-0726-SM-5H12X",44
"GTEX-11DXX-0826-SM-5GZZP",49
"GTEX-11DXX-0926-SM-5H112",14
"GTEX-11DXX-1026-SM-5H11E",11
"GTEX-11DXX-1126-SM-5GZZK",16
"GTEX-11DXX-1226-SM-5GICD",11
"GTEX-11DXX-1326-SM-5GIDZ",18
"GTEX-11DXX-1426-SM-5GIDU",35
"GTEX-11DXX-1526-SM-5H115",11
"GTEX-11DXX-1626-SM-5H11H",40
"GTEX-11DXX-1726-SM-5H11T",77
"GTEX-11DXX-1826-SM-5H126",22
"GTEX-11DXX-1926-SM-5EGJK",11
"GTEX-11DXX-2026-SM-5EGJL",4
"GTEX-11DXX-2126-SM-5PNYR",8
"GTEX-11DXX-2326-SM-9YFKS",4
"GTEX-11DXX-2426-SM-5GZZW",8
"GTEX-11DXX-2526-SM-5H119",4
"GTEX-11DXX-2626-SM-5Q5A3",11
"GTEX-11DXX-2726-SM-5PNXO",24
"GTEX-11DXY-0006-SM-5NQ8N",78
"GTEX-11DXY-0008-SM-5QGR4",32
"GTEX-11DXY-0011-R10b-SM-DO12C",10
"GTEX-11DXY-0011-R11a-SM-DNZZN",10
"GTEX-11DXY-0011-R5b-SM-DNZZL",10
"GTEX-11DXY-0011-R6a-SM-DNZZF",10
"GTEX-11DXY-0011-R7a-SM-DO11L",10
"GTEX-11DXY-0011-R8a-SM-DO11M",10
"GTEX-11DXY-0126-SM-5H11Q",8
"GTEX-11DXY-0226-SM-5H123",79
"GTEX-11DXY-0326-SM-5H12F",49
"GTEX-11DXY-0426-SM-5H12R",49
"GTEX-11DXY-0526-SM-5EGGQ",80
"GTEX-11DXY-0826-SM-5EGGR",81
"GTEX-11DXY-1026-SM-5987V",27
"GTEX-11DXY-1126-SM-5987W",4
"GTEX-11DXY-1326-SM-5987Z",11
"GTEX-11DXY-1426-SM-5N9CN",8
"GTEX-11DXY-1526-SM-5H129",11
"GTEX-11DXY-1626-SM-5H12L",11
"GTEX-11DXY-2026-SM-5N9CZ",11
"GTEX-11DXY-2326-SM-5GICW",11
"GTEX-11DXY-2626-SM-5GIE7",8
"GTEX-11DXY-2726-SM-5GID2",24
"GTEX-11DXY-3026-SM-5N9CB",59
"GTEX-11DXY-3126-SM-5N9BT",10
"GTEX-11DXY-3226-SM-5GIDE",10
"GTEX-11DXZ-0006-SM-5LZZH",38
"GTEX-11DXZ-0126-SM-5EGGY",82
"GTEX-11DXZ-0226-SM-5EGGZ",11
"GTEX-11DXZ-0326-SM-5EGH1",83
"GTEX-11DXZ-0426-SM-5987Y",4
"GTEX-11DXZ-0526-SM-5GU7J",84
"GTEX-11DXZ-0626-SM-5GU77",28
"GTEX-11DXZ-0726-SM-5N9C4",39
"GTEX-11DXZ-0926-SM-5N9CG",52
"GTEX-11DXZ-1026-SM-5N9D5",11
"GTEX-11DXZ-1226-SM-5H11L",7
"GTEX-11DXZ-1326-SM-5H11X",40
"GTEX-11DXZ-1426-SM-5H12A",4
"GTEX-11DXZ-1626-SM-5GIDI",11
"GTEX-11DXZ-1726-SM-5H12M",40
"GTEX-11DXZ-1826-SM-5H12Y",85
"GTEX-11DXZ-1926-SM-5GZZL",11
"GTEX-11DXZ-2026-SM-5987S",8
"GTEX-11DXZ-2126-SM-59881",23
"GTEX-11DXZ-2326-SM-5EGGV",86
"GTEX-11DXZ-2426-SM-5N9DT",24
"GTEX-11DXZ-2526-SM-5N9BG",4
"GTEX-11DXZ-2626-SM-59882",11
"GTEX-11DYG-0006-SM-5NQB2",60
"GTEX-11DYG-0008-SM-5QGR5",32
"GTEX-11DYG-0011-R10b-SM-DNZZO",10
"GTEX-11DYG-0011-R11a-SM-DNZZP",10
"GTEX-11DYG-0011-R5a-SM-DO928",10
"GTEX-11DYG-0011-R6a-SM-DO936",10
"GTEX-11DYG-0011-R7b-SM-EXUS6",10
"GTEX-11DYG-0011-R8a-SM-DO93F",10
"GTEX-11DYG-0126-SM-59883",34
"GTEX-11DYG-0426-SM-5987J",87
"GTEX-11DYG-0826-SM-5N9GH",4
"GTEX-11DYG-0926-SM-5EGGW",72
"GTEX-11DYG-1026-SM-5A5JQ",27
"GTEX-11DYG-1226-SM-5N9DC",52
"GTEX-11DYG-1326-SM-5N9DO",88
"GTEX-11DYG-1426-SM-5A5JR",11
"GTEX-11DYG-1526-SM-5A5JS",8
"GTEX-11DYG-1926-SM-5H12I",89
"GTEX-11DYG-2026-SM-5EGGX",3
"GTEX-11DYG-2526-SM-5N9BB",21
"GTEX-11DYG-2926-SM-5H132",10
"GTEX-11DYG-3126-SM-5A5L6",59
"GTEX-11DZ1-0008-SM-5QGR3",32
"GTEX-11DZ1-0011-R10b-SM-DO943",10
"GTEX-11DZ1-0011-R11b-SM-DO11W",10
"GTEX-11DZ1-0011-R2a-SM-DNZZM",10
"GTEX-11DZ1-0011-R3a-SM-DNZYY",10
"GTEX-11DZ1-0011-R5a-SM-DO11J",10
"GTEX-11DZ1-0011-R6b-SM-DNZZG",90
"GTEX-11DZ1-0011-R7a-SM-DNZZH",10
"GTEX-11DZ1-0011-R8b-SM-DNZZI",10
"GTEX-11DZ1-0011-R9a-SM-DO933",91
"GTEX-11DZ1-0126-SM-5985Q",8
"GTEX-11DZ1-0226-SM-5A5KF",4
"GTEX-11DZ1-0326-SM-5N9BN",4
"GTEX-11DZ1-0426-SM-5H11A",39
"GTEX-11DZ1-0926-SM-5EQ5R",24
"GTEX-11DZ1-2026-SM-5A5KG",88
"GTEX-11DZ1-2426-SM-5GZZX",8
"GTEX-11DZ1-2726-SM-5A5KH",4
"GTEX-11DZ1-2926-SM-5A5KI",92
"GTEX-11EI6-0005-SM-5N9GN",47
"GTEX-11EI6-0008-SM-5QGR7",32
"GTEX-11EI6-0011-R10a-SM-DO93R",10
"GTEX-11EI6-0011-R11a-SM-DO11V",10
"GTEX-11EI6-0011-R1a-SM-DO93L",10
"GTEX-11EI6-0011-R8a-SM-DO93M",75
"GTEX-11EI6-0126-SM-5985R",8
"GTEX-11EI6-0226-SM-5EQ64",93
"GTEX-11EI6-0326-SM-5EQ6G",24
"GTEX-11EI6-0426-SM-5EQ43",94
"GTEX-11EI6-0526-SM-5985S",11
"GTEX-11EI6-0626-SM-5985T",95
"GTEX-11EI6-0726-SM-59866",4
"GTEX-11EI6-0826-SM-5985V",96
"GTEX-11EI6-1526-SM-5P9GL",97
"GTEX-11EI6-2226-SM-5EGJM",23
"GTEX-11EI6-2426-SM-5PNVS",98
"GTEX-11EI6-2626-SM-5PNVT",11
"GTEX-11EI6-2826-SM-5H11D",8
"GTEX-11EI6-2926-SM-5985U",99
"GTEX-11EI6-3026-SM-5GZZO",10
"GTEX-11EI6-3126-SM-5H111",50
"GTEX-11EM3-0001-SM-5Q5BD",42
"GTEX-11EM3-0005-SM-5N9DK",38
"GTEX-11EM3-0126-SM-5985K",4
"GTEX-11EM3-0226-SM-5985Y",11
"GTEX-11EM3-0326-SM-5A5KJ",11
"GTEX-11EM3-0426-SM-5N9BZ",27
"GTEX-11EM3-0526-SM-5H12N",11
"GTEX-11EM3-0626-SM-5H12Z",28
"GTEX-11EM3-0726-SM-5GZZM",11
"GTEX-11EM3-0826-SM-5N9CC",16
"GTEX-11EM3-0926-SM-5A5KK",11
"GTEX-11EM3-1026-SM-5A5KL",18
"GTEX-11EM3-1126-SM-5A5KM",100
"GTEX-11EM3-1226-SM-5N9DD",8
"GTEX-11EM3-1326-SM-5N9C6",33
"GTEX-11EM3-1526-SM-5A5KN",40
"GTEX-11EM3-1626-SM-5N9CO",11
"GTEX-11EM3-1726-SM-5N9D1",11
"GTEX-11EM3-1826-SM-5A5KO",41
"GTEX-11EM3-1926-SM-5987U",11
"GTEX-11EM3-2126-SM-5H11M",24
"GTEX-11EM3-2226-SM-5H11Y",11
"GTEX-11EM3-2326-SM-5H12B",11
"GTEX-11EM3-2426-SM-59861",8
"GTEX-11EMC-0002-SM-5Q5DO",101
"GTEX-11EMC-0006-SM-5O9DN",60
"GTEX-11EMC-0008-SM-5Q5DR",32
"GTEX-11EMC-0011-R10a-SM-DNZZJ",10
"GTEX-11EMC-0011-R11b-SM-DNZZK",102
"GTEX-11EMC-0011-R2b-SM-DO114",75
"GTEX-11EMC-0011-R8b-SM-DO91Z",75
"GTEX-11EMC-0011-R9b-SM-DO921",10
"GTEX-11EMC-0126-SM-5EGKV",39
"GTEX-11EMC-0226-SM-5EGLP",4
"GTEX-11EMC-0526-SM-5EGJN",15
"GTEX-11EMC-0726-SM-5EGJO",103
"GTEX-11EMC-0826-SM-59862",27
"GTEX-11EMC-0926-SM-59863",104
"GTEX-11EMC-1426-SM-5N9E4",11
"GTEX-11EMC-1726-SM-5H11P",35
"GTEX-11EMC-1826-SM-5A5JT",15
"GTEX-11EMC-1926-SM-5A5JU",8
"GTEX-11EMC-2026-SM-5A5JV",49
"GTEX-11EMC-2226-SM-5A5JW",86
"GTEX-11EMC-2526-SM-5PNVU",105
"GTEX-11EMC-2626-SM-59864",24
"GTEX-11EMC-2826-SM-5PNY6",4
"GTEX-11EMC-2926-SM-5EQ4F",8
"GTEX-11EMC-3026-SM-5EQ4R",11
"GTEX-11EMC-3126-SM-5EGJP",106
"GTEX-11EMC-3226-SM-5EGKW",10
"GTEX-11EMC-3326-SM-5P9JH",10
"GTEX-11EQ8-0006-SM-5P9HJ",58
"GTEX-11EQ8-0008-SM-5Q5DJ",32
"GTEX-11EQ8-0226-SM-5EQ5G",4
"GTEX-11EQ8-0426-SM-5N9DP",4
"GTEX-11EQ8-0526-SM-5N9BC",24
"GTEX-11EQ8-0826-SM-5N9FG",107
"GTEX-11EQ8-0926-SM-5H12V",8
"GTEX-11EQ8-1326-SM-5EGJQ",108
"GTEX-11EQ8-1426-SM-5EGJR",67
"GTEX-11EQ8-2626-SM-5N9BO",4
"GTEX-11EQ9-0002-SM-5QGQ1",42
"GTEX-11EQ9-0006-SM-5LUB6",78
"GTEX-11EQ9-0008-SM-5Q5DK",32
"GTEX-11EQ9-0126-SM-5986I",11
"GTEX-11EQ9-0226-SM-5A5JX",39
"GTEX-11EQ9-0426-SM-5A5JY",44
"GTEX-11EQ9-0526-SM-5A5JZ",82
"GTEX-11EQ9-0626-SM-5A5K1",4
"GTEX-11EQ9-0726-SM-5A5K2",7
"GTEX-11EQ9-0826-SM-5986Y",11
"GTEX-11EQ9-0926-SM-5HL6I",98
"GTEX-11EQ9-1026-SM-5H134",14
"GTEX-11EQ9-1126-SM-5987I",109
"GTEX-11EQ9-1226-SM-5987E",98
"GTEX-11EQ9-1326-SM-5985X",110
"GTEX-11EQ9-1426-SM-5987G",4
"GTEX-11EQ9-1526-SM-5PNY7",22
"GTEX-11EQ9-1626-SM-5PNY8",8
"GTEX-11EQ9-1726-SM-5HL6U",111
"GTEX-11EQ9-1826-SM-5Q5AJ",112
"GTEX-11EQ9-1926-SM-5PNVV",23
"GTEX-11EQ9-2026-SM-5P9JI",113
"GTEX-11EQ9-2126-SM-5PNVW",24
"GTEX-11EQ9-2226-SM-5987H",11
"GTEX-11EQ9-2326-SM-5HL5H",114
"GTEX-11EQ9-2426-SM-5HL5T",115
"GTEX-11EQ9-2526-SM-5HL66",4
"GTEX-11GS4-0006-SM-5SI9M",47
"GTEX-11GS4-0008-SM-5QGRA",32
"GTEX-11GS4-0011-R1a-SM-DO129",10
"GTEX-11GS4-0011-R2a-SM-DO942",10
"GTEX-11GS4-0226-SM-5HL77",8
"GTEX-11GS4-0326-SM-5N9F7",49
"GTEX-11GS4-0426-SM-5N9CD",27
"GTEX-11GS4-0526-SM-5A5KQ",28
"GTEX-11GS4-0626-SM-5A5LC",19
"GTEX-11GS4-0826-SM-5986J",52
"GTEX-11GS4-1026-SM-5N9DE",52
"GTEX-11GS4-1426-SM-5N9D2",11
"GTEX-11GS4-1826-SM-5HL4T",11
"GTEX-11GS4-2026-SM-5N9CP",23
"GTEX-11GS4-2126-SM-5A5KR",107
"GTEX-11GS4-2326-SM-5A5KS",4
"GTEX-11GS4-2526-SM-5A5KT",24
"GTEX-11GS4-2626-SM-5A5LD",19
"GTEX-11GS4-2726-SM-5A5LE",8
"GTEX-11GS4-2826-SM-5HL56",116
"GTEX-11GS4-2926-SM-5A5LF",19
"GTEX-11GS4-3026-SM-5A5LG",59
"GTEX-11GS4-3126-SM-5A5LH",10
"GTEX-11GSO-0005-SM-5O9CA",117
"GTEX-11GSO-0011-R1b-SM-57WD3",10
"GTEX-11GSO-0011-R2a-SM-57WDF",10
"GTEX-11GSO-0011-R3b-SM-57WB2",10
"GTEX-11GSO-0226-SM-5A5LV",19
"GTEX-11GSO-0626-SM-5A5LW",15
"GTEX-11GSO-1926-SM-5A5K3",118
"GTEX-11GSO-2326-SM-5A5LX",19
"GTEX-11GSO-2426-SM-5A5LY",8
"GTEX-11GSO-2526-SM-5PNVX",24
"GTEX-11GSO-2626-SM-5Q5AK",4
"GTEX-11GSO-2826-SM-5HL6Q",119
"GTEX-11GSO-2926-SM-5HL73",90
"GTEX-11GSO-3026-SM-5Q5AL",10
"GTEX-11GSP-0006-SM-5N9EL",60
"GTEX-11GSP-0008-SM-5Q5DM",32
"GTEX-11GSP-0011-R10a-SM-5NQ7J",10
"GTEX-11GSP-0011-R11b-SM-5NQ7V",10
"GTEX-11GSP-0011-R1a-SM-9QEJ3",10
"GTEX-11GSP-0011-R2b-SM-9QEGE",10
"GTEX-11GSP-0011-R3a-SM-9QEGF",10
"GTEX-11GSP-0011-R5a-SM-57WBE",10
"GTEX-11GSP-0011-R6b-SM-57WBQ",10
"GTEX-11GSP-0011-R7b-SM-57WC3",10
"GTEX-11GSP-0011-R8b-SM-5NQ79",10
"GTEX-11GSP-0011-R9b-SM-5NQ77",10
"GTEX-11GSP-0126-SM-5A5KU",120
"GTEX-11GSP-0226-SM-5A5KV",15
"GTEX-11GSP-0326-SM-5A5KW",11
"GTEX-11GSP-0426-SM-5A5KX",14
"GTEX-11GSP-0626-SM-5986T",80
"GTEX-11GSP-0726-SM-5986L",96
"GTEX-11GSP-0926-SM-9WYSG",33
"GTEX-11GSP-1026-SM-9WYSH",52
"GTEX-11GSP-1126-SM-5A5LM",4
"GTEX-11GSP-1226-SM-5985M",27
"GTEX-11GSP-1326-SM-5A5KY",28
"GTEX-11GSP-1626-SM-5986N",11
"GTEX-11GSP-1726-SM-5A5LI",11
"GTEX-11GSP-1826-SM-5N9DQ",8
"GTEX-11GSP-2126-SM-5HL5E",18
"GTEX-11GSP-2226-SM-5HL5Q",121
"GTEX-11GSP-2326-SM-5HL63",20
"GTEX-11GSP-2426-SM-5N9BD",4
"GTEX-11GSP-2526-SM-5N9BP",8
"GTEX-11GSP-2726-SM-5A5LJ",24
"GTEX-11GSP-2826-SM-5A5LK",122
"GTEX-11GSP-2926-SM-5N9C2",4
"GTEX-11GSP-3026-SM-5N9CE",50
"GTEX-11GSP-3126-SM-5A5LL",92
"GTEX-11GSP-3226-SM-5986O",10
"GTEX-11H98-0008-SM-5QGR8",32
"GTEX-11H98-0011-R10b-SM-5NQ98",10
"GTEX-11H98-0011-R11b-SM-5NQ6U",10
"GTEX-11H98-0011-R5b-SM-57WCF",10
"GTEX-11H98-0011-R8a-SM-5NQ8V",10
"GTEX-11H98-0126-SM-5EGHG",46
"GTEX-11H98-0226-SM-5NQ89",4
"GTEX-11H98-0326-SM-5HL4S",24
"GTEX-11H98-0426-SM-5HL55",123
"GTEX-11I78-0001-SM-5Q5BE",42
"GTEX-11I78-0005-SM-5N9GB",38
"GTEX-11I78-0008-SM-5Q5DI",32
"GTEX-11I78-0126-SM-5HL6F",39
"GTEX-11I78-0226-SM-5HL6R",52
"GTEX-11I78-0526-SM-5986A",95
"GTEX-11I78-0626-SM-5A5LZ",14
"GTEX-11I78-0726-SM-5A5M1",124
"GTEX-11I78-0826-SM-5A5K4",28
