Topic 1,Topic 2,Topic 3,Topic 4,Topic 5,Topic 6,Topic 7,Topic 8,Topic 9,Topic 10,Topic 11,Topic 12,Topic 13,Topic 14,Topic 15,Topic 16,Topic 17,Topic 18,Topic 19,Topic 20,Topic 21,Topic 22,Topic 23,Topic 24,Topic 25,Topic 26,Topic 27,Topic 28,Topic 29,Topic 30,Topic 31,Topic 32,Topic 33,Topic 34,Topic 35,Topic 36,Topic 37,Topic 38,Topic 39,Topic 40,Topic 41,Topic 42,Topic 43,Topic 44,Topic 45,Topic 46,Topic 47,Topic 48,Topic 49,Topic 50,Topic 51,Topic 52,Topic 53,Topic 54,Topic 55,Topic 56,Topic 57,Topic 58,Topic 59,Topic 60,Topic 61,Topic 62,Topic 63,Topic 64,Topic 65,Topic 66,Topic 67,Topic 68
ENSG00000147592,,ENSG00000059122,ENSG00000150768,ENSG00000162813,ENSG00000159063,,ENSG00000157107,ENSG00000136045,ENSG00000037749,ENSG00000179021,ENSG00000181904,ENSG00000107290,,,ENSG00000100288,ENSG00000185088,ENSG00000173540,,,,,ENSG00000107882,ENSG00000163785,,,,ENSG00000225830,,,,,,ENSG00000160055,,,ENSG00000239900,,ENSG00000099889,ENSG00000107937,ENSG00000078687,,,,,,,ENSG00000126243,,,ENSG00000163625,,,,,,,,,,,,,,,,,
ENSG00000161813,,ENSG00000145029,ENSG00000145349,ENSG00000089094,ENSG00000155906,,ENSG00000117475,ENSG00000182004,ENSG00000112893,ENSG00000162702,ENSG00000149231,ENSG00000129128,,,ENSG00000162869,ENSG00000120837,ENSG00000141556,,,,,ENSG00000182372,ENSG00000100211,,,,ENSG00000173276,,,,,,ENSG00000047578,,,ENSG00000080546,,ENSG00000204130,ENSG00000130935,ENSG00000138175,,,,,,,ENSG00000100852,,,ENSG00000138190,,,,,,,,,,,,,,,,,
ENSG00000020426,,ENSG00000221988,ENSG00000122873,ENSG00000125746,ENSG00000154727,,ENSG00000132669,ENSG00000121774,ENSG00000164465,ENSG00000090061,ENSG00000038382,ENSG00000125991,,,ENSG00000215440,ENSG00000174010,ENSG00000122965,,,,,ENSG00000100207,ENSG00000132950,,,,ENSG00000151304,,,,,,ENSG00000147118,,,ENSG00000103066,,ENSG00000168781,ENSG00000134058,ENSG00000059758,,,,,,,ENSG00000204104,,,ENSG00000178904,,,,,,,,,,,,,,,,,
ENSG00000147687,,ENSG00000065526,ENSG00000166411,ENSG00000197045,ENSG00000136940,,ENSG00000067141,ENSG00000088247,ENSG00000115318,ENSG00000164506,ENSG00000102931,ENSG00000120725,,,ENSG00000105726,ENSG00000104375,ENSG00000180902,,,,,ENSG00000138594,ENSG00000164117,,,,ENSG00000083093,,,,,,ENSG00000115042,,,ENSG00000138032,,ENSG00000197362,ENSG00000053372,ENSG00000075945,,,,,,,ENSG00000174306,,,ENSG00000141337,,,,,,,,,,,,,,,,,
ENSG00000104218,,ENSG00000100564,ENSG00000233954,ENSG00000124608,ENSG00000013583,,ENSG00000181804,ENSG00000130741,,ENSG00000172409,ENSG00000126821,ENSG00000076685,,,ENSG00000147162,ENSG00000147202,ENSG00000171606,,,,,ENSG00000172830,ENSG00000132964,,,,ENSG00000006607,,,,,,ENSG00000162241,,,ENSG00000164654,,ENSG00000214309,ENSG00000134697,ENSG00000125249,,,,,,,ENSG00000134897,,,ENSG00000180773,,,,,,,,,,,,,,,,,
ENSG00000122591,,ENSG00000160959,ENSG00000025039,ENSG00000005810,ENSG00000145740,,ENSG00000107957,ENSG00000164754,,ENSG00000138756,ENSG00000178425,ENSG00000113119,,,ENSG00000104957,ENSG00000197969,ENSG00000106733,,,,,ENSG00000163900,ENSG00000066654,,,,ENSG00000170365,,,,,,ENSG00000241058,,,ENSG00000148335,,ENSG00000122484,ENSG00000159131,ENSG00000115365,,,,,,,ENSG00000203667,,,ENSG00000197013,,,,,,,,,,,,,,,,,
ENSG00000185164,,ENSG00000146707,ENSG00000162688,ENSG00000176102,ENSG00000164031,,ENSG00000104497,ENSG00000197265,,ENSG00000130119,ENSG00000101752,ENSG00000176853,,,ENSG00000008128,ENSG00000101974,ENSG00000213780,,,,,ENSG00000135503,ENSG00000198315,,,,ENSG00000165392,,,,,,ENSG00000168172,,,ENSG00000196535,,ENSG00000168661,ENSG00000258429,ENSG00000156052,,,,,,,ENSG00000185129,,,ENSG00000168062,,,,,,,,,,,,,,,,,
,,ENSG00000100376,ENSG00000132953,ENSG00000213551,ENSG00000047932,,ENSG00000100592,ENSG00000147224,,ENSG00000104312,ENSG00000087053,ENSG00000169871,,,ENSG00000115274,ENSG00000182108,ENSG00000133895,,,,,ENSG00000106351,ENSG00000204084,,,,ENSG00000123600,,,,,,ENSG00000115977,,,ENSG00000092148,,ENSG00000273820,ENSG00000124571,ENSG00000135002,,,,,,,ENSG00000111785,,,,,,,,,,,,,,,,,,,,
,,ENSG00000177463,,ENSG00000120137,ENSG00000107164,,ENSG00000183655,ENSG00000163527,,ENSG00000154710,ENSG00000169139,ENSG00000130958,,,ENSG00000237441,,ENSG00000104835,,,,,ENSG00000140548,ENSG00000160961,,,,ENSG00000099810,,,,,,ENSG00000188352,,,ENSG00000175606,,ENSG00000197808,ENSG00000076248,ENSG00000130881,,,,,,,ENSG00000156239,,,,,,,,,,,,,,,,,,,,
,,ENSG00000111731,,ENSG00000070214,ENSG00000164933,,ENSG00000139173,ENSG00000154473,,,ENSG00000136643,ENSG00000090054,,,ENSG00000140983,,ENSG00000104983,,,,,ENSG00000197892,ENSG00000116128,,,,ENSG00000139324,,,,,,ENSG00000106070,,,ENSG00000215251,,ENSG00000153933,ENSG00000164163,ENSG00000107863,,,,,,,ENSG00000188070,,,,,,,,,,,,,,,,,,,,
