i_doc,doc,Topic 1,Topic 2,Topic 3,Topic 4,Topic 5,Topic 6,Topic 7
50,GTEX-11TUW-1226-SM-5GU7C,0.4597044996642042,0.2941571524513096,0.11249160510409671,0.10543989254533244,0.018132975151108125,0.007051712558764272,0.0030221625251846875
51,GTEX-11TUW-2026-SM-5EQL8,0.45878016085790885,0.2935656836461126,0.11293565683646113,0.10522788203753351,0.019101876675603216,0.0070375335120643435,0.003351206434316354
52,GTEX-11UD2-0626-SM-5GU6L,0.45880776959142666,0.29437374413931683,0.11252511721366376,0.10515740120562625,0.018754186202277295,0.007032819825853985,0.003348961821835231
53,GTEX-11VI4-1526-SM-5EQKC,0.4597315436241611,0.2942953020134228,0.11174496644295302,0.10536912751677853,0.018456375838926176,0.007046979865771812,0.003355704697986577
54,GTEX-11VI4-1926-SM-5CVLI,0.46012894468951476,0.29487614523243977,0.11231761112996268,0.10519172039362062,0.017984390906006106,0.007125890736342043,0.0023752969121140144
55,GTEX-11WQC-2426-SM-5EQKQ,0.4593237361901574,0.29394040843655844,0.11248744559758955,0.10512219618346166,0.018747907599598258,0.007030465349849347,0.0033478406427854034
56,GTEX-11WQC-2626-SM-5CVLF,0.4607809847198642,0.2937181663837012,0.11205432937181664,0.10560271646859083,0.01799660441426146,0.007130730050933786,0.0027164685908319186
57,GTEX-11WQK-0008-SM-5SI6T,0.4612272420768712,0.294335805799056,0.1112609575185435,0.10485502360080917,0.01820633850303439,0.0070802427511800405,0.0030343897505057315
58,GTEX-11ZTS-1126-SM-5LU9X,0.45880776959142666,0.2940388479571333,0.11286001339584728,0.10515740120562625,0.018754186202277295,0.007032819825853985,0.003348961821835231
59,GTEX-11ZTS-2726-SM-5EQLU,0.4600402955003358,0.29348556077904636,0.11282740094022835,0.10476830087306917,0.018468770987239758,0.007051712558764272,0.0033579583613163196
60,GTEX-11ZTT-2626-SM-5EQKK,0.46040452519712033,0.29550908467603704,0.11141583818992115,0.10524511484401783,0.01748371614672609,0.007199177236887213,0.002742543709290367
61,GTEX-11ZU8-0005-SM-5PNU5,0.4727868852459016,0.2537704918032787,0.08786885245901639,0.15540983606557376,0.014426229508196721,0.01377049180327869,0.0019672131147540984
62,GTEX-11ZUS-0008-SM-5S2UO,0.46073474890461746,0.2949106841927873,0.11088641725648804,0.10549376474553421,0.017863161442534546,0.007077856420626896,0.003033367037411527
63,GTEX-11ZVC-0011-R1b-SM-5BC6M,0.4619096863150638,0.29162357807652534,0.11306446053085142,0.10582557738710789,0.017580144777662874,0.007238883143743537,0.002757669769045157
64,GTEX-1211K-0006-SM-5MR53,0.46526717557251906,0.2916030534351145,0.10152671755725191,0.11450381679389313,0.01603053435114504,0.008396946564885497,0.0026717557251908397
65,GTEX-1211K-1026-SM-5EQ4B,0.4595773230459577,0.29419657832941964,0.11237839651123784,0.10533378061053338,0.01845018450184502,0.007044615900704461,0.0030191211003019122
66,GTEX-1211K-1826-SM-5EGJ2,0.4597855227882037,0.2935656836461126,0.1126005361930295,0.10522788203753351,0.01876675603217158,0.0070375335120643435,0.0030160857908847183
67,GTEX-1211K-2026-SM-5EQ4Z,0.45955018462571334,0.29439409197717353,0.11245384357166835,0.10473313192346426,0.018462571332661968,0.007049345417925478,0.003356831151393085
68,GTEX-12126-0426-SM-5Q5AP,0.45963149078726967,0.29413735343383585,0.11256281407035176,0.10485762144053601,0.018425460636515914,0.007035175879396985,0.0033500837520938024
