i_doc,doc,Topic 1,Topic 2,Topic 3,Topic 4,Topic 5,Topic 6,Topic 7,Topic 8,Topic 9,Topic 10,Topic 11,Topic 12,Topic 13,Topic 14,Topic 15,Topic 16,Topic 17,Topic 18,Topic 19,Topic 20,Topic 21,Topic 22,Topic 23,Topic 24,Topic 25,Topic 26,Topic 27,Topic 28,Topic 29,Topic 30,Topic 31,Topic 32,Topic 33,Topic 34,Topic 35,Topic 36,Topic 37,Topic 38,Topic 39,Topic 40,Topic 41,Topic 42,Topic 43,Topic 44,Topic 45,Topic 46,Topic 47,Topic 48,Topic 49,Topic 50,Topic 51,Topic 52,Topic 53,Topic 54,Topic 55,Topic 56,Topic 57,Topic 58,Topic 59,Topic 60,Topic 61,Topic 62,Topic 63,Topic 64,Topic 65,Topic 66,Topic 67,Topic 68
10,GTEX-1122O-2426-SM-5GIDN,0.020081688223281144,0.016678012253233492,0.044928522804629,0.02042205582028591,0.029611980939414567,0.044928522804629,0.010211027910142955,0.021783526208304968,0.06432947583390061,0.018720217835262083,0.020762423417290673,0.0302927161334241,0.03063308373042886,0.010211027910142955,0.00850918992511913,0.026208304969366915,0.020081688223281144,0.06262763784887679,0.009530292716133424,0.006466984343090538,0.01327433628318584,0.009189925119128658,0.02654867256637168,0.027910142954390742,0.01259360108917631,0.0030633083730428863,0.008168822328114363,0.0224642614023145,0.007488087134104833,0.004765146358066712,0.014635806671204902,0.0068073519400953025,0.0030633083730428863,0.025527569775357386,0.007147719537100068,0.010891763104152484,0.026889040163376447,0.014635806671204902,0.020762423417290673,0.03880190605854323,0.026208304969366915,0.0020422055820285907,0.013614703880190605,0.007828454731109599,0.009530292716133424,0.015656909462219197,0.007828454731109599,0.02450646698434309,0.0017018379850238256,0.0017018379850238256,0.019741320626276378,0.010891763104152484,0.006126616746085773,0.002722940776038121,0.0020422055820285907,0.0006807351940095302,0.0034036759700476512,0.0003403675970047651,0.0034036759700476512,0.006466984343090538,0.007147719537100068,0.0010211027910142954,0.0003403675970047651,0.0013614703880190605,0.0003403675970047651,0.0010211027910142954,0.0003403675970047651,0.0003403675970047651
11,GTEX-1128S-0005-SM-5P9HI,0.020334059549745823,0.01597676107480029,0.04647785039941903,0.02178649237472767,0.029774872912127815,0.03957879448075526,0.00980392156862745,0.02251270878721859,0.06390704429920116,0.019970951343500364,0.02214960058097313,0.027596223674655047,0.03195352214960058,0.011256354393609296,0.007988380537400145,0.02832244008714597,0.021060275962236745,0.06427015250544663,0.00907770515613653,0.006172839506172839,0.014161220043572984,0.008714596949891068,0.027596223674655047,0.027596223674655047,0.010893246187363835,0.0036310820624546117,0.008714596949891068,0.0196078431372549,0.008714596949891068,0.004357298474945534,0.013798111837327523,0.006899055918663762,0.002904865649963689,0.026870007262164125,0.006535947712418301,0.011619462599854757,0.02795933188090051,0.013798111837327523,0.021060275962236745,0.03449527959331881,0.026143790849673203,0.002178649237472767,0.014161220043572984,0.008351488743645606,0.008714596949891068,0.01597676107480029,0.008714596949891068,0.02214960058097313,0.0014524328249818446,0.002178649237472767,0.020697167755991286,0.011619462599854757,0.005809731299927378,0.0032679738562091504,0.002178649237472767,0.0007262164124909223,0.0032679738562091504,0.00036310820624546115,0.0036310820624546117,0.005809731299927378,0.007625272331154684,0.0010893246187363835,0.00036310820624546115,0.0014524328249818446,0.00036310820624546115,0.0010893246187363835,0.00036310820624546115,0.00036310820624546115
12,GTEX-113IC-0006-SM-5NQ9C,0.01997291807718348,0.016587677725118485,0.044346648612051454,0.020311442112389978,0.02979011509817197,0.045023696682464455,0.010155721056194989,0.02132701421800948,0.06398104265402843,0.018957345971563982,0.02064996614759648,0.03012863913337847,0.03046716316858497,0.01049424509140149,0.007786052809749492,0.026404874746106973,0.01997291807718348,0.06431956668923494,0.009478672985781991,0.006431956668923494,0.013202437373053487,0.00914014895057549,0.027081922816519974,0.028097494922139473,0.010832769126607989,0.003385240352064997,0.008124576844955992,0.023358158429248477,0.008124576844955992,0.005416384563303994,0.014895057549085985,0.006093432633716994,0.003046716316858497,0.025727826675693975,0.0071090047393364926,0.010832769126607989,0.026404874746106973,0.013879485443466486,0.021665538253215978,0.03859174001354096,0.026743398781313474,0.002031144211238998,0.013879485443466486,0.007786052809749492,0.00914014895057549,0.014895057549085985,0.008124576844955992,0.023696682464454975,0.0016926201760324984,0.002369668246445498,0.01997291807718348,0.010832769126607989,0.006093432633716994,0.003046716316858497,0.002031144211238998,0.0006770480704129993,0.003385240352064997,0.00033852403520649965,0.003385240352064997,0.006431956668923494,0.0071090047393364926,0.001015572105619499,0.00033852403520649965,0.0013540961408259986,0.00033852403520649965,0.001015572105619499,0.00033852403520649965,0.00033852403520649965
13,GTEX-117YX-1226-SM-5H11S,0.019758874748827863,0.016075016744809108,0.044876088412592094,0.020093770931011386,0.029470864032150032,0.04554588077695914,0.010046885465505693,0.021768251841929,0.06296048225050234,0.018754186202277295,0.02042866711319491,0.03014065639651708,0.03014065639651708,0.010381781647689216,0.008372404554588079,0.026121902210314803,0.020093770931011386,0.06363027461486939,0.009377093101138647,0.006697923643670462,0.013060951105157401,0.009377093101138647,0.02679169457468185,0.027796383121232417,0.012391158740790355,0.003348961821835231,0.008037508372404554,0.023107836570663093,0.008037508372404554,0.0056932350971198925,0.014735432016075016,0.006697923643670462,0.003014065639651708,0.02578700602813128,0.007032819825853985,0.010716677829872739,0.026456798392498326,0.014400535833891493,0.021433355659745478,0.038513060951105155,0.026456798392498326,0.0020093770931011385,0.013395847287340924,0.007702612190221032,0.009377093101138647,0.015405224380442064,0.008037508372404554,0.024447421299397188,0.0016744809109176155,0.0026791694574681848,0.019758874748827863,0.010716677829872739,0.006363027461486939,0.003014065639651708,0.0020093770931011385,0.0006697923643670462,0.003348961821835231,0.0003348961821835231,0.003348961821835231,0.006363027461486939,0.007032819825853985,0.0010046885465505692,0.0003348961821835231,0.0013395847287340924,0.0003348961821835231,0.0010046885465505692,0.0003348961821835231,0.0003348961821835231
14,GTEX-117YX-2326-SM-5H12W,0.019765494137353432,0.01641541038525963,0.04489112227805695,0.020100502512562814,0.02948073701842546,0.045561139028475715,0.010050251256281407,0.021775544388609715,0.06298157453936348,0.018760469011725293,0.020435510887772193,0.03015075376884422,0.03015075376884422,0.010385259631490788,0.008375209380234505,0.02613065326633166,0.020100502512562814,0.06365159128978225,0.009380234505862646,0.006700167504187605,0.01306532663316583,0.009715242881072027,0.02680067001675042,0.02780569514237856,0.012395309882747068,0.0033500837520938024,0.008040201005025126,0.023115577889447236,0.008040201005025126,0.005695142378559464,0.01440536013400335,0.006700167504187605,0.003015075376884422,0.025460636515912898,0.007035175879396985,0.010720268006700168,0.026465661641541037,0.01440536013400335,0.021105527638190954,0.038525963149078725,0.026465661641541037,0.0020100502512562816,0.01373534338358459,0.007705192629815745,0.009380234505862646,0.01541038525963149,0.008040201005025126,0.024455611390284758,0.0016750418760469012,0.002680067001675042,0.019430485762144054,0.010720268006700168,0.006365159128978224,0.003015075376884422,0.0020100502512562816,0.0006700167504187605,0.0033500837520938024,0.00033500837520938025,0.0033500837520938024,0.006365159128978224,0.007035175879396985,0.0010050251256281408,0.00033500837520938025,0.001340033500837521,0.00033500837520938025,0.0010050251256281408,0.00033500837520938025,0.00033500837520938025
15,GTEX-11DXX-2726-SM-5PNXO,0.020254033642293168,0.01682114658427738,0.04497082046000687,0.02059732234809475,0.029522828698935806,0.04394095434260213,0.010298661174047374,0.021970477171301066,0.0641949879848953,0.01922416752488843,0.020940611053896326,0.030895983522142123,0.030209406110538965,0.010641949879848954,0.008582217645039478,0.025746652935118436,0.02059732234809475,0.06041881222107793,0.009268795056642637,0.006522485410230003,0.013388259526261586,0.009268795056642637,0.026433230346721594,0.02711980775832475,0.012701682114658427,0.003089598352214212,0.008238928939237899,0.021970477171301066,0.007552351527634741,0.005149330587023687,0.014418125643666324,0.006865774116031583,0.003089598352214212,0.025746652935118436,0.007209062821833162,0.010985238585650533,0.02711980775832475,0.014761414349467903,0.02059732234809475,0.03913491246138002,0.026089941640920013,0.0020597322348094747,0.013731548232063165,0.00789564023343632,0.009612083762444216,0.01579128046687264,0.008238928939237899,0.024716786817713696,0.0017164435290078957,0.0013731548232063166,0.01991074493649159,0.010985238585650533,0.006179196704428424,0.0027463096464126332,0.0020597322348094747,0.0006865774116031583,0.0034328870580157913,0.00034328870580157915,0.0034328870580157913,0.006522485410230003,0.007209062821833162,0.0010298661174047373,0.00034328870580157915,0.0013731548232063166,0.00034328870580157915,0.0010298661174047373,0.00034328870580157915,0.00034328870580157915
16,GTEX-11DXY-0006-SM-5NQ8N,0.01994198694706309,0.016678752719361856,0.044960116026105876,0.02139231327048586,0.030456852791878174,0.04133430021754895,0.009427121102248005,0.021754894851341553,0.06453952139231327,0.02030456852791878,0.022117476432197244,0.027918781725888325,0.032632342277012324,0.011240029006526469,0.007614213197969543,0.028281363306744016,0.020667150108774474,0.06417693981145758,0.009427121102248005,0.005801305293691081,0.014140681653372008,0.009064539521392313,0.02719361856417694,0.02755620014503263,0.010514865844815084,0.0032632342277012327,0.00870195794053662,0.02030456852791878,0.008339376359680928,0.004713560551124003,0.014140681653372008,0.006526468455402465,0.0032632342277012327,0.025380710659898477,0.006526468455402465,0.011602610587382161,0.027918781725888325,0.013415518491660623,0.02030456852791878,0.03662073966642494,0.02610587382160986,0.002175489485134155,0.014503263234227702,0.008339376359680928,0.00870195794053662,0.01595358955765047,0.00870195794053662,0.02139231327048586,0.0014503263234227702,0.002175489485134155,0.02102973168963017,0.011602610587382161,0.005801305293691081,0.0032632342277012327,0.002175489485134155,0.0007251631617113851,0.0036258158085569255,0.00036258158085569254,0.0036258158085569255,0.005438723712835388,0.007614213197969543,0.0010877447425670776,0.00036258158085569254,0.0014503263234227702,0.00036258158085569254,0.0010877447425670776,0.00036258158085569254,0.00036258158085569254
17,GTEX-11DXY-0826-SM-5EGGR,0.019759450171821305,0.019329896907216496,0.04596219931271478,0.02491408934707904,0.027491408934707903,0.037800687285223365,0.010309278350515464,0.024054982817869417,0.05240549828178694,0.02104810996563574,0.019329896907216496,0.027920962199312716,0.030927835051546393,0.012027491408934709,0.009450171821305841,0.03049828178694158,0.02147766323024055,0.05756013745704467,0.010309278350515464,0.006013745704467354,0.015034364261168385,0.009450171821305841,0.02491408934707904,0.028350515463917526,0.01288659793814433,0.003436426116838488,0.00902061855670103,0.01632302405498282,0.007731958762886598,0.00429553264604811,0.00859106529209622,0.006443298969072165,0.002577319587628866,0.02620274914089347,0.00816151202749141,0.01245704467353952,0.0313573883161512,0.015463917525773196,0.018470790378006873,0.03307560137457045,0.03006872852233677,0.002577319587628866,0.015034364261168385,0.00859106529209622,0.009450171821305841,0.01632302405498282,0.010309278350515464,0.02663230240549828,0.002147766323024055,0.001288659793814433,0.02147766323024055,0.01288659793814433,0.006872852233676976,0.003436426116838488,0.002577319587628866,0.000859106529209622,0.003436426116838488,0.000429553264604811,0.003865979381443299,0.005584192439862543,0.007302405498281787,0.001288659793814433,0.000429553264604811,0.001718213058419244,0.000429553264604811,0.001288659793814433,0.000429553264604811,0.000429553264604811
18,GTEX-11DXZ-2426-SM-5N9DT,0.02038700760193504,0.016931582584657913,0.04457498272287491,0.02073255010366275,0.02902557014512785,0.04284727021423635,0.010366275051831375,0.022460262612301312,0.06461644782308223,0.019004837595024186,0.021078092605390463,0.029716655148583276,0.030753282653766412,0.010366275051831375,0.008638562543192813,0.026606772633033862,0.02038700760193504,0.06219765031098825,0.009329647546648237,0.0065653075328265375,0.013476157567380787,0.009329647546648237,0.02626123013130615,0.027643400138217002,0.0110573600552868,0.0031098825155494126,0.0082930200414651,0.021769177608845888,0.007601935038009675,0.004492052522460262,0.013130615065653075,0.0065653075328265375,0.0031098825155494126,0.025915687629578438,0.007256392536281963,0.0110573600552868,0.027297857636489287,0.01520387007601935,0.02038700760193504,0.039046302695231516,0.026952315134761574,0.002073255010366275,0.013476157567380787,0.007947477539737388,0.009675190048375951,0.015894955079474776,0.0082930200414651,0.025224602626123013,0.0017277125086385626,0.0017277125086385626,0.020041465100207326,0.0110573600552868,0.006219765031098825,0.0027643400138217,0.002073255010366275,0.000691085003455425,0.0034554250172771253,0.0003455425017277125,0.0034554250172771253,0.006219765031098825,0.007256392536281963,0.0010366275051831375,0.0003455425017277125,0.00138217000691085,0.0003455425017277125,0.0010366275051831375,0.0003455425017277125,0.0003455425017277125
19,GTEX-11DYG-0011-R5a-SM-DO928,0.020150273224043717,0.01673497267759563,0.045081967213114756,0.020491803278688523,0.030054644808743168,0.045081967213114756,0.009904371584699454,0.02219945355191257,0.06420765027322405,0.018442622950819672,0.020491803278688523,0.030737704918032786,0.030054644808743168,0.010245901639344262,0.00853825136612022,0.02663934426229508,0.020150273224043717,0.060450819672131145,0.009562841530054645,0.006830601092896175,0.01331967213114754,0.010245901639344262,0.025956284153005466,0.02698087431693989,0.011612021857923498,0.0030737704918032786,0.00819672131147541,0.02219945355191257,0.007855191256830601,0.005122950819672131,0.01366120218579235,0.006830601092896175,0.0030737704918032786,0.025956284153005466,0.007172131147540984,0.01092896174863388,0.02698087431693989,0.014685792349726777,0.02151639344262295,0.03859289617486339,0.02698087431693989,0.0020491803278688526,0.01366120218579235,0.007513661202185792,0.009221311475409836,0.015710382513661202,0.007855191256830601,0.024931693989071038,0.0017076502732240437,0.0023907103825136613,0.020150273224043717,0.01092896174863388,0.006489071038251366,0.00273224043715847,0.0020491803278688526,0.0006830601092896175,0.0030737704918032786,0.00034153005464480874,0.0034153005464480873,0.006489071038251366,0.007172131147540984,0.0010245901639344263,0.00034153005464480874,0.0010245901639344263,0.00034153005464480874,0.0010245901639344263,0.00034153005464480874,0.00034153005464480874
