,Topic 1,Topic 2,Topic 3,Topic 4,Topic 5,Topic 6,Topic 7
ENSG00000253710,0.0,0.000785655673306912,0.0,0.0,0.0,0.0,0.0
ENSG00000182858,0.0,0.0011522949875168043,0.0,0.0,0.0,0.0,0.0
ENSG00000101901,0.0,0.001148803184524329,0.0,0.0,0.0,0.0,0.0
ENSG00000119523,0.0,0.0011616064621634047,0.0,0.0,0.0,0.0,0.0
ENSG00000120697,0.0007416192565378419,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000159063,0.0007356744127980596,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000189046,0.0,0.001145311381531854,0.0,0.0,0.0,0.0,0.0
ENSG00000073331,0.000664336287920672,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000161013,0.0,0.0,0.003056505619385581,0.0,0.0,0.0,0.0
ENSG00000168282,0.000674739764465291,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000179163,0.0,0.0,0.003056505619385581,0.0,0.0,0.0,0.0
ENSG00000003393,0.0,0.0,0.002934245394610158,0.0,0.0,0.0,0.0
ENSG00000183684,0.0007431054674727875,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000149313,0.0,0.0,0.0,0.0032004908926495284,0.0,0.0,0.0
ENSG00000148218,0.0007431054674727875,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000215440,0.0007431054674727875,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000162688,0.0,0.0011138851545995775,0.0,0.0,0.0,0.0,0.0
ENSG00000084234,0.0007431054674727875,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000142192,0.0007431054674727875,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000153107,0.0,0.0010638359783741002,0.0,0.0,0.0,0.0,0.0
ENSG00000053900,0.0007416192565378419,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000154122,0.0007431054674727875,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000166016,0.0,0.0,0.0028517197428867473,0.0,0.0,0.0,0.0
ENSG00000185722,0.0007416192565378419,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000001629,0.0007319588854606957,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000196372,0.0007230416198510222,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000177981,0.0,0.0011639343308250548,0.0,0.0,0.0,0.0,0.0
ENSG00000163516,0.0007431054674727875,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000088448,0.0,0.0011639343308250548,0.0,0.0,0.0,0.0,0.0
ENSG00000206560,0.000723784725318495,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000213337,0.0,0.0,0.0,0.0,0.018373443047962578,0.0,0.0
ENSG00000186106,0.0,0.0,0.002860889259744904,0.0,0.0,0.0,0.0
